"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "Length1BoutScootsProportion" "Length1BoutJBendsProportion" "Length1BoutCBendsProportion" "Length1BoutOBendsProportion" "Length1BoutEBendsProportion" "Length1BoutGBendsProportion" "Length1BoutHBendsProportion" "Length1BoutIBendsProportion" "Length2BoutScootsProportion" "Length2BoutJBendsProportion" "Length2BoutCBendsProportion" "Length2BoutOBendsProportion" "Length2BoutEBendsProportion" "Length2BoutGBendsProportion" "Length2BoutHBendsProportion" "Length2BoutIBendsProportion" "Length3BoutScootsProportion" "Length3BoutJBendsProportion" "Length3BoutCBendsProportion" "Length3BoutOBendsProportion" "Length3BoutEBendsProportion" "Length3BoutGBendsProportion" "Length3BoutHBendsProportion" "Length3BoutIBendsProportion" "Length4BoutScootsProportion" "Length4BoutJBendsProportion" "Length4BoutCBendsProportion" "Length4BoutOBendsProportion" "Length4BoutEBendsProportion" "Length4BoutGBendsProportion" "Length4BoutHBendsProportion" "Length4BoutIBendsProportion" "Length5BoutScootsProportion" "Length5BoutJBendsProportion" "Length5BoutCBendsProportion" "Length5BoutOBendsProportion" "Length5BoutEBendsProportion" "Length5BoutGBendsProportion" "Length5BoutHBendsProportion" "Length5BoutIBendsProportion" "Length6PlusBoutScootsProportion" "Length6PlusBoutJBendsProportion" "Length6PlusBoutCBendsProportion" "Length6PlusBoutOBendsProportion" "Length6PlusBoutEBendsProportion" "Length6PlusBoutGBendsProportion" "Length6PlusBoutHBendsProportion" "Length6PlusBoutIBendsProportion" "Length2Transition_sj_Proportion" "Length2Transition_jj_Proportion" "Length2Transition_eg_Proportion" "Length2Transition_eh_Proportion" "Length2Transition_ii_Proportion" "Length2Transition_sc_Proportion" "Length2Transition_gi_Proportion" "Length2Transition_jg_Proportion" "Length2Transition_ei_Proportion" "Length2Transition_es_Proportion" "Length2Transition_js_Proportion" "Length2Transition_se_Proportion" "Length2Transition_co_Proportion" "Length2Transition_ci_Proportion" "Length2Transition_sh_Proportion" "Length2Transition_cs_Proportion" "Length2Transition_so_Proportion" "Length2Transition_gg_Proportion" "Length2Transition_os_Proportion" "Length2Transition_hs_Proportion" "Length2Transition_jc_Proportion" "Length2Transition_si_Proportion" "Length2Transition_sg_Proportion" "Length2Transition_is_Proportion" "Length2Transition_ss_Proportion" "Length2Transition_gs_Proportion" "Length3Transition_es_Proportion" "Length3Transition_sg_Proportion" "Length3Transition_is_Proportion" "Length3Transition_cs_Proportion" "Length3Transition_js_Proportion" "Length3Transition_os_Proportion" "Length3Transition_hs_Proportion" "Length3Transition_gs_Proportion" "Length3Transition_ss_Proportion" "Length4Transition_hs_Proportion" "Length4Transition_gg_Proportion" "Length4Transition_sg_Proportion" "Length4Transition_os_Proportion" "Length4Transition_gi_Proportion" "Length4Transition_sc_Proportion" "Length4Transition_is_Proportion" "Length4Transition_es_Proportion" "Length4Transition_og_Proportion" "Length4Transition_se_Proportion" "Length4Transition_cs_Proportion" "Length4Transition_sj_Proportion" "Length4Transition_js_Proportion" "Length4Transition_gs_Proportion" "Length4Transition_ss_Proportion" "Length5Transition_sg_Proportion" "Length5Transition_is_Proportion" "Length5Transition_os_Proportion" "Length5Transition_cs_Proportion" "Length5Transition_js_Proportion" "Length5Transition_gs_Proportion" "Length5Transition_ss_Proportion" "Length6PlusTransition_cs_Proportion" "Length6PlusTransition_sc_Proportion" "Length6PlusTransition_os_Proportion" "Length6PlusTransition_js_Proportion" "Length6PlusTransition_ss_Proportion" "Length3Transition_ess_Proportion" "Length3Transition_sgs_Proportion" "Length3Transition_iss_Proportion" "Length3Transition_css_Proportion" "Length3Transition_jss_Proportion" "Length3Transition_oss_Proportion" "Length3Transition_hss_Proportion" "Length3Transition_gss_Proportion" "Length3Transition_sss_Proportion" "Length4Transition_hss_Proportion" "Length4Transition_sgs_Proportion" "Length4Transition_sgg_Proportion" "Length4Transition_ssg_Proportion" "Length4Transition_oss_Proportion" "Length4Transition_gis_Proportion" "Length4Transition_scs_Proportion" "Length4Transition_iss_Proportion" "Length4Transition_ess_Proportion" "Length4Transition_ogs_Proportion" "Length4Transition_ses_Proportion" "Length4Transition_css_Proportion" "Length4Transition_sjs_Proportion" "Length4Transition_jss_Proportion" "Length4Transition_gss_Proportion" "Length4Transition_sss_Proportion" "Length5Transition_isg_Proportion" "Length5Transition_sgs_Proportion" "Length5Transition_iss_Proportion" "Length5Transition_oss_Proportion" "Length5Transition_css_Proportion" "Length5Transition_jss_Proportion" "Length5Transition_gss_Proportion" "Length5Transition_sss_Proportion" "Length6PlusTransition_css_Proportion" "Length6PlusTransition_scs_Proportion" "Length6PlusTransition_oss_Proportion" "Length6PlusTransition_jss_Proportion" "Length6PlusTransition_sss_Proportion"
1 76.3333333333333 58.75 8.25 7 0.916666666666667 1.25 0.166666666666667 0.473740653244222 0.0312580680242546 0.0169898578988078 0.0153389782857852 0.000551876379690949 0.346611137392172 0.0204443282286518 0.0950651005464154 0.601168773294442 0.0111570247933884 0.0132231404958678 0.0102495543672014 0 0.267685545292497 0.00774793388429752 0.0887680278723059 0.926783238547945 0.00404040404040404 0.00380273321449792 0.00432900432900432 0 0.0437286025521319 0.0173160173160173 0 0.817708333333333 0.0208333333333333 0 0 0 0.161458333333333 0 0 0.923333333333333 0.0316666666666667 0.005 0 0 0.04 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00378787878787879 0.00490196078431373 0.0138888888888889 0.0138888888888889 0.0142045454545455 0.0204545454545455 0.0253565062388592 0.0683712121212121 0.137384878193702 0.219819518716578 0.394607843137255 0 0 0 0.00522875816993464 0.00555555555555556 0.00595238095238095 0.0238095238095238 0.0601268285091814 0.81599361967009 0 0 0 0 0 0 0 0 0 0 0 0.00925925925925926 0.00925925925925926 0.0717592592592593 0.243055555555556 0 0 0 0.00520833333333333 0.0329861111111111 0.0416666666666667 0.753472222222222 0 0 0 0 0.166666666666667 0 0 0 0.0104575163398693 0.0111111111111111 0.0119047619047619 0.0476190476190476 0.120253657018363 0.715320572673514 0 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0.0138888888888889 0.107638888888889 0.197916666666667 0 0 0 0 0.00694444444444444 0.0439814814814815 0.0555555555555556 0.726851851851852 0 0 0 0 0.166666666666667
2 50.25 38.8333333333333 4.66666666666667 5.25 0.833333333333333 0.416666666666667 0.25 0.581992648779955 0.0266576462180637 0.0144542225803057 0.0104479300083475 0.00756274660011038 0.249877225109755 0.0137829519603907 0.0952246287430713 0.662626262626263 0.00568181818181818 0.0181818181818182 0.00909090909090909 0.00909090909090909 0.248737373737374 0.0141414141414141 0.032449494949495 0.881825396825397 0.0130952380952381 0 0.00666666666666666 0 0.0806349206349205 0.00333333333333333 0.0144444444444444 0.87 0 0.05 0.01 0.01 0.06 0 0 0.966666666666667 0 0 0.0333333333333333 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0104166666666667 0.0166666666666667 0.0166666666666667 0.0166666666666667 0.0166666666666667 0 0 0 0 0.00925925925925926 0 0 0.0520833333333333 0.0428240740740741 0.331481481481481 0.403935185185185 0 0.0104166666666667 0.0180555555555556 0 0.0163690476190476 0.00833333333333333 0.00416666666666667 0.100793650793651 0.675198412698413 0 0 0 0 0 0 0 0.00555555555555556 0.00555555555555556 0.00555555555555556 0.0277777777777778 0 0 0.0333333333333333 0.338888888888889 0 0 0.00694444444444444 0 0 0 0.159722222222222 0 0 0 0 0.166666666666667 0 0.0208333333333333 0.0361111111111111 0 0.0327380952380952 0.0166666666666667 0.00833333333333333 0.180753968253968 0.537896825396825 0 0 0 0 0 0 0 0 0.00833333333333333 0.00833333333333333 0.00833333333333333 0.0416666666666667 0 0 0.05 0.3 0 0 0 0.00925925925925926 0 0 0 0.157407407407407 0 0 0 0 0.166666666666667
3 46.8333333333333 37.4166666666667 3.66666666666667 4.5 0.333333333333333 0.833333333333333 0.0833333333333333 0.638657426462021 0.029199508432918 0.0304651853993959 0.00295008354218881 0 0.223209281021105 0.0278369418529602 0.0476815732894108 0.785812672176309 0 0 0.00413223140495868 0.0647382920110193 0.105470287288469 0.00757575757575758 0.0322707595434868 0.896464646464647 0.00606060606060605 0.0111111111111111 0.00833333333333332 0 0.0780303030303029 0 0 0.75 0 0.0833333333333333 0 0 0.0833333333333333 0 0.0833333333333333 0.966666666666667 0 0 0.0333333333333333 0 0 0 0 0.857142857142857 0.142857142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0.10479797979798 0 0 0 0 0 0 0 0 0.00757575757575758 0.0138888888888889 0 0 0.0416666666666667 0.0452741702741703 0.537878787878788 0.151695526695527 0 0.0104166666666667 0 0.0138888888888889 0.00757575757575758 0.0104166666666667 0 0.0975378787878788 0.693497474747475 0 0 0 0 0.0277777777777778 0.0277777777777778 0.0277777777777778 0 0 0 0.0277777777777778 0 0 0 0.138888888888889 0 0 0.0208333333333333 0 0 0 0.479166666666667 0 0 0 0.0138888888888889 0.0694444444444444 0 0.0208333333333333 0 0.0277777777777778 0.0151515151515152 0.0208333333333333 0 0.174242424242424 0.57449494949495 0 0 0 0 0 0.0416666666666667 0.0416666666666667 0.0416666666666667 0 0 0 0.0416666666666667 0 0 0 0.0833333333333333 0 0 0 0.0277777777777778 0 0 0 0.472222222222222 0 0 0 0.0166666666666667 0.0666666666666667
4 26.5833333333333 19.1666666666667 2.5 3.58333333333333 0.333333333333333 0.833333333333333 0.166666666666667 0.649174507208896 0.00203252032520325 0.00984238507957673 0.0331441585288718 0.00225225225225225 0.201845399337197 0.0466070909619297 0.0551016863060733 0.672222222222222 0.0324074074074074 0.0555555555555556 0.00462962962962963 0 0.151851851851852 0 0.0833333333333333 0.851851851851852 0.00925925925925925 0 0 0 0.138888888888889 0 0 0.833333333333333 0.0416666666666667 0 0.125 0 0 0 0 1 0 0 0 0 0 0 0 0.916666666666667 0 0 0.0833333333333335 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0.00694444444444444 0 0 0 0 0.0833333333333333 0 0 0.00694444444444444 0 0 0 0.00694444444444444 0.125 0.3 0.179166666666667 0 0 0 0 0.0104166666666667 0 0 0.15625 0.583333333333333 0 0 0 0.0416666666666667 0 0 0 0 0 0 0 0 0.0138888888888889 0 0.194444444444444 0 0 0 0 0 0 0.416666666666667 0 0 0.0166666666666667 0 0.15 0 0 0 0 0.0208333333333333 0 0 0.3125 0.416666666666667 0 0 0 0 0.0625 0 0 0 0 0 0 0 0 0.0208333333333333 0 0.166666666666667 0 0 0 0 0 0 0 0.416666666666667 0 0 0.0208333333333333 0 0.145833333333333
5 30.5 25.0833333333333 2.66666666666667 2 0.333333333333333 0.416666666666667 0 0.633273295184316 0.0124777183600713 0.0048846516007533 0.0121814385513016 0.00913742690058479 0.261886396353756 0.00833333333333333 0.057825739715884 0.660833333333333 0.005 0.0225 0.025 0.005 0.235 0 0.0466666666666667 0.932291666666667 0 0 0 0.0208333333333333 0.0364583333333333 0 0.0104166666666667 0.8125 0 0 0.0625 0 0.125 0 0 0.933333333333333 0 0.0666666666666667 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0.0166666666666667 0.0208333333333333 0 0 0.00833333333333333 0.00833333333333333 0 0 0 0 0.0208333333333333 0.0416666666666667 0.0277777777777778 0 0 0 0 0.0833333333333333 0.0569444444444444 0.316666666666667 0.231944444444444 0.0208333333333333 0.00520833333333333 0.0104166666666667 0 0 0 0 0.0364583333333333 0.59375 0 0.0277777777777778 0.0277777777777778 0.0277777777777778 0 0 0 0 0 0 0 0 0 0 0.25 0 0 0 0.0208333333333333 0 0 0.229166666666667 0 0 0 0 0 0.0416666666666667 0.0104166666666667 0.0208333333333333 0 0 0 0 0.0625 0.53125 0 0 0.0416666666666667 0.0416666666666667 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0.208333333333333 0 0 0 0 0.0277777777777778 0 0 0.222222222222222 0 0 0 0 0
6 20.4166666666667 15 1.83333333333333 2.66666666666667 0.583333333333333 0.25 0.0833333333333333 0.731078203639179 0.0238095238095238 0.014730933023616 0.00238095238095238 0.00515873015873016 0.170315524583817 0.00238095238095238 0.0501451800232288 0.672619047619048 0 0 0.0535714285714286 0 0.220238095238095 0.0446428571428571 0.00892857142857143 0.917989417989418 0.00925925925925925 0 0 0 0.0529100529100529 0 0.0198412698412698 0.953125 0.015625 0 0 0 0.03125 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0625 0.0520833333333333 0 0 0.0208333333333333 0.0104166666666667 0.201388888888889 0.236111111111111 0 0 0.0223214285714286 0 0.0104166666666667 0 0 0.0595238095238095 0.657738095238095 0 0 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0.0138888888888889 0.3125 0 0 0 0 0 0 0.25 0 0 0 0 0.0833333333333333 0 0 0.0446428571428571 0 0.0208333333333333 0 0 0.119047619047619 0.56547619047619 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0104166666666667 0.0208333333333333 0.302083333333333 0 0 0 0 0 0 0 0.25 0 0 0 0 0.0833333333333333
7 23.5833333333333 18.9166666666667 2.33333333333333 1.41666666666667 0.166666666666667 0.583333333333333 0.166666666666667 0.664722160555494 0.00757575757575758 0.0122053872053872 0.0131313131313131 0 0.18376924001924 0.0138888888888889 0.104707252623919 0.649206349206349 0 0.0138888888888889 0.019047619047619 0.0555555555555556 0.196957671957672 0.00793650793650794 0.0574074074074074 0.881944444444445 0.03125 0 0.0138888888888889 0 0.03125 0 0.0416666666666666 0.875 0 0 0.125 0 0 0 0 0.893333333333333 0 0 0.04 0 0.0133333333333333 0 0.0533333333333333 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0.0119047619047619 0.0208333333333333 0 0 0.0285714285714286 0 0 0.0166666666666667 0.0652777777777778 0.0694444444444444 0.223809523809524 0.23015873015873 0 0 0.0416666666666667 0 0.03125 0.0138888888888889 0 0.03125 0.548611111111111 0 0 0 0.0277777777777778 0 0 0 0 0 0 0 0 0 0 0.138888888888889 0.00694444444444444 0.0277777777777778 0.0208333333333333 0 0 0.00694444444444444 0.354166666666667 0 0 0 0 0.0833333333333333 0 0 0.0833333333333333 0 0.0625 0.0277777777777778 0 0.0625 0.430555555555556 0 0 0 0 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0.125 0.00925925925925926 0.00925925925925926 0.0277777777777778 0.0277777777777778 0 0 0.00925925925925926 0.333333333333333 0 0 0 0 0.0833333333333333
8 24.1666666666667 18.4166666666667 2.33333333333333 2.75 0.5 0.0833333333333333 0.0833333333333333 0.647681436497226 0 0 0.0375400641025641 0.0262609649122807 0.175706861973309 0.0921052631578947 0.0207054093567251 0.712244897959184 0.0238095238095238 0 0.0142857142857143 0 0.173979591836735 0.0178571428571429 0.0578231292517007 0.910353535353535 0.0101010101010101 0.0101010101010101 0.0404040404040404 0 0.029040404040404 0 0 0.854166666666667 0 0 0.0625 0 0.0208333333333333 0 0.0625 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0 0 0.0277777777777778 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0.0208333333333333 0 0.0119047619047619 0.0119047619047619 0 0.303174603174603 0.163293650793651 0 0.0104166666666667 0 0.0138888888888889 0.0138888888888889 0.0555555555555556 0 0.0399305555555556 0.782986111111111 0 0 0 0.0277777777777778 0 0 0.0277777777777778 0 0 0 0 0 0 0.00925925925925926 0.268518518518518 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0.0833333333333333 0 0.0208333333333333 0 0.0277777777777778 0.0277777777777778 0.111111111111111 0 0.0590277777777778 0.670138888888889 0 0 0 0 0.0416666666666667 0 0 0.0416666666666667 0 0 0 0 0 0 0.0138888888888889 0.236111111111111 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0.0833333333333333
9 18 13.6666666666667 2 1.66666666666667 0.333333333333333 0.25 0.0833333333333333 0.679889092389092 0.0185185185185185 0.00641025641025641 0.0221153846153846 0.00694444444444444 0.204604192104192 0.00128205128205128 0.0602360602360602 0.680735930735931 0 0.0357142857142857 0 0.0357142857142857 0.13961038961039 0.0595238095238095 0.0487012987012987 0.882539682539683 0.0666666666666666 0 0.019047619047619 0 0.0317460317460317 0 0 0.8125 0 0 0.0625 0 0.0625 0 0.0625 0.85 0.15 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0.0277777777777778 0 0.00757575757575758 0 0.0492424242424242 0.252525252525253 0.162878787878788 0 0.00595238095238095 0 0 0.0416666666666667 0.0119047619047619 0 0.0198412698412698 0.337301587301587 0 0 0 0.0277777777777778 0 0 0.0277777777777778 0 0 0 0 0 0 0.0277777777777778 0.25 0 0 0 0 0.03125 0 0.135416666666667 0 0 0 0 0.0833333333333333 0 0.0119047619047619 0 0 0.0833333333333333 0.0238095238095238 0 0.0277777777777778 0.26984126984127 0 0 0 0 0.0416666666666667 0 0 0.0416666666666667 0 0 0 0 0 0 0.0416666666666667 0.208333333333333 0 0 0 0 0 0.0416666666666667 0 0.125 0 0 0 0 0.0833333333333333
10 27.0833333333333 22.5 1.75 2.33333333333333 0.0833333333333333 0.25 0.0833333333333333 0.658053924043359 0.0274568111016709 0.00909090909090909 0.0591961262359474 0.00121212121212121 0.148596468545676 0.0140535792709706 0.0823400604993453 0.768518518518518 0 0 0.0277777777777778 0.0277777777777778 0.037037037037037 0.0277777777777778 0.111111111111111 0.906084656084656 0.00529100529100529 0 0.00925925925925925 0 0.0793650793650793 0 0 0.75 0 0 0 0 0 0 0.25 1 0 0 0 0 0 0 0 0.857142857142857 0 0 0.142857142857143 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0 0 0 0 0.0416666666666667 0.0416666666666667 0 0.0833333333333333 0 0.0833333333333333 0.402777777777778 0.0555555555555556 0 0.0138888888888889 0 0 0.00595238095238095 0.0104166666666667 0 0.0892857142857143 0.630456349206349 0 0 0 0 0 0 0.0277777777777778 0 0 0 0 0 0 0 0.0555555555555556 0 0 0 0 0 0 0.25 0 0 0.0138888888888889 0 0.0694444444444444 0 0.0277777777777778 0 0 0.0119047619047619 0.0208333333333333 0 0.150793650793651 0.538690476190476 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0 0 0 0.25 0 0 0.0166666666666667 0 0.0666666666666667
