"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "Length1BoutScootsProportion" "Length1BoutJBendsProportion" "Length1BoutCBendsProportion" "Length1BoutOBendsProportion" "Length1BoutEBendsProportion" "Length1BoutGBendsProportion" "Length1BoutHBendsProportion" "Length1BoutIBendsProportion" "Length2BoutScootsProportion" "Length2BoutJBendsProportion" "Length2BoutCBendsProportion" "Length2BoutOBendsProportion" "Length2BoutEBendsProportion" "Length2BoutGBendsProportion" "Length2BoutHBendsProportion" "Length2BoutIBendsProportion" "Length3BoutScootsProportion" "Length3BoutJBendsProportion" "Length3BoutCBendsProportion" "Length3BoutOBendsProportion" "Length3BoutEBendsProportion" "Length3BoutGBendsProportion" "Length3BoutHBendsProportion" "Length3BoutIBendsProportion" "Length4BoutScootsProportion" "Length4BoutJBendsProportion" "Length4BoutCBendsProportion" "Length4BoutOBendsProportion" "Length4BoutEBendsProportion" "Length4BoutGBendsProportion" "Length4BoutHBendsProportion" "Length4BoutIBendsProportion" "Length5BoutScootsProportion" "Length5BoutJBendsProportion" "Length5BoutCBendsProportion" "Length5BoutOBendsProportion" "Length5BoutEBendsProportion" "Length5BoutGBendsProportion" "Length5BoutHBendsProportion" "Length5BoutIBendsProportion" "Length6PlusBoutScootsProportion" "Length6PlusBoutJBendsProportion" "Length6PlusBoutCBendsProportion" "Length6PlusBoutOBendsProportion" "Length6PlusBoutEBendsProportion" "Length6PlusBoutGBendsProportion" "Length6PlusBoutHBendsProportion" "Length6PlusBoutIBendsProportion" "Length2Transition_je_Proportion" "Length2Transition_jh_Proportion" "Length2Transition_ge_Proportion" "Length2Transition_ch_Proportion" "Length2Transition_gi_Proportion" "Length2Transition_ih_Proportion" "Length2Transition_eg_Proportion" "Length2Transition_gc_Proportion" "Length2Transition_oi_Proportion" "Length2Transition_co_Proportion" "Length2Transition_og_Proportion" "Length2Transition_ig_Proportion" "Length2Transition_se_Proportion" "Length2Transition_sh_Proportion" "Length2Transition_ci_Proportion" "Length2Transition_gg_Proportion" "Length2Transition_si_Proportion" "Length2Transition_so_Proportion" "Length2Transition_sc_Proportion" "Length2Transition_sj_Proportion" "Length2Transition_jg_Proportion" "Length2Transition_es_Proportion" "Length2Transition_sg_Proportion" "Length2Transition_js_Proportion" "Length2Transition_hs_Proportion" "Length2Transition_os_Proportion" "Length2Transition_cs_Proportion" "Length2Transition_ss_Proportion" "Length2Transition_is_Proportion" "Length2Transition_gs_Proportion" "Length3Transition_gh_Proportion" "Length3Transition_jg_Proportion" "Length3Transition_jo_Proportion" "Length3Transition_so_Proportion" "Length3Transition_si_Proportion" "Length3Transition_gi_Proportion" "Length3Transition_hs_Proportion" "Length3Transition_sc_Proportion" "Length3Transition_os_Proportion" "Length3Transition_es_Proportion" "Length3Transition_is_Proportion" "Length3Transition_js_Proportion" "Length3Transition_cs_Proportion" "Length3Transition_gs_Proportion" "Length3Transition_ss_Proportion" "Length4Transition_io_Proportion" "Length4Transition_js_Proportion" "Length4Transition_ii_Proportion" "Length4Transition_si_Proportion" "Length4Transition_gg_Proportion" "Length4Transition_so_Proportion" "Length4Transition_es_Proportion" "Length4Transition_cg_Proportion" "Length4Transition_sg_Proportion" "Length4Transition_gs_Proportion" "Length4Transition_os_Proportion" "Length4Transition_is_Proportion" "Length4Transition_cs_Proportion" "Length4Transition_ss_Proportion" "Length5Transition_so_Proportion" "Length5Transition_os_Proportion" "Length5Transition_cs_Proportion" "Length5Transition_si_Proportion" "Length5Transition_is_Proportion" "Length5Transition_js_Proportion" "Length5Transition_gs_Proportion" "Length5Transition_ss_Proportion" "Length6PlusTransition_cs_Proportion" "Length6PlusTransition_gg_Proportion" "Length6PlusTransition_so_Proportion" "Length6PlusTransition_os_Proportion" "Length6PlusTransition_gs_Proportion" "Length6PlusTransition_is_Proportion" "Length6PlusTransition_ss_Proportion" "Length3Transition_ghs_Proportion" "Length3Transition_jgs_Proportion" "Length3Transition_hsi_Proportion" "Length3Transition_jos_Proportion" "Length3Transition_sos_Proportion" "Length3Transition_sis_Proportion" "Length3Transition_gis_Proportion" "Length3Transition_hss_Proportion" "Length3Transition_scs_Proportion" "Length3Transition_oss_Proportion" "Length3Transition_ess_Proportion" "Length3Transition_css_Proportion" "Length3Transition_iss_Proportion" "Length3Transition_jss_Proportion" "Length3Transition_gss_Proportion" "Length3Transition_sss_Proportion" "Length4Transition_ios_Proportion" "Length4Transition_jsi_Proportion" "Length4Transition_sii_Proportion" "Length4Transition_sgg_Proportion" "Length4Transition_ssg_Proportion" "Length4Transition_sos_Proportion" "Length4Transition_cgs_Proportion" "Length4Transition_ess_Proportion" "Length4Transition_sgs_Proportion" "Length4Transition_gss_Proportion" "Length4Transition_oss_Proportion" "Length4Transition_iss_Proportion" "Length4Transition_css_Proportion" "Length4Transition_sss_Proportion" "Length5Transition_sos_Proportion" "Length5Transition_oss_Proportion" "Length5Transition_css_Proportion" "Length5Transition_sis_Proportion" "Length5Transition_gsi_Proportion" "Length5Transition_iss_Proportion" "Length5Transition_jss_Proportion" "Length5Transition_gss_Proportion" "Length5Transition_sss_Proportion" "Length6PlusTransition_css_Proportion" "Length6PlusTransition_ggs_Proportion" "Length6PlusTransition_sos_Proportion" "Length6PlusTransition_oss_Proportion" "Length6PlusTransition_gss_Proportion" "Length6PlusTransition_iss_Proportion" "Length6PlusTransition_sss_Proportion"
1 160.583333333333 135.833333333333 13.25 10.5833333333333 0.333333333333333 0.583333333333333 0 0.199293812670997 0.0629416118424076 0.117105073097588 0.0636724009568126 0.0244064662653971 0.257068978765992 0.049866291030747 0.225645365370059 0.560596540570075 0.0375950803582383 0.0747397144118906 0.0543255673773501 0.0107843137254902 0.141066075335275 0.0336498626821207 0.0872428455395598 0.765254737546404 0.0415159608909608 0.0416975308641975 0.0202356902356902 0.0277777777777777 0.061459574376241 0.00284722222222222 0.039211506086506 0.8125 0 0.0625 0.0625 0 0 0 0.0625 0.983333333333333 0 0 0 0 0.0166666666666667 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00378787878787879 0.00595238095238095 0.00595238095238095 0.00928792569659443 0.0103383458646617 0.0124284317832705 0.0214646464646465 0.0214646464646465 0.0215686274509804 0.0318181818181818 0.0322608677871836 0.0635118465763627 0.0983127888900385 0.13109861608813 0.154562489509558 0.159245384430144 0.216944560482961 0 0 0.00166666666666667 0.00166666666666667 0.00166666666666667 0.00320512820512821 0.00427083333333333 0.0208333333333333 0.0303535353535354 0.0416666666666667 0.0588172591297591 0.0606072746697747 0.0625462962962963 0.0889842333592333 0.62371543965294 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0.0138888888888889 0.0138888888888889 0.125 0 0 0 0 0 0 0.00520833333333333 0.244791666666667 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0.00333333333333333 0.00333333333333333 0.00641025641025641 0.00854166666666667 0.0416666666666667 0.054040404040404 0.0833333333333333 0.0834259259259259 0.107890928515929 0.121214549339549 0.177968466718467 0.305507802382802 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0.0208333333333333 0.0208333333333333 0.104166666666667 0 0 0 0 0 0 0 0.00694444444444444 0.243055555555556 0 0 0 0 0 0 0
2 32.4166666666667 26.5 3.41666666666667 2 0.416666666666667 0.0833333333333333 0 0.301279303352474 0.179409532361469 0.157170879694194 0.102251882303891 0.0210326056057763 0.0666652411433617 0.0384552845528455 0.133735270985988 0.435 0.0883333333333333 0.11375 0.025625 0.025 0.263958333333333 0.0025 0.0458333333333333 0.811706349206349 0.0416666666666666 0.0222222222222222 0.0222222222222222 0.0208333333333333 0.0347222222222222 0.0138888888888889 0.0327380952380952 0.791666666666667 0 0.0416666666666667 0 0 0.166666666666667 0 0 1 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0.00333333333333333 0.0166666666666667 0.0166666666666667 0 0 0 0 0 0.00333333333333333 0.0311111111111111 0.0866666666666667 0.0166666666666667 0.0833333333333333 0 0.00333333333333333 0.0308333333333333 0.148333333333333 0.02 0.0444444444444444 0.161944444444444 0 0 0 0 0 0 0.0138888888888889 0 0.0222222222222222 0.0208333333333333 0.0327380952380952 0.0416666666666667 0.0222222222222222 0.0347222222222222 0.478373015873016 0 0 0 0 0 0 0 0 0.0138888888888889 0.0555555555555556 0 0 0.0138888888888889 0.166666666666667 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0 0.0444444444444444 0.0416666666666667 0.0444444444444444 0.0654761904761905 0.0833333333333333 0.0694444444444444 0.290079365079365 0 0 0 0 0 0 0 0 0.0208333333333333 0.0833333333333333 0 0 0.0208333333333333 0.125 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0
3 30.8333333333333 26.25 1.91666666666667 2.41666666666667 0.0833333333333333 0.166666666666667 0 0.2615003233778 0.0818926301219124 0.150298275558096 0.0666722548797831 0.011529375700971 0.156185563156958 0.0367731216953486 0.235148455509131 0.426587301587302 0.0357142857142857 0.0535714285714286 0.0535714285714286 0.0158730158730159 0.23015873015873 0.0357142857142857 0.148809523809524 0.847474747474748 0.0454545454545454 0.0454545454545454 0 0.0303030303030303 0.0161616161616161 0 0.0151515151515151 0.75 0 0 0 0 0 0 0.25 0.9 0.1 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0.0208333333333333 0 0 0.00925925925925926 0 0 0.0833333333333333 0 0 0 0 0 0.00925925925925926 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0185185185185185 0.173611111111111 0.0601851851851852 0 0 0 0 0 0 0 0 0 0.0416666666666667 0.0208333333333333 0.0625 0.0625 0.0222222222222222 0.706944444444444 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0 0.0555555555555556 0 0 0 0 0 0.0208333333333333 0 0.145833333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0.125 0.0416666666666667 0.125 0.0444444444444444 0.497222222222222 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0.0416666666666667 0 0 0 0 0 0 0.0277777777777778 0 0.138888888888889 0 0 0 0 0 0 0
4 26.25 21.1666666666667 2.66666666666667 2 0.416666666666667 0 0 0.288572676783692 0.042270933530645 0.0590191944416417 0.092712587464946 0.00157232704402516 0.285033769797227 0.101962175665006 0.128856335272817 0.504289215686274 0.0625 0 0.0735294117647059 0.0416666666666667 0.0428921568627451 0.130208333333333 0.144914215686274 0.844444444444445 0.0185185185185185 0.037037037037037 0.0037037037037037 0 0.0296296296296296 0.0037037037037037 0.0629629629629629 0.75 0 0.0416666666666667 0.0416666666666667 0 0.125 0 0.0416666666666667 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0.00490196078431373 0.0208333333333333 0 0 0 0 0.0555555555555556 0 0.0833333333333333 0.173611111111111 0.0147058823529412 0 0.0939542483660131 0.0890522875816993 0.0473856209150327 0 0 0 0.00416666666666667 0.0458333333333333 0 0.00416666666666667 0 0.00416666666666667 0 0.0666666666666667 0.0208333333333333 0.0416666666666667 0.0333333333333333 0.529166666666667 0 0 0 0 0 0 0 0 0 0.0416666666666667 0.0138888888888889 0.0138888888888889 0.0138888888888889 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0 0.00833333333333333 0.0833333333333333 0 0 0 0 0 0.0833333333333333 0.05 0.0416666666666667 0.0666666666666667 0.408333333333333 0 0 0 0 0 0 0 0 0 0.0625 0.0208333333333333 0.0208333333333333 0.0208333333333333 0.125 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5 24.4166666666667 21.3333333333333 1.66666666666667 1.08333333333333 0.0833333333333333 0.25 0 0.32257048729937 0.0838865909202596 0.107146179843548 0.0676528246864934 0.0173793859649123 0.25666782157779 0.0238812271320011 0.120815482575625 0.541666666666667 0 0.0989583333333333 0.109375 0.0625 0.145833333333333 0 0.0416666666666667 0.797619047619048 0 0.0476190476190476 0.0476190476190476 0 0.0714285714285714 0.0119047619047619 0.0238095238095238 0.75 0 0 0.25 0 0 0 0 0.8 0 0 0 0 0.133333333333333 0 0.0666666666666667 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0104166666666667 0.0208333333333333 0 0 0.0833333333333333 0 0 0 0.135416666666667 0.111111111111111 0.0555555555555556 0.0555555555555556 0.194444444444444 0 0 0 0 0 0 0.0104166666666667 0 0.0416666666666667 0 0.0208333333333333 0 0.0416666666666667 0.0625 0.40625 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0 0 0.0555555555555556 0 0 0 0.0208333333333333 0.0208333333333333 0 0.0416666666666667 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0 0.0833333333333333 0 0.0833333333333333 0.0416666666666667 0 0.125 0.229166666666667 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0.0416666666666667 0 0 0 0.0277777777777778 0.0277777777777778 0.0277777777777778 0 0.0277777777777778 0.138888888888889 0 0 0 0 0 0 0
6 15.6666666666667 11.4166666666667 1.5 1.91666666666667 0.5 0.25 0.0833333333333333 0.282208780683305 0.024640142050187 0.095144094619357 0.105049937152636 0.0211352657004831 0.23335938044675 0.0656886469046179 0.172773752442664 0.566666666666667 0 0 0.194444444444444 0.0185185185185185 0.0962962962962963 0 0.124074074074074 0.790123456790124 0.0555555555555555 0.00462962962962963 0.0169753086419753 0 0.104938271604938 0 0.0277777777777777 0.775 0 0.05 0 0.05 0.05 0 0.075 0.9 0 0.1 0 0 0 0 0 0.833333333333333 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0.0416666666666667 0 0 0.291666666666667 0 0.1 0.186111111111111 0.102777777777778 0 0 0 0 0 0 0 0 0.0190972222222222 0 0.03125 0.0625 0.00520833333333333 0.118055555555556 0.513888888888889 0 0 0 0 0 0 0.0277777777777778 0.0277777777777778 0 0.0277777777777778 0 0.0416666666666667 0 0.291666666666667 0 0 0.0208333333333333 0 0 0 0 0.145833333333333 0 0 0 0 0 0.0166666666666667 0.0666666666666667 0 0 0 0 0 0 0 0 0 0.0381944444444444 0 0.0104166666666667 0.0625 0.125 0.236111111111111 0.277777777777778 0 0 0 0 0 0 0.0416666666666667 0.0416666666666667 0 0.0416666666666667 0 0.0625 0 0.229166666666667 0 0 0.0277777777777778 0 0 0 0 0 0.138888888888889 0 0 0 0 0 0.0208333333333333 0.0625
7 15.5 13.0833333333333 1.58333333333333 0.666666666666667 0.166666666666667 0 0 0.459613328786757 0.0444533863702221 0.0508227303460569 0.0890677566742475 0.027843137254902 0.0695265877162429 0.0487878787878788 0.209885194063693 0.559722222222222 0 0.1 0 0.0166666666666667 0.0916666666666667 0.0333333333333333 0.198611111111111 0.80952380952381 0 0 0.0476190476190476 0 0 0 0.142857142857143 0.875 0 0.125 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0.0166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0 0.0333333333333333 0 0.0833333333333333 0.0763888888888889 0.198611111111111 0.075 0 0 0 0 0 0 0 0 0.0416666666666667 0 0.125 0 0 0 0.416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0.138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0.25 0 0 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0.125 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
8 40.8333333333333 31.6666666666667 3.91666666666667 4.58333333333333 0.416666666666667 0.166666666666667 0.0833333333333333 0.4439383741641 0.0643244526572294 0.0528542077553807 0.0729462623330548 0.0245424125141106 0.199229236028994 0.0140032399466362 0.128161814600494 0.511111111111111 0.00925925925925926 0.0277777777777778 0.0296296296296296 0.0740740740740741 0.214814814814815 0.037037037037037 0.0962962962962963 0.835891381345927 0.0137085137085137 0.00708382526564344 0.0559163059163059 0 0.0477174340810704 0 0.0396825396825396 0.6875 0 0 0.15625 0 0.15625 0 0 0.9 0 0.1 0 0 0 0 0 0.833333333333333 0 0 0 0 0.166666666666667 0 0 0 0 0 0.0138888888888889 0.0138888888888889 0.0277777777777778 0.0833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0.0277777777777778 0.05 0 0.0138888888888889 0.0444444444444444 0.0277777777777778 0.169444444444444 0.102777777777778 0.161111111111111 0 0 0 0 0 0 0 0 0.0768849206349206 0 0.0545634920634921 0.0188492063492063 0.00974025974025974 0.0656114718614719 0.691017316017316 0 0 0 0 0.0277777777777778 0.0277777777777778 0 0 0.0277777777777778 0.0138888888888889 0.0694444444444444 0 0 0.166666666666667 0 0 0.0208333333333333 0 0 0 0 0.145833333333333 0 0 0 0 0.0166666666666667 0 0.0666666666666667 0 0 0 0 0 0 0 0 0 0.153769841269841 0 0.0194805194805195 0.109126984126984 0.0376984126984127 0.131222943722944 0.465367965367965 0 0 0 0.0416666666666667 0.0416666666666667 0.0416666666666667 0 0 0 0.0208333333333333 0.104166666666667 0 0 0.0833333333333333 0 0 0.0277777777777778 0 0 0 0 0 0.138888888888889 0 0 0 0 0.0208333333333333 0 0.0625
9 14.5 10.25 1.5 2.08333333333333 0.166666666666667 0.25 0.25 0.396024784182679 0.0527777777777778 0.0254385964912281 0.067287141464773 0.00925925925925926 0.219135512392091 0.0345655806182122 0.195511347813979 0.609375 0 0.0625 0.078125 0.0208333333333333 0.078125 0.03125 0.119791666666667 0.796626984126984 0.0104166666666667 0.0823412698412698 0 0 0.0828373015873015 0.00694444444444444 0.0208333333333333 0.625 0.125 0 0 0 0 0 0.25 0.95 0 0 0 0 0.05 0 0 0.833333333333333 0 0 0.0555555555555557 0 0.111111111111111 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0 0 0 0 0 0.0208333333333333 0 0 0 0.0277777777777778 0.0208333333333333 0 0.0416666666666667 0.0833333333333333 0.0833333333333333 0.173611111111111 0.131944444444444 0.0555555555555556 0 0.0104166666666667 0 0 0 0 0.00694444444444444 0 0 0 0.0208333333333333 0 0.0823412698412698 0.0828373015873016 0.463293650793651 0 0.0277777777777778 0.0277777777777778 0.0277777777777778 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0.0104166666666667 0.15625 0 0.0166666666666667 0.0166666666666667 0.0166666666666667 0.0166666666666667 0 0.183333333333333 0 0.0208333333333333 0 0 0 0 0 0.0138888888888889 0 0 0 0.16468253968254 0.0416666666666667 0 0.14484126984127 0.280753968253968 0 0.0416666666666667 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0 0.0138888888888889 0.152777777777778 0 0.0208333333333333 0.0208333333333333 0.0208333333333333 0.0208333333333333 0 0.166666666666667
10 14.0833333333333 10.25 1.33333333333333 2 0.333333333333333 0.0833333333333333 0.0833333333333333 0.304431216931217 0.135582010582011 0.0552248677248677 0.159722222222222 0.0238095238095238 0.12526455026455 0.0308862433862434 0.165079365079365 0.591666666666667 0.0833333333333333 0 0 0.0277777777777778 0.0472222222222222 0.0277777777777778 0.222222222222222 0.84375 0 0.0416666666666666 0.00520833333333333 0.00520833333333333 0.0416666666666666 0.0208333333333333 0.0416666666666666 0.833333333333333 0 0.0833333333333333 0 0 0.0833333333333333 0 0 1 0 0 0 0 0 0 0 0.833333333333333 0 0 0.166666666666667 0 0 0 0 0 0 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0.0833333333333333 0.0277777777777778 0 0 0.105555555555556 0.222222222222222 0.0333333333333333 0 0 0 0 0 0 0.0208333333333333 0 0.00520833333333333 0.00520833333333333 0.0416666666666667 0 0.0416666666666667 0.0416666666666667 0.510416666666667 0 0 0 0 0 0 0 0 0 0.0277777777777778 0 0 0.0277777777777778 0.194444444444444 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0.0166666666666667 0 0 0.0666666666666667 0 0 0 0 0 0 0 0.0416666666666667 0 0.0104166666666667 0.0104166666666667 0.0833333333333333 0.0833333333333333 0 0.0833333333333333 0.354166666666667 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0.0416666666666667 0.166666666666667 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0.0208333333333333 0 0 0.0625
