"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "Length1BoutScootsProportion" "Length1BoutJBendsProportion" "Length1BoutCBendsProportion" "Length1BoutOBendsProportion" "Length1BoutEBendsProportion" "Length1BoutGBendsProportion" "Length1BoutHBendsProportion" "Length1BoutIBendsProportion" "Length2BoutScootsProportion" "Length2BoutJBendsProportion" "Length2BoutCBendsProportion" "Length2BoutOBendsProportion" "Length2BoutEBendsProportion" "Length2BoutGBendsProportion" "Length2BoutHBendsProportion" "Length2BoutIBendsProportion" "Length3BoutScootsProportion" "Length3BoutJBendsProportion" "Length3BoutCBendsProportion" "Length3BoutOBendsProportion" "Length3BoutEBendsProportion" "Length3BoutGBendsProportion" "Length3BoutHBendsProportion" "Length3BoutIBendsProportion" "Length4BoutScootsProportion" "Length4BoutJBendsProportion" "Length4BoutCBendsProportion" "Length4BoutOBendsProportion" "Length4BoutEBendsProportion" "Length4BoutGBendsProportion" "Length4BoutHBendsProportion" "Length4BoutIBendsProportion" "Length5BoutScootsProportion" "Length5BoutJBendsProportion" "Length5BoutCBendsProportion" "Length5BoutOBendsProportion" "Length5BoutEBendsProportion" "Length5BoutGBendsProportion" "Length5BoutHBendsProportion" "Length5BoutIBendsProportion" "Length6PlusBoutScootsProportion" "Length6PlusBoutJBendsProportion" "Length6PlusBoutCBendsProportion" "Length6PlusBoutOBendsProportion" "Length6PlusBoutEBendsProportion" "Length6PlusBoutGBendsProportion" "Length6PlusBoutHBendsProportion" "Length6PlusBoutIBendsProportion" "Length2Transition_oj_Proportion" "Length2Transition_ic_Proportion" "Length2Transition_og_Proportion" "Length2Transition_eg_Proportion" "Length2Transition_oc_Proportion" "Length2Transition_jj_Proportion" "Length2Transition_ii_Proportion" "Length2Transition_se_Proportion" "Length2Transition_gg_Proportion" "Length2Transition_sh_Proportion" "Length2Transition_sc_Proportion" "Length2Transition_go_Proportion" "Length2Transition_es_Proportion" "Length2Transition_sj_Proportion" "Length2Transition_ci_Proportion" "Length2Transition_io_Proportion" "Length2Transition_so_Proportion" "Length2Transition_si_Proportion" "Length2Transition_gc_Proportion" "Length2Transition_sg_Proportion" "Length2Transition_ss_Proportion" "Length2Transition_js_Proportion" "Length2Transition_cs_Proportion" "Length2Transition_jg_Proportion" "Length2Transition_os_Proportion" "Length2Transition_gs_Proportion" "Length2Transition_hs_Proportion" "Length2Transition_is_Proportion" "Length3Transition_ii_Proportion" "Length3Transition_gi_Proportion" "Length3Transition_oh_Proportion" "Length3Transition_ji_Proportion" "Length3Transition_sg_Proportion" "Length3Transition_so_Proportion" "Length3Transition_hs_Proportion" "Length3Transition_is_Proportion" "Length3Transition_jg_Proportion" "Length3Transition_es_Proportion" "Length3Transition_gs_Proportion" "Length3Transition_os_Proportion" "Length3Transition_js_Proportion" "Length3Transition_cs_Proportion" "Length3Transition_ss_Proportion" "Length4Transition_es_Proportion" "Length4Transition_sj_Proportion" "Length4Transition_os_Proportion" "Length4Transition_si_Proportion" "Length4Transition_js_Proportion" "Length4Transition_is_Proportion" "Length4Transition_gs_Proportion" "Length4Transition_ss_Proportion" "Length5Transition_cs_Proportion" "Length5Transition_os_Proportion" "Length5Transition_si_Proportion" "Length5Transition_js_Proportion" "Length5Transition_is_Proportion" "Length5Transition_gs_Proportion" "Length5Transition_gg_Proportion" "Length5Transition_ss_Proportion" "Length6PlusTransition_si_Proportion" "Length6PlusTransition_ii_Proportion" "Length6PlusTransition_sg_Proportion" "Length6PlusTransition_gs_Proportion" "Length6PlusTransition_ss_Proportion" "Length3Transition_gii_Proportion" "Length3Transition_ohs_Proportion" "Length3Transition_oso_Proportion" "Length3Transition_jis_Proportion" "Length3Transition_sos_Proportion" "Length3Transition_sgs_Proportion" "Length3Transition_iss_Proportion" "Length3Transition_gss_Proportion" "Length3Transition_hss_Proportion" "Length3Transition_jgs_Proportion" "Length3Transition_ess_Proportion" "Length3Transition_oss_Proportion" "Length3Transition_jss_Proportion" "Length3Transition_sss_Proportion" "Length3Transition_css_Proportion" "Length4Transition_ess_Proportion" "Length4Transition_sjs_Proportion" "Length4Transition_sis_Proportion" "Length4Transition_oss_Proportion" "Length4Transition_jss_Proportion" "Length4Transition_iss_Proportion" "Length4Transition_gss_Proportion" "Length4Transition_sss_Proportion" "Length5Transition_css_Proportion" "Length5Transition_oss_Proportion" "Length5Transition_sis_Proportion" "Length5Transition_jss_Proportion" "Length5Transition_iss_Proportion" "Length5Transition_gss_Proportion" "Length5Transition_ggs_Proportion" "Length5Transition_sss_Proportion" "Length6PlusTransition_iii_Proportion" "Length6PlusTransition_ssi_Proportion" "Length6PlusTransition_sii_Proportion" "Length6PlusTransition_gsg_Proportion" "Length6PlusTransition_ssg_Proportion" "Length6PlusTransition_sgs_Proportion" "Length6PlusTransition_gss_Proportion" "Length6PlusTransition_sss_Proportion"
1 80.3333333333333 71.6666666666667 5.25 2.83333333333333 0.416666666666667 0.0833333333333333 0.0833333333333333 0.14876815178679 0.117228477730367 0.135145593053954 0.0778831742184408 0.0323710407072219 0.162625756264708 0.0539092179461812 0.272068588292336 0.468101733447002 0.0526712134129014 0.0439755612389883 0.0465331059960216 0.00241545893719807 0.124786871270247 0.0866013071895425 0.174914748508099 0.718614718614719 0.0826118326118325 0.075036075036075 0.0551948051948051 0.0176767676767677 0.0313852813852813 0.00974025974025973 0.00974025974025973 0.75 0.0625 0 0 0 0.125 0 0.0625 0.6 0 0 0 0 0.4 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0036231884057971 0.0036231884057971 0.0036231884057971 0.00490196078431373 0.00490196078431373 0.00490196078431373 0.0072463768115942 0.0208333333333333 0.0215686274509804 0.0280797101449275 0.0337169650468883 0.0402280477408355 0.0416666666666667 0.0563725490196078 0.0994884910485933 0.129901960784314 0.245321824381927 0 0 0 0.00297619047619048 0.0104166666666667 0.0104166666666667 0.0133928571428571 0.0133928571428571 0.0208333333333333 0.0243055555555556 0.0431547619047619 0.0758928571428571 0.089781746031746 0.103174603174603 0.508928571428572 0 0 0 0 0.0277777777777778 0.0277777777777778 0.0555555555555556 0.222222222222222 0 0 0 0 0 0.0208333333333333 0.0208333333333333 0.0416666666666667 0 0 0 0 0.0833333333333333 0 0 0 0.00595238095238095 0.0208333333333333 0.0208333333333333 0.0208333333333333 0.0238095238095238 0.0267857142857143 0.0416666666666667 0.0486111111111111 0.130952380952381 0.179563492063492 0.19047619047619 0.206349206349206 0 0 0 0 0.0416666666666667 0.0416666666666667 0.0833333333333333 0.166666666666667 0 0 0 0 0 0.0277777777777778 0.0277777777777778 0.0277777777777778 0 0 0 0 0 0 0 0.0833333333333333
2 35.25 31.1666666666667 2.58333333333333 1.16666666666667 0.0833333333333333 0.166666666666667 0.0833333333333333 0.179844835006527 0.118917485477776 0.159216960419009 0.110509974833096 0.0328123426390316 0.157160539732057 0.0344099595670688 0.207127902325434 0.516666666666667 0.0675 0.201666666666667 0.0229166666666667 0.00625 0.0729166666666667 0.0725 0.0395833333333333 0.6875 0.138888888888889 0.0451388888888888 0.0729166666666666 0.0138888888888889 0.0416666666666666 0 0 0.75 0 0 0 0 0.25 0 0 0.9 0 0 0 0 0 0 0.1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0.0833333333333333 0.166666666666667 0 0.0104166666666667 0.0305555555555556 0 0 0 0.0416666666666667 0 0 0.0555555555555556 0.0819444444444444 0.169444444444444 0 0.0381944444444444 0.0659722222222222 0.0375 0.0243055555555556 0 0 0 0 0 0 0 0 0 0.0138888888888889 0.0416666666666667 0.0729166666666667 0.138888888888889 0.0451388888888889 0.354166666666667 0 0 0 0 0 0 0.0277777777777778 0.0555555555555556 0 0 0 0 0.0208333333333333 0 0 0.145833333333333 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0 0.0833333333333333 0 0 0.0277777777777778 0.145833333333333 0.277777777777778 0.0416666666666667 0.0902777777777778 0 0 0 0 0 0 0.0416666666666667 0.0416666666666667 0 0 0 0 0.0277777777777778 0 0 0.138888888888889 0 0 0 0 0 0 0 0.0833333333333333
3 25.8333333333333 21.5 2.41666666666667 1.5 0.166666666666667 0.25 0 0.194108931717291 0.0982734912146677 0.132270817417876 0.126464065690072 0.0572701882454204 0.177303147202528 0.0293214356449651 0.18498792286718 0.50625 0.0479166666666667 0.0916666666666667 0.0583333333333333 0.0208333333333333 0.172916666666667 0.0166666666666667 0.0854166666666667 0.742063492063492 0.0158730158730159 0.111111111111111 0.0396825396825397 0 0.0158730158730159 0 0.0753968253968253 0.75 0 0 0 0 0 0 0.25 0.933333333333333 0.0666666666666667 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0 0.0277777777777778 0.0277777777777778 0 0 0 0 0 0.0833333333333333 0.00833333333333333 0.0361111111111111 0.113888888888889 0 0.0777777777777778 0.147222222222222 0.0222222222222222 0.113888888888889 0 0 0 0 0 0.00694444444444444 0 0.0659722222222222 0 0 0.0138888888888889 0.0277777777777778 0.0138888888888889 0.0972222222222222 0.357638888888889 0 0 0 0 0 0.0555555555555556 0 0.111111111111111 0 0 0 0.0208333333333333 0 0 0 0.229166666666667 0 0 0 0 0 0 0 0.0138888888888889 0 0 0 0.131944444444444 0.0277777777777778 0 0 0 0.0416666666666667 0.0277777777777778 0.145833333333333 0.194444444444444 0 0 0 0 0 0.0833333333333333 0 0.0833333333333333 0 0 0 0.0277777777777778 0 0 0 0.222222222222222 0 0 0 0 0 0 0 0
4 23 19 2.16666666666667 1.58333333333333 0 0.25 0 0.205506235116786 0.0931520702596284 0.152785841403745 0.0878988271665255 0.0470238095238095 0.210201199342786 0.0403742924818506 0.163057724704869 0.525 0.075 0.0125 0.08 0.05 0.0416666666666667 0.0266666666666667 0.189166666666667 0.722222222222222 0.0277777777777777 0.0956790123456789 0.0493827160493827 0.0185185185185185 0 0.0185185185185185 0.0679012345679012 NA NA NA NA NA NA NA NA 0.866666666666667 0.133333333333333 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0.0208333333333333 0.0208333333333333 0 0 0 0 0.0625 0 0 0 0 0 0 0 0.0625 0.125 0.0208333333333333 0 0.133333333333333 0.0694444444444444 0.0444444444444444 0.273611111111111 0 0 0 0 0 0 0.0208333333333333 0.0763888888888889 0 0.0208333333333333 0 0.0555555555555556 0.03125 0.107638888888889 0.4375 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0.208333333333333 0 0 0 0 0 0 0 0 0 0 0 0.152777777777778 0 0.0416666666666667 0 0.0416666666666667 0.111111111111111 0.0625 0.125 0.215277777777778 0 0 0 0 0 0 0 0 0 0 0 0.0555555555555556 0 0 0 0.194444444444444 0 0 0 0 0 0 0 0
5 25.0833333333333 21.4166666666667 2 1.33333333333333 0.166666666666667 0.0833333333333333 0 0.221167582417582 0.0812774725274725 0.111288919413919 0.081268315018315 0.0415018315018315 0.166373626373626 0.0778159340659341 0.219306318681319 0.454365079365079 0.176587301587302 0.0357142857142857 0.0892857142857143 0.0357142857142857 0.10515873015873 0.0357142857142857 0.0674603174603175 0.698412698412699 0.126984126984127 0.0476190476190476 0.0238095238095238 0 0.0317460317460317 0.0238095238095238 0.0476190476190476 0.75 0 0 0.125 0 0 0 0.125 0.8 0.2 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0.0416666666666667 0.0833333333333333 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0.0208333333333333 0 0.0416666666666667 0.0717592592592593 0.0393518518518519 0 0 0.0625 0.0810185185185185 0.0416666666666667 0.0578703703703704 0 0 0.0208333333333333 0 0 0 0.0208333333333333 0.0416666666666667 0 0 0.0277777777777778 0 0.111111111111111 0.0416666666666667 0.319444444444444 0 0 0.0277777777777778 0.0277777777777778 0 0.0277777777777778 0 0.0833333333333333 0 0 0 0.0208333333333333 0 0 0 0.0625 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0.0833333333333333 0.0555555555555556 0 0 0 0 0.222222222222222 0.0972222222222222 0.0833333333333333 0 0 0.0416666666666667 0.0416666666666667 0 0.0416666666666667 0 0.0416666666666667 0 0 0 0.0277777777777778 0 0 0 0.0555555555555556 0 0 0 0 0 0 0 0
6 13.9166666666667 11.9166666666667 1.16666666666667 0.583333333333333 0.0833333333333333 0 0.0833333333333333 0.102289876695649 0.107732460427707 0.161819596645573 0.105152115381317 0.0671451355661882 0.186884978820463 0.0802490096208263 0.188726826842277 0.5 0.0142857142857143 0.0357142857142857 0.107142857142857 0 0.157142857142857 0.0142857142857143 0.171428571428571 0.694444444444445 0.0555555555555555 0.138888888888889 0.0555555555555555 0 0 0 0.0555555555555555 0.75 0 0 0 0 0.25 0 0 NA NA NA NA NA NA NA NA 0.833333333333333 0 0 0 0 0.166666666666667 0 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0.0416666666666667 0 0 0 0 0 0.0416666666666667 0 0 0.0166666666666667 0 0.0166666666666667 0 0 0.0833333333333333 0.166666666666667 0 0.2 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0.0416666666666667 0.0416666666666667 0.104166666666667 0.270833333333333 0 0 0 0 0 0 0.0277777777777778 0.0555555555555556 0 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0.0666666666666667 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0.0833333333333333 0.0833333333333333 0.0416666666666667 0.208333333333333 0 0 0 0 0 0 0.0416666666666667 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0.0625
7 23.25 20.25 1.66666666666667 1 0.25 0.0833333333333333 0 0.26293484515589 0.0882531235889473 0.075984364158985 0.0956371625863151 0.0205242783669783 0.182733670334027 0.0859827741434566 0.1879497816654 0.462962962962963 0.037037037037037 0.037037037037037 0.0925925925925926 0.111111111111111 0.101851851851852 0.0185185185185185 0.138888888888889 0.753086419753087 0.037037037037037 0.0246913580246913 0.074074074074074 0 0.074074074074074 0.037037037037037 0 0.75 0.0625 0 0 0 0.125 0 0.0625 0.8 0 0 0 0 0 0 0.2 NA NA NA NA NA NA NA NA 0 0.0277777777777778 0.0277777777777778 0.0833333333333333 0 0 0 0 0 0 0.0277777777777778 0 0.0833333333333333 0.0416666666666667 0 0 0 0.0138888888888889 0 0 0.0833333333333333 0.0138888888888889 0 0 0.111111111111111 0.0416666666666667 0.0277777777777778 0.166666666666667 0 0 0 0 0 0 0.0416666666666667 0 0 0 0.0833333333333333 0.0833333333333333 0.0416666666666667 0.0277777777777778 0.472222222222222 0 0.0138888888888889 0 0 0.0138888888888889 0.0138888888888889 0.0277777777777778 0.0972222222222222 0 0 0.0208333333333333 0 0.0208333333333333 0 0 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0.166666666666667 0.0833333333333333 0 0 0.166666666666667 0.0833333333333333 0.194444444444444 0.0555555555555556 0 0.0208333333333333 0 0 0.0208333333333333 0.0208333333333333 0.0416666666666667 0.0625 0 0 0.0277777777777778 0 0.0277777777777778 0 0 0.0277777777777778 0 0 0 0 0 0 0 0
8 10.75 9.08333333333333 0.833333333333333 0.583333333333333 0.166666666666667 0 0.0833333333333333 0.100747053872054 0.121464646464646 0.0769675925925926 0.133785774410774 0.0706018518518518 0.262773569023569 0.0744739057239057 0.159185606060606 0.5625 0.09375 0.0625 0.03125 0.0625 0.15625 0 0.03125 0.766666666666667 0 0 0.0666666666666666 0.0333333333333333 0.0666666666666666 0 0.0666666666666666 0.75 0 0 0 0.125 0 0 0.125 NA NA NA NA NA NA NA NA 1 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0.0416666666666667 0.208333333333333 0 0.0833333333333333 0.0833333333333333 0 0.0833333333333333 0 0.0416666666666667 0 0 0 0 0 0 0 0.0416666666666667 0 0.0208333333333333 0.0416666666666667 0.0416666666666667 0 0 0.270833333333333 0.0277777777777778 0 0 0 0 0.0277777777777778 0 0.111111111111111 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0.0833333333333333 0.0833333333333333 0 0 0.0416666666666667 0.0833333333333333 0 0.125 0 0.0416666666666667 0 0 0 0 0.0416666666666667 0 0.0833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333
9 17.5 15.4166666666667 1 0.75 0.0833333333333333 0.166666666666667 0.0833333333333333 0.167628667628668 0.096031746031746 0.14037999037999 0.0451058201058201 0.0370731120731121 0.160161135161135 0.0206349206349206 0.332984607984608 0.548611111111111 0 0.0833333333333333 0 0.0486111111111111 0.0208333333333333 0.0833333333333333 0.215277777777778 0.6 0.12 0.0666666666666666 0.0799999999999999 0 0.0666666666666666 0 0.0666666666666666 0.75 0.25 0 0 0 0 0 0 0.9 0 0 0.1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0486111111111111 0 0 0 0 0.0277777777777778 0 0 0.0486111111111111 0 0.0833333333333333 0 0 0.0208333333333333 0.0833333333333333 0.1875 0 0 0 0 0 0 0 0.0416666666666667 0.0416666666666667 0 0.0416666666666667 0.05 0.0333333333333333 0.0416666666666667 0.166666666666667 0 0 0 0 0.0277777777777778 0 0 0.0555555555555556 0 0.0208333333333333 0 0 0 0 0 0.145833333333333 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0.0833333333333333 0 0 0.0833333333333333 0 0.1 0.0666666666666667 0 0.0833333333333333 0 0 0 0 0.0416666666666667 0 0 0.0416666666666667 0 0.0277777777777778 0 0 0 0 0 0.138888888888889 0 0 0 0 0 0 0 0.0833333333333333
10 16.6666666666667 13.8333333333333 1.25 1.16666666666667 0 0.166666666666667 0.166666666666667 0.176988864793743 0.154978964125306 0.123752670094134 0.0463300926715561 0.02022286656433 0.150011776841045 0.0399852180339985 0.287729546875888 0.541666666666667 0.0104166666666667 0.0104166666666667 0.0416666666666667 0 0.229166666666667 0.0104166666666667 0.15625 0.777777777777778 0.145833333333333 0 0 0 0.00694444444444444 0 0.0694444444444444 NA NA NA NA NA NA NA NA 0.9 0 0.1 0 0 0 0 0 0.607142857142857 0 0 0 0 0.205357142857143 0 0.1875 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0104166666666667 0 0 0 0.0104166666666667 0 0 0.0416666666666667 0 0.0104166666666667 0 0.0416666666666667 0.229166666666667 0.0104166666666667 0.145833333333333 0 0 0 0 0 0 0 0.0520833333333333 0 0 0.00520833333333333 0 0.109375 0 0.333333333333333 0 0 0 0 0 0 0 0 0.0208333333333333 0 0 0 0 0 0 0.145833333333333 0.00641025641025641 0.0128205128205128 0.0192307692307692 0.0192307692307692 0.0256410256410256 0 0 0 0 0 0 0.104166666666667 0.0104166666666667 0 0 0 0 0.21875 0.166666666666667 0 0 0 0 0 0 0 0 0 0.0277777777777778 0 0 0 0 0 0 0.138888888888889 0.00757575757575758 0.00757575757575758 0.00757575757575758 0.00757575757575758 0.0151515151515152 0.0227272727272727 0.0151515151515152 0
