"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "Length1BoutScootsProportion" "Length1BoutJBendsProportion" "Length1BoutCBendsProportion" "Length1BoutOBendsProportion" "Length1BoutEBendsProportion" "Length1BoutGBendsProportion" "Length1BoutHBendsProportion" "Length1BoutIBendsProportion" "Length2BoutScootsProportion" "Length2BoutJBendsProportion" "Length2BoutCBendsProportion" "Length2BoutOBendsProportion" "Length2BoutEBendsProportion" "Length2BoutGBendsProportion" "Length2BoutHBendsProportion" "Length2BoutIBendsProportion" "Length3BoutScootsProportion" "Length3BoutJBendsProportion" "Length3BoutCBendsProportion" "Length3BoutOBendsProportion" "Length3BoutEBendsProportion" "Length3BoutGBendsProportion" "Length3BoutHBendsProportion" "Length3BoutIBendsProportion" "Length4BoutScootsProportion" "Length4BoutJBendsProportion" "Length4BoutCBendsProportion" "Length4BoutOBendsProportion" "Length4BoutEBendsProportion" "Length4BoutGBendsProportion" "Length4BoutHBendsProportion" "Length4BoutIBendsProportion" "Length5BoutScootsProportion" "Length5BoutJBendsProportion" "Length5BoutCBendsProportion" "Length5BoutOBendsProportion" "Length5BoutEBendsProportion" "Length5BoutGBendsProportion" "Length5BoutHBendsProportion" "Length5BoutIBendsProportion" "Length6PlusBoutScootsProportion" "Length6PlusBoutJBendsProportion" "Length6PlusBoutCBendsProportion" "Length6PlusBoutOBendsProportion" "Length6PlusBoutEBendsProportion" "Length6PlusBoutGBendsProportion" "Length6PlusBoutHBendsProportion" "Length6PlusBoutIBendsProportion" "Length2Transition_cg_Proportion" "Length2Transition_cc_Proportion" "Length2Transition_sc_Proportion" "Length2Transition_ig_Proportion" "Length2Transition_sh_Proportion" "Length2Transition_eg_Proportion" "Length2Transition_ci_Proportion" "Length2Transition_jj_Proportion" "Length2Transition_gg_Proportion" "Length2Transition_se_Proportion" "Length2Transition_jc_Proportion" "Length2Transition_ei_Proportion" "Length2Transition_si_Proportion" "Length2Transition_sj_Proportion" "Length2Transition_es_Proportion" "Length2Transition_oc_Proportion" "Length2Transition_gj_Proportion" "Length2Transition_jg_Proportion" "Length2Transition_ji_Proportion" "Length2Transition_hs_Proportion" "Length2Transition_js_Proportion" "Length2Transition_sg_Proportion" "Length2Transition_cs_Proportion" "Length2Transition_os_Proportion" "Length2Transition_ss_Proportion" "Length2Transition_is_Proportion" "Length2Transition_gs_Proportion" "Length3Transition_co_Proportion" "Length3Transition_sg_Proportion" "Length3Transition_so_Proportion" "Length3Transition_jg_Proportion" "Length3Transition_os_Proportion" "Length3Transition_es_Proportion" "Length3Transition_si_Proportion" "Length3Transition_hs_Proportion" "Length3Transition_cs_Proportion" "Length3Transition_is_Proportion" "Length3Transition_gs_Proportion" "Length3Transition_js_Proportion" "Length3Transition_ss_Proportion" "Length4Transition_so_Proportion" "Length4Transition_sh_Proportion" "Length4Transition_jc_Proportion" "Length4Transition_cs_Proportion" "Length4Transition_es_Proportion" "Length4Transition_os_Proportion" "Length4Transition_si_Proportion" "Length4Transition_hs_Proportion" "Length4Transition_js_Proportion" "Length4Transition_jg_Proportion" "Length4Transition_is_Proportion" "Length4Transition_gs_Proportion" "Length4Transition_ss_Proportion" "Length5Transition_hs_Proportion" "Length5Transition_jg_Proportion" "Length5Transition_js_Proportion" "Length5Transition_os_Proportion" "Length5Transition_ig_Proportion" "Length5Transition_ii_Proportion" "Length5Transition_cs_Proportion" "Length5Transition_is_Proportion" "Length5Transition_gs_Proportion" "Length5Transition_ss_Proportion" "Length6PlusTransition_hg_Proportion" "Length6PlusTransition_js_Proportion" "Length6PlusTransition_cs_Proportion" "Length6PlusTransition_sg_Proportion" "Length6PlusTransition_gs_Proportion" "Length6PlusTransition_is_Proportion" "Length6PlusTransition_ss_Proportion" "Length3Transition_cos_Proportion" "Length3Transition_hsg_Proportion" "Length3Transition_sgs_Proportion" "Length3Transition_jso_Proportion" "Length3Transition_jgs_Proportion" "Length3Transition_oss_Proportion" "Length3Transition_ess_Proportion" "Length3Transition_sis_Proportion" "Length3Transition_hss_Proportion" "Length3Transition_css_Proportion" "Length3Transition_iss_Proportion" "Length3Transition_gss_Proportion" "Length3Transition_jss_Proportion" "Length3Transition_sss_Proportion" "Length4Transition_sos_Proportion" "Length4Transition_ssh_Proportion" "Length4Transition_jcs_Proportion" "Length4Transition_css_Proportion" "Length4Transition_ess_Proportion" "Length4Transition_oss_Proportion" "Length4Transition_sis_Proportion" "Length4Transition_hss_Proportion" "Length4Transition_jss_Proportion" "Length4Transition_jgs_Proportion" "Length4Transition_iss_Proportion" "Length4Transition_gss_Proportion" "Length4Transition_sss_Proportion" "Length5Transition_hss_Proportion" "Length5Transition_jgs_Proportion" "Length5Transition_jss_Proportion" "Length5Transition_oss_Proportion" "Length5Transition_igs_Proportion" "Length5Transition_iig_Proportion" "Length5Transition_css_Proportion" "Length5Transition_iss_Proportion" "Length5Transition_gss_Proportion" "Length5Transition_sss_Proportion" "Length6PlusTransition_hgs_Proportion" "Length6PlusTransition_jss_Proportion" "Length6PlusTransition_css_Proportion" "Length6PlusTransition_sgs_Proportion" "Length6PlusTransition_ssg_Proportion" "Length6PlusTransition_gss_Proportion" "Length6PlusTransition_iss_Proportion" "Length6PlusTransition_sss_Proportion"
1 140.416666666667 113.916666666667 13.25 10.9166666666667 1.33333333333333 1 0 0.297973855912104 0.0563591310681548 0.0648002120041319 0.0186830978198477 0.0140713067060146 0.315050843624485 0.0269147652338213 0.206146787631441 0.562930754566784 0.0271857193732194 0.0265899949723479 0.0331241096866097 0.00260416666666667 0.23896770780962 0.00885416666666667 0.0997433802580861 0.811030575175312 0.0669171350092402 0.0157285575048733 0.00198412698412698 0.00393518518518518 0.0462679742285005 0.0142316017316017 0.0399048441811599 0.770833333333333 0.025 0 0 0 0.158333333333333 0 0.0458333333333333 0.757142857142857 0.019047619047619 0.0285714285714286 0.019047619047619 0 0.0666666666666667 0 0.10952380952381 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0.00462962962962963 0.00462962962962963 0.00520833333333333 0.00555555555555556 0.00833333333333333 0.00983796296296296 0.0105769230769231 0.0177083333333333 0.0209935897435897 0.0263888888888889 0.0476244343891403 0.0606926638176638 0.160165284062343 0.18428020780962 0.433375230434054 0 0 0 0 0.00297619047619048 0.00590277777777778 0.00657894736842105 0.0213474025974026 0.0235928362573099 0.05985726627174 0.0694019613427508 0.10037570251386 0.709966915394547 0 0 0 0 0 0 0 0 0 0.0277777777777778 0.0509259259259259 0.175925925925926 0.578703703703704 0 0.00694444444444444 0.00694444444444444 0.0138888888888889 0.0208333333333333 0.0208333333333333 0.0208333333333333 0.0381944444444444 0.0486111111111111 0.40625 0 0 0 0 0 0 0 0 0 0 0 0 0.00595238095238095 0.0118055555555556 0.0131578947368421 0.0426948051948052 0.0471856725146199 0.106556637806638 0.138803922685502 0.200751405027721 0.433091725525936 0 0 0 0 0 0 0 0 0 0.0416666666666667 0.0763888888888889 0.263888888888889 0.451388888888889 0 0.00925925925925926 0.00925925925925926 0.0185185185185185 0.0277777777777778 0.0277777777777778 0.0277777777777778 0.0509259259259259 0.0648148148148148 0.347222222222222 0 0 0 0 0 0 0 0
2 64.5 53.3333333333333 4.25 5.25 0.75 0.833333333333333 0.0833333333333333 0.2849521555121 0.057427685581302 0.110587281262876 0.0141861938841922 0.0282902088954653 0.227717641511418 0.0368499798648152 0.239988853487831 0.499444444444444 0.0366666666666667 0.0794444444444444 0.0433333333333333 0.0388888888888889 0.183333333333333 0 0.118888888888889 0.808233853688399 0.071625344352617 0.0167278849097031 0.0246556473829201 0.00578512396694214 0.0426078971533517 0.0215488215488215 0.00881542699724517 0.875 0.0104166666666667 0 0 0 0.0416666666666667 0.0104166666666667 0.0625 0.9 0.0333333333333333 0.0166666666666667 0.0166666666666667 0 0.0333333333333333 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0.0166666666666667 0.0416666666666667 0 0 0.00925925925925926 0 0 0 0 0 0.0444444444444444 0.0166666666666667 0.115740740740741 0.0722222222222222 0.0574074074074074 0.156481481481481 0.288888888888889 0 0 0 0.00378787878787879 0.0339015151515152 0.00795454545454546 0 0.0296296296296296 0.0230008417508418 0.0121212121212121 0.0585858585858586 0.0946969696969697 0.652988215488216 0 0 0 0 0 0 0.00694444444444444 0.00694444444444444 0.00694444444444444 0 0.0416666666666667 0.0277777777777778 0.409722222222222 0 0 0.0208333333333333 0.0104166666666667 0 0 0.0104166666666667 0 0.0208333333333333 0.4375 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0.00757575757575758 0.0678030303030303 0.0159090909090909 0 0.0592592592592593 0.0460016835016835 0.0242424242424242 0.10959595959596 0.189393939393939 0.396885521885522 0 0 0 0 0 0 0.0104166666666667 0.0104166666666667 0.0104166666666667 0 0.0625 0.0416666666666667 0.364583333333333 0 0 0.0277777777777778 0.0138888888888889 0 0 0.0138888888888889 0 0.0277777777777778 0.416666666666667 0 0 0 0 0 0 0 0.0833333333333333
3 44.5 35.6666666666667 3.75 4.33333333333333 0.583333333333333 0.166666666666667 0 0.333068100434904 0.121826138065892 0.0438991801440572 0.0622600921525102 0.0492424242424242 0.207047462388139 0.0253774725598496 0.157279130012224 0.506428571428571 0.03 0.0166666666666667 0.0535714285714286 0.0625 0.197261904761905 0.025 0.108571428571429 0.861784511784512 0.0305555555555555 0.0379629629629629 0.00833333333333332 0 0.0305555555555555 0.0111111111111111 0.0196969696969697 0.825 0.025 0.025 0.05 0.05 0 0 0.025 0.9 0 0 0 0 0 0 0.1 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0.00833333333333333 0.0833333333333333 0 0 0 0 0.0208333333333333 0 0 0.0416666666666667 0 0.0416666666666667 0.00833333333333333 0.00833333333333333 0.0277777777777778 0.0892857142857143 0.0607142857142857 0.180952380952381 0.262103174603175 0 0 0 0 0.0104166666666667 0 0 0.0138888888888889 0.0474537037037037 0.0246212121212121 0.0381944444444444 0.0381944444444444 0.660563973063973 0 0 0.0138888888888889 0.0138888888888889 0.0277777777777778 0.0277777777777778 0 0 0 0 0.0138888888888889 0 0.319444444444444 0 0 0 0 0 0 0 0.0208333333333333 0 0.145833333333333 0 0 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0 0 0.0277777777777778 0.0949074074074074 0.0492424242424242 0.0763888888888889 0.0763888888888889 0.487794612794613 0 0 0.0208333333333333 0.0208333333333333 0.0416666666666667 0.0416666666666667 0 0 0 0 0.0208333333333333 0 0.270833333333333 0 0 0 0 0 0 0 0.0277777777777778 0 0.138888888888889 0 0 0 0 0 0 0 0
4 48 39.5833333333333 4.08333333333333 3.5 0.583333333333333 0.25 0 0.354030973144707 0.0654740969456712 0.0677923657533018 0.0541949586147774 0.0114321904088606 0.186691214873234 0.0460634410937166 0.214320759165731 0.538489288489288 0.075036075036075 0.0350378787878788 0.0968614718614719 0.0350378787878788 0.100649350649351 0.0246212121212121 0.0942668442668443 0.804906204906205 0.0717171717171716 0.0303030303030303 0.0151515151515151 0 0 0.00757575757575757 0.0703463203463203 0.785714285714286 0 0 0.0357142857142857 0 0.0714285714285714 0 0.107142857142857 0.866666666666667 0.0666666666666667 0 0 0 0 0 0.0666666666666667 NA NA NA NA NA NA NA NA 0 0 0 0 0 0.0208333333333333 0.0416666666666667 0.0416666666666667 0 0 0 0 0 0 0.0492424242424242 0 0 0.0151515151515152 0.0277777777777778 0.0492424242424242 0.0238095238095238 0 0.0284090909090909 0.193722943722944 0.224074536574537 0.119089244089244 0.165313852813853 0 0 0 0 0.0208333333333333 0 0 0.0104166666666667 0.0416666666666667 0.0967261904761905 0 0.0986111111111111 0.648412698412698 0 0 0 0 0 0.0277777777777778 0 0 0 0 0.0833333333333333 0.0555555555555556 0.416666666666667 0 0 0.0208333333333333 0 0 0 0 0.0208333333333333 0 0.208333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0.0208333333333333 0.0833333333333333 0.193452380952381 0 0.197222222222222 0.38015873015873 0 0 0 0 0 0.0416666666666667 0 0 0 0 0.125 0.0833333333333333 0.333333333333333 0 0 0.0277777777777778 0 0 0 0 0.0277777777777778 0 0.194444444444444 0 0 0 0 0 0 0 0
5 42.3333333333333 34.9166666666667 3.83333333333333 3.08333333333333 0.25 0.166666666666667 0.0833333333333333 0.291955536363431 0.116093345369661 0.103436182712499 0.0315619045882204 0.0120573870573871 0.215791872699767 0.0197553177816336 0.209348453427401 0.568518518518519 0.0520061728395062 0.00617283950617284 0 0.0462962962962963 0.120679012345679 0.0185185185185185 0.187808641975309 0.813131313131313 0.0391414141414141 0.0505050505050504 0.0138888888888889 0 0.0391414141414141 0 0.0441919191919191 0.75 0.0833333333333333 0 0 0 0.0833333333333333 0.0833333333333333 0 0.9 0 0 0 0 0.1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0 0 0.0208333333333333 0 0 0 0 0.00925925925925926 0.0166666666666667 0.0694444444444444 0 0 0.00925925925925926 0.0104166666666667 0 0 0.0208333333333333 0.00925925925925926 0 0.143287037037037 0.262037037037037 0.150925925925926 0 0 0 0 0.0190972222222222 0 0 0 0.0694444444444444 0.0607638888888889 0.0538194444444444 0.0538194444444444 0.659722222222222 0 0 0 0 0 0 0 0.0277777777777778 0.0277777777777778 0 0 0.0277777777777778 0.166666666666667 0 0 0 0 0 0 0 0 0.0208333333333333 0.145833333333333 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0.0381944444444444 0 0 0 0.138888888888889 0.121527777777778 0.107638888888889 0.107638888888889 0.402777777777778 0 0 0 0 0 0 0 0.0416666666666667 0.0416666666666667 0 0 0.0416666666666667 0.125 0 0 0 0 0 0 0 0 0.0277777777777778 0.138888888888889 0 0 0 0 0 0 0 0.0833333333333333
6 50 41.3333333333333 4.58333333333333 3.5 0.5 0.0833333333333333 0 0.300699268123804 0.0434444622428369 0.131954231591422 0.0572026353276353 0.0119586296056884 0.222359293469975 0.0384055759055759 0.193975903733063 0.488888888888889 0.0252525252525253 0.0216450216450216 0.027020202020202 0.0492424242424242 0.125685425685426 0.0474025974025974 0.214862914862915 0.795238095238095 0.0308641975308642 0.0661963550852439 0.0462962962962962 0 0.0155790711346267 0 0.0458259847148736 0.775 0.05 0 0.1 0 0.075 0 0 1 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0.0486111111111111 0 0.00694444444444444 0 0 0.0462962962962963 0 0.0869047619047619 0 0.0259259259259259 0.0396825396825397 0.049537037037037 0.109259259259259 0.261970899470899 0.158201058201058 0 0 0 0 0.0520833333333333 0 0 0 0.0744708994708995 0.0515542328042328 0.017526455026455 0.0347222222222222 0.519642857142857 0 0 0 0 0 0.0555555555555556 0 0 0.0277777777777778 0 0 0.0416666666666667 0.291666666666667 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0.104166666666667 0 0 0 0.148941798941799 0.103108465608466 0.0350529100529101 0.0694444444444444 0.289285714285714 0 0 0 0 0 0.0833333333333333 0 0 0.0416666666666667 0 0 0.0625 0.229166666666667 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0 0 0
7 42.0833333333333 35.8333333333333 3.25 2.25 0.333333333333333 0.166666666666667 0.25 0.386411457939793 0.044471728010802 0.0687551121061759 0.0341390740611268 0.0236141255644802 0.241580757252174 0.0283137010087365 0.172714044056711 0.539285714285714 0 0.075 0.01875 0.05 0.164285714285714 0.01875 0.133928571428571 0.793333333333334 0.0899999999999999 0.0416666666666666 0 0 0.025 0.0166666666666666 0.0333333333333333 0.833333333333333 0.0833333333333333 0.0416666666666667 0 0 0.0416666666666667 0 0 1 0 0 0 0 0 0 0 0.952380952380952 0 0 0 0 0 0 0.0476190476190477 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0.03125 0 0.0848214285714286 0.125 0.03125 0.0654761904761905 0.223214285714286 0.188988095238095 0 0 0 0 0 0 0 0.0208333333333333 0.0520833333333333 0.0416666666666667 0.03125 0.1125 0.575 0 0 0 0.0138888888888889 0 0 0 0 0.0277777777777778 0 0 0.0138888888888889 0.194444444444444 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0 0.0138888888888889 0.236111111111111 0 0 0 0 0 0 0 0 0.0416666666666667 0.104166666666667 0.0833333333333333 0.0625 0.225 0.316666666666667 0 0 0 0.0208333333333333 0 0 0 0 0.0416666666666667 0 0 0.0208333333333333 0.166666666666667 0 0 0 0 0 0 0 0 0 0.166666666666667 0 0 0 0 0 0 0.0166666666666667 0.233333333333333
8 48.75 39.5 4.08333333333333 4.33333333333333 0.333333333333333 0.5 0 0.461331544034582 0.0520836224924246 0.0406561502400893 0.0405768292554971 0.0176172018858246 0.205726343691758 0.0193528537285215 0.162655454671303 0.548863636363636 0.0227272727272727 0.0242424242424242 0.0303030303030303 0 0.189393939393939 0.05 0.134469696969697 0.807575757575758 0.0447109988776655 0.0161616161616161 0.0357042648709315 0 0.0553591470258136 0.0148148148148148 0.0256734006734006 0.958333333333333 0 0.0416666666666667 0 0 0 0 0 0.983333333333333 0.0166666666666667 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0.0166666666666667 0.0277777777777778 0 0 0 0.0104166666666667 0.0208333333333333 0 0 0 0.0104166666666667 0 0 0 0 0.0208333333333333 0 0.0916666666666667 0 0 0.0277777777777778 0.0555555555555556 0.169444444444444 0.208333333333333 0.256944444444444 0 0 0.00378787878787879 0 0.0497685185185185 0 0 0.0222222222222222 0.0242424242424242 0.038510101010101 0.0830387205387205 0.0670664983164983 0.711363636363636 0 0 0 0.0138888888888889 0 0 0 0 0 0 0 0 0.236111111111111 0 0 0.00520833333333333 0 0 0 0 0 0 0.244791666666667 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0 0.099537037037037 0 0 0.0444444444444444 0.0484848484848485 0.077020202020202 0.166077441077441 0.126557239057239 0.43030303030303 0 0 0 0.0208333333333333 0 0 0 0 0 0 0 0 0.229166666666667 0 0 0.00694444444444444 0 0 0 0 0 0 0.243055555555556 0 0 0 0 0 0 0 0
9 49.75 40.9166666666667 4.33333333333333 3.25 0.583333333333333 0.583333333333333 0.0833333333333333 0.335969492201189 0.0447176001046592 0.084794078837732 0.0871584618733427 0.0130699556953012 0.172325950606513 0.0554057947643316 0.206558665916931 0.563144841269841 0 0.0656746031746032 0.0776289682539683 0 0.12594246031746 0.0194940476190476 0.148115079365079 0.863809523809524 0.0432275132275132 0.0203703703703703 0.0111111111111111 0 0.0214814814814815 0 0.04 0.8125 0.03125 0 0.0625 0 0.0625 0.03125 0 0.96 0 0 0 0 0.02 0 0.02 0.833333333333333 0 0 0 0 0.166666666666667 0 0 0.0119047619047619 0.0166666666666667 0 0 0 0 0 0 0 0 0 0 0.0104166666666667 0 0 0 0 0 0 0.0389880952380952 0 0.0138888888888889 0.0861111111111111 0.155257936507936 0.154861111111111 0.285813492063492 0.22609126984127 0 0.00462962962962963 0 0 0.0138888888888889 0 0 0 0.025462962962963 0.05 0.0268518518518518 0.0540343915343915 0.658465608465608 0 0.0138888888888889 0 0 0 0.0277777777777778 0 0 0.0138888888888889 0 0 0.0277777777777778 0.25 0 0 0 0 0 0 0 0.0104166666666667 0.0104166666666667 0.395833333333333 0 0 0 0.0166666666666667 0.0166666666666667 0 0.05 0 0 0.00925925925925926 0 0 0.0277777777777778 0 0 0 0.0509259259259259 0.1 0.0444444444444444 0.108068783068783 0.492857142857143 0 0.0208333333333333 0 0 0 0.0416666666666667 0 0 0.0208333333333333 0 0 0.0416666666666667 0.208333333333333 0 0 0 0 0 0 0 0.0138888888888889 0.0138888888888889 0.388888888888889 0 0 0 0.0208333333333333 0.0208333333333333 0.0208333333333333 0 0.0208333333333333
10 48.1666666666667 38.1666666666667 4.41666666666667 4.5 0.666666666666667 0.25 0.166666666666667 0.449269641061467 0.0450058970560674 0.056811874543779 0.0223571010008538 0.00829533941236069 0.160184964332623 0.0563281320903021 0.201747050502547 0.606415343915344 0.0248015873015873 0.00595238095238095 0.0416666666666667 0.0326388888888889 0.144031084656085 0.0309027777777778 0.11359126984127 0.816346153846154 0.066025641025641 0.0277777777777777 0.0194444444444444 0.00833333333333332 0.0454059829059829 0.0166666666666666 0 0.791666666666667 0.025 0 0 0.0833333333333333 0.05 0 0.05 0.933333333333333 0.0666666666666667 0 0 0 0 0 0 0.845238095238095 0.0714285714285715 0.0833333333333335 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0.0119047619047619 0 0 0 0 0.0277777777777778 0.0119047619047619 0.0486111111111111 0 0 0.0138888888888889 0 0.0618055555555556 0 0.0768518518518519 0.0119047619047619 0.0833333333333333 0.255291005291005 0.199404761904762 0.180654761904762 0 0 0 0 0.0243055555555556 0.0104166666666667 0 0.0208333333333333 0.0347222222222222 0 0.0567574786324786 0.0825320512820513 0.603766025641026 0 0 0 0 0.0462962962962963 0 0 0 0.0138888888888889 0 0.0277777777777778 0.0277777777777778 0.300925925925926 0 0 0.0208333333333333 0 0 0 0 0 0 0.229166666666667 0 0.0138888888888889 0.0166666666666667 0 0 0 0.136111111111111 0 0 0 0 0 0.0486111111111111 0.0208333333333333 0 0.0416666666666667 0.0694444444444444 0 0.113514957264957 0.165064102564103 0.374198717948718 0 0 0 0 0.0694444444444444 0 0 0 0.0208333333333333 0 0.0416666666666667 0.0416666666666667 0.243055555555556 0 0 0.0277777777777778 0 0 0 0 0 0 0.222222222222222 0 0.0166666666666667 0.0208333333333333 0 0 0 0 0.129166666666667
