"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "Length1BoutScootsProportion" "Length1BoutJBendsProportion" "Length1BoutCBendsProportion" "Length1BoutOBendsProportion" "Length1BoutEBendsProportion" "Length1BoutGBendsProportion" "Length1BoutHBendsProportion" "Length1BoutIBendsProportion" "Length2BoutScootsProportion" "Length2BoutJBendsProportion" "Length2BoutCBendsProportion" "Length2BoutOBendsProportion" "Length2BoutEBendsProportion" "Length2BoutGBendsProportion" "Length2BoutHBendsProportion" "Length2BoutIBendsProportion" "Length3BoutScootsProportion" "Length3BoutJBendsProportion" "Length3BoutCBendsProportion" "Length3BoutOBendsProportion" "Length3BoutEBendsProportion" "Length3BoutGBendsProportion" "Length3BoutHBendsProportion" "Length3BoutIBendsProportion" "Length4BoutScootsProportion" "Length4BoutJBendsProportion" "Length4BoutCBendsProportion" "Length4BoutOBendsProportion" "Length4BoutEBendsProportion" "Length4BoutGBendsProportion" "Length4BoutHBendsProportion" "Length4BoutIBendsProportion" "Length5BoutScootsProportion" "Length5BoutJBendsProportion" "Length5BoutCBendsProportion" "Length5BoutOBendsProportion" "Length5BoutEBendsProportion" "Length5BoutGBendsProportion" "Length5BoutHBendsProportion" "Length5BoutIBendsProportion" "Length6PlusBoutScootsProportion" "Length6PlusBoutJBendsProportion" "Length6PlusBoutCBendsProportion" "Length6PlusBoutOBendsProportion" "Length6PlusBoutEBendsProportion" "Length6PlusBoutGBendsProportion" "Length6PlusBoutHBendsProportion" "Length6PlusBoutIBendsProportion" "Length2Transition_oc_Proportion" "Length2Transition_ij_Proportion" "Length2Transition_oe_Proportion" "Length2Transition_ig_Proportion" "Length2Transition_jc_Proportion" "Length2Transition_io_Proportion" "Length2Transition_og_Proportion" "Length2Transition_sj_Proportion" "Length2Transition_cc_Proportion" "Length2Transition_oh_Proportion" "Length2Transition_ge_Proportion" "Length2Transition_ei_Proportion" "Length2Transition_gg_Proportion" "Length2Transition_jj_Proportion" "Length2Transition_sh_Proportion" "Length2Transition_se_Proportion" "Length2Transition_so_Proportion" "Length2Transition_sc_Proportion" "Length2Transition_si_Proportion" "Length2Transition_jg_Proportion" "Length2Transition_sg_Proportion" "Length2Transition_es_Proportion" "Length2Transition_os_Proportion" "Length2Transition_js_Proportion" "Length2Transition_hs_Proportion" "Length2Transition_cs_Proportion" "Length2Transition_ss_Proportion" "Length2Transition_is_Proportion" "Length2Transition_gs_Proportion" "Length3Transition_so_Proportion" "Length3Transition_cg_Proportion" "Length3Transition_sh_Proportion" "Length3Transition_sg_Proportion" "Length3Transition_ig_Proportion" "Length3Transition_ji_Proportion" "Length3Transition_es_Proportion" "Length3Transition_sc_Proportion" "Length3Transition_hs_Proportion" "Length3Transition_os_Proportion" "Length3Transition_js_Proportion" "Length3Transition_gs_Proportion" "Length3Transition_is_Proportion" "Length3Transition_cs_Proportion" "Length3Transition_ss_Proportion" "Length4Transition_ci_Proportion" "Length4Transition_gg_Proportion" "Length4Transition_es_Proportion" "Length4Transition_ig_Proportion" "Length4Transition_hs_Proportion" "Length4Transition_jj_Proportion" "Length4Transition_sg_Proportion" "Length4Transition_cc_Proportion" "Length4Transition_so_Proportion" "Length4Transition_sc_Proportion" "Length4Transition_sj_Proportion" "Length4Transition_js_Proportion" "Length4Transition_os_Proportion" "Length4Transition_is_Proportion" "Length4Transition_cs_Proportion" "Length4Transition_gs_Proportion" "Length4Transition_ss_Proportion" "Length5Transition_cs_Proportion" "Length5Transition_gs_Proportion" "Length5Transition_is_Proportion" "Length5Transition_os_Proportion" "Length5Transition_hs_Proportion" "Length5Transition_js_Proportion" "Length5Transition_ss_Proportion" "Length6PlusTransition_sg_Proportion" "Length6PlusTransition_gs_Proportion" "Length6PlusTransition_js_Proportion" "Length6PlusTransition_os_Proportion" "Length6PlusTransition_ss_Proportion" "Length3Transition_sos_Proportion" "Length3Transition_shs_Proportion" "Length3Transition_cgs_Proportion" "Length3Transition_ssh_Proportion" "Length3Transition_sgs_Proportion" "Length3Transition_igs_Proportion" "Length3Transition_jis_Proportion" "Length3Transition_ess_Proportion" "Length3Transition_scs_Proportion" "Length3Transition_hss_Proportion" "Length3Transition_oss_Proportion" "Length3Transition_jss_Proportion" "Length3Transition_gss_Proportion" "Length3Transition_iss_Proportion" "Length3Transition_css_Proportion" "Length3Transition_sss_Proportion" "Length4Transition_jsg_Proportion" "Length4Transition_sci_Proportion" "Length4Transition_ssg_Proportion" "Length4Transition_cis_Proportion" "Length4Transition_sgg_Proportion" "Length4Transition_ess_Proportion" "Length4Transition_igs_Proportion" "Length4Transition_hss_Proportion" "Length4Transition_jjs_Proportion" "Length4Transition_sgs_Proportion" "Length4Transition_scc_Proportion" "Length4Transition_csc_Proportion" "Length4Transition_sos_Proportion" "Length4Transition_scs_Proportion" "Length4Transition_sjs_Proportion" "Length4Transition_jss_Proportion" "Length4Transition_oss_Proportion" "Length4Transition_iss_Proportion" "Length4Transition_css_Proportion" "Length4Transition_gss_Proportion" "Length4Transition_sss_Proportion" "Length5Transition_css_Proportion" "Length5Transition_gss_Proportion" "Length5Transition_iss_Proportion" "Length5Transition_oss_Proportion" "Length5Transition_hss_Proportion" "Length5Transition_jss_Proportion" "Length5Transition_sss_Proportion" "Length6PlusTransition_gsg_Proportion" "Length6PlusTransition_sgs_Proportion" "Length6PlusTransition_gss_Proportion" "Length6PlusTransition_jss_Proportion" "Length6PlusTransition_oss_Proportion" "Length6PlusTransition_sss_Proportion"
1 160.416666666667 131.666666666667 15.8333333333333 10.5 1.75 0.5 0.166666666666667 0.277366964679676 0.0775393277794507 0.11020225634978 0.0504426997996617 0.0161311273777686 0.187354366015765 0.0522127279712719 0.228750530026626 0.566964185303001 0.0385090218423552 0.0604964322754893 0.0257178681657848 0.0206246954191033 0.134234585975266 0.0377669434001671 0.115686267618833 0.746571553040852 0.0446659050825717 0.0744908356750461 0.0313943001443001 0.00347222222222222 0.0444059960507328 0.00440917107583774 0.0505900167084377 0.7875 0.025 0.0520833333333333 0.0258333333333333 0 0.0795833333333333 0 0.03 0.8 0.12 0 0.04 0 0 0.04 0 0.916666666666667 0 0 0.0833333333333335 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00260416666666667 0.0043859649122807 0.0043859649122807 0.00462962962962963 0.00462962962962963 0.00555555555555556 0.00992063492063492 0.0100765513320338 0.0127893518518519 0.0156695156695157 0.0177540204678363 0.0287037037037037 0.0415151014109347 0.0520892687559354 0.0709042571707045 0.110916313218945 0.165603612396376 0.214197218473534 0.223669539321952 0 0 0 0 0 0.00520833333333333 0.00520833333333333 0.00595238095238095 0.00661375661375661 0.0470914502164502 0.0617905242905243 0.0666089940760993 0.0758850250626566 0.111736253512569 0.613904948608896 0 0 0 0 0 0 0 0 0.00555555555555556 0.0138888888888889 0.0277777777777778 0.0277777777777778 0.0287037037037037 0.0333333333333333 0.0578703703703704 0.0884259259259259 0.55 0 0 0 0.0208333333333333 0.0208333333333333 0.0625 0.3125 0 0 0 0.0166666666666667 0.15 0 0 0 0 0 0 0.0104166666666667 0.0104166666666667 0.0119047619047619 0.0132275132275132 0.0941829004329004 0.123581048581049 0.133217988152199 0.141353383458647 0.211567745120377 0.250131325789221 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0.0208333333333333 0.0416666666666667 0.0416666666666667 0.0430555555555555 0.05 0.0868055555555555 0.132638888888889 0.408333333333333 0 0 0 0.0277777777777778 0.0277777777777778 0.0833333333333333 0.277777777777778 0 0 0 0 0.0208333333333333 0.145833333333333
2 46.8333333333333 38.9166666666667 4.33333333333333 2.83333333333333 0.416666666666667 0.0833333333333333 0.25 0.405247158314849 0.0758675129630042 0.0842956904011305 0.0574468941782796 0.0152845987185636 0.166794248474623 0.0634197426442837 0.131644154305266 0.612264471639472 0.0558712121212121 0.0238199300699301 0.0593434343434343 0.00378787878787879 0.0872183372183372 0.0318813131313131 0.125813422688423 0.789603174603175 0.0444444444444444 0.0280952380952381 0 0 0.0534126984126984 0 0.0844444444444443 0.7 0 0.2 0.05 0 0.05 0 0 0.8 0.2 0 0 0 0 0 0 0.916666666666667 0.0833333333333335 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0.00757575757575758 0 0 0 0 0.0104166666666667 0.00757575757575758 0 0 0.00641025641025641 0.0104166666666667 0 0 0.111111111111111 0.101325757575758 0.045770202020202 0.0348193473193473 0.248931623931624 0.245216588966589 0.164020007770008 0 0 0 0 0 0 0 0 0 0 0.0555555555555556 0.066765873015873 0.105555555555556 0.0351190476190476 0.570337301587302 0 0 0 0 0 0 0 0.0277777777777778 0.0277777777777778 0.0277777777777778 0 0 0.0277777777777778 0 0.0555555555555556 0.0277777777777778 0.222222222222222 0 0 0 0 0 0.0208333333333333 0.0625 0 0 0.0166666666666667 0 0.15 0 0 0 0 0 0 0 0 0 0 0 0.111111111111111 0.133531746031746 0.211111111111111 0.0702380952380952 0.30734126984127 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0.0416666666666667 0.0416666666666667 0 0 0 0.0416666666666667 0 0.0416666666666667 0.0416666666666667 0.166666666666667 0 0 0 0 0 0.0277777777777778 0.0555555555555556 0 0 0 0.0208333333333333 0 0.145833333333333
3 51.75 41.25 5.75 3.83333333333333 0.5 0.25 0.0833333333333333 0.519206825423891 0.119122222037051 0.0663750252375882 0.0287665991450292 0.0206361228668891 0.0987698442790367 0.0344747683714857 0.112648592639029 0.702919254658385 0.0771739130434783 0.0114906832298137 0.0107453416149068 0.01 0.0587577639751553 0.0258385093167702 0.103074534161491 0.818888888888889 0.0894444444444444 0.0327777777777777 0 0.00333333333333333 0.0122222222222222 0 0.0433333333333333 0.979166666666667 0 0 0 0 0.0208333333333333 0 0 0.9 0 0 0 0 0 0 0.1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00595238095238095 0.0452898550724638 0 0 0 0 0 0 0 0 0 0.00595238095238095 0.0036231884057971 0 0 0.0166666666666667 0.0119565217391304 0.0833333333333333 0.043064182194617 0.0131987577639752 0.344151138716356 0.168167701863354 0.0919772256728778 0 0 0 0 0.00833333333333333 0 0.00416666666666667 0 0 0 0.111805555555556 0.0152777777777778 0.0458333333333333 0.0409722222222222 0.606944444444444 0 0 0 0 0 0 0.00694444444444444 0 0 0 0 0 0 0 0 0.00694444444444444 0.236111111111111 0 0 0.0208333333333333 0 0 0 0.145833333333333 0 0 0 0 0.0833333333333333 0 0 0 0 0 0.0166666666666667 0 0.00833333333333333 0 0 0 0.223611111111111 0.0138888888888889 0.0916666666666667 0.0819444444444444 0.397222222222222 0 0 0 0 0 0 0 0 0 0.0104166666666667 0 0 0 0 0 0 0 0 0 0.0104166666666667 0.229166666666667 0 0 0.0277777777777778 0 0 0 0.138888888888889 0 0 0 0 0 0.0833333333333333
4 24.5833333333333 20 1.83333333333333 2 0.416666666666667 0.25 0 0.460546066061279 0.0682569077825995 0.0373342302517778 0.0859504132231405 0.00625132443314262 0.161218438851953 0.0362531231981549 0.144189496197953 0.564814814814815 0.0694444444444444 0.0833333333333333 0.00925925925925926 0 0.203703703703704 0 0.0694444444444444 0.814814814814815 0.0185185185185185 0 0.0671296296296296 0 0.037037037037037 0 0.0624999999999999 0.75 0.0416666666666667 0.0416666666666667 0.0833333333333333 0 0 0 0.0833333333333333 0.933333333333333 0.0666666666666667 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0.0208333333333333 0 0 0 0 0 0 0 0 0.0138888888888889 0 0 0.0416666666666667 0.0833333333333333 0 0 0.0416666666666667 0 0.125 0.138888888888889 0.104166666666667 0.180555555555556 0 0 0 0.00462962962962963 0 0 0 0 0 0.0671296296296296 0.0185185185185185 0.037037037037037 0.0625 0 0.476851851851852 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0.0138888888888889 0.0277777777777778 0.0277777777777778 0.0138888888888889 0 0.152777777777778 0 0 0 0 0 0.0208333333333333 0.229166666666667 0 0 0 0 0 0 0 0 0 0.00925925925925926 0 0 0 0 0 0.134259259259259 0.037037037037037 0.0648148148148148 0.125 0 0.296296296296296 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0.0208333333333333 0.0416666666666667 0.0416666666666667 0.0208333333333333 0 0.104166666666667 0 0 0 0 0 0.0277777777777778 0.222222222222222 0 0 0 0 0 0
5 29 23.75 3.08333333333333 1.66666666666667 0.166666666666667 0.25 0 0.384108337939828 0.065216331482257 0.0897032342904213 0.0874283082600325 0.0298270134500081 0.192067769024941 0.0455801657191559 0.106068839833357 0.706944444444444 0.0138888888888889 0.00694444444444444 0.00694444444444444 0.0138888888888889 0.0416666666666667 0.025 0.184722222222222 0.833333333333333 0.0270833333333333 0.0104166666666667 0.0416666666666666 0 0.0687499999999999 0 0.01875 0.625 0.25 0 0 0 0.125 0 0 0.866666666666667 0.0666666666666667 0 0 0 0 0 0.0666666666666667 NA NA NA NA NA NA NA NA 0 0 0 0 0 0 0 0.0208333333333333 0 0 0 0 0 0 0 0 0 0 0.0625 0 0 0.0208333333333333 0.0104166666666667 0 0.0375 0.0104166666666667 0.310416666666667 0.214583333333333 0.0625 0 0 0 0 0 0 0 0 0 0.0416666666666667 0.0270833333333333 0.06875 0.01875 0.0104166666666667 0.5 0 0 0 0 0 0.0277777777777778 0 0 0 0 0 0.0277777777777778 0 0 0 0.0277777777777778 0.0833333333333333 0 0 0.0208333333333333 0 0 0.0208333333333333 0.208333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0.0541666666666667 0.1375 0.0375 0.0208333333333333 0.333333333333333 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0 0 0.0416666666666667 0 0 0 0.0416666666666667 0.0416666666666667 0 0 0.0277777777777778 0 0 0.0277777777777778 0.194444444444444 0 0 0 0 0 0
6 28.8333333333333 22.75 3.58333333333333 1.83333333333333 0.25 0.0833333333333333 0.166666666666667 0.487057944857069 0.0663013096304711 0.0537819297931939 0.0280496591435265 0.0174333034536414 0.202090320997392 0.0354352911377317 0.109850240986974 0.602724358974359 0.00480769230769231 0.0567307692307692 0.0104166666666667 0.0104166666666667 0.0856570512820513 0.0252403846153846 0.20400641025641 0.803819444444445 0.0729166666666666 0.0104166666666667 0 0.046875 0.0121527777777778 0 0.0538194444444444 0.833333333333333 0.0833333333333333 0 0 0 0 0.0833333333333333 0 0.8 0 0 0 0 0.2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0.00641025641025641 0.0138888888888889 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0.0128205128205128 0.0833333333333333 0 0.00833333333333333 0 0 0 0.0336538461538462 0.0564102564102564 0.157264957264957 0.174786324786325 0.105876068376068 0 0 0 0 0 0 0.046875 0 0 0 0.0729166666666667 0.0121527777777778 0.0538194444444444 0.0104166666666667 0.470486111111111 0 0 0 0 0.0277777777777778 0 0 0 0 0 0 0.0277777777777778 0 0 0 0 0.194444444444444 0 0.0208333333333333 0 0 0 0 0.0625 0 0 0 0 0.166666666666667 0 0 0 0 0 0 0 0.09375 0 0 0 0.145833333333333 0.0243055555555556 0.107638888888889 0.0208333333333333 0.274305555555556 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0.166666666666667 0 0.0277777777777778 0 0 0 0 0.0555555555555556 0 0 0 0 0 0.166666666666667
7 33.5833333333333 26.6666666666667 3.41666666666667 2.33333333333333 0.333333333333333 0.416666666666667 0.333333333333333 0.501975013847715 0.0772343920086525 0.0832594405506256 0.0396541576810267 0.0174355093783807 0.15569369748093 0.0297033616117685 0.0950444274409007 0.598755411255411 0.05 0.0116883116883117 0.00714285714285714 0.05 0.157088744588745 0.0404761904761905 0.0848484848484849 0.792929292929293 0.0404040404040404 0.023989898989899 0.023989898989899 0 0.0631313131313131 0.0151515151515151 0.0404040404040404 0.625 0 0 0 0 0.166666666666667 0 0.208333333333333 0.95 0 0 0 0 0 0 0.05 0.944444444444444 0 0 0 0 0.0555555555555557 0 0 0 0 0 0.00757575757575758 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0.0833333333333333 0 0 0 0 0.0403138528138528 0 0.0119047619047619 0 0.0674603174603175 0.0194805194805195 0.213834776334776 0.133838383838384 0.213924963924964 0 0 0.0208333333333333 0 0 0 0 0.0138888888888889 0 0.0329861111111111 0.0555555555555556 0.0868055555555555 0.0555555555555556 0.0329861111111111 0.618055555555555 0 0 0 0.0277777777777778 0 0 0 0 0 0 0 0 0 0.0185185185185185 0 0.037037037037037 0.0833333333333333 0 0 0.0208333333333333 0 0 0 0.3125 0 0.0166666666666667 0 0 0.233333333333333 0 0 0 0.0416666666666667 0 0 0 0 0.0277777777777778 0 0.0659722222222222 0.111111111111111 0.173611111111111 0.111111111111111 0.0381944444444444 0.347222222222222 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0.0277777777777778 0 0.0555555555555556 0.0416666666666667 0 0 0.0277777777777778 0 0 0 0.305555555555556 0 0 0.0208333333333333 0 0 0.229166666666667
8 29.0833333333333 23.5 3.41666666666667 1.66666666666667 0.25 0.25 0 0.445977229923308 0.0604409196014588 0.0543114610516571 0.0367629601698229 0.031200060152266 0.15043839829379 0.0315016319918281 0.189367338815868 0.498484848484848 0.0777056277056277 0.0822510822510823 0.0333333333333333 0.00757575757575758 0.191774891774892 0.0242424242424242 0.0846320346320346 0.854875283446712 0.0374149659863945 0.0238095238095238 0.0158730158730159 0.00680272108843537 0.0136054421768707 0 0.0476190476190476 0.75 0 0 0.0833333333333333 0.0833333333333333 0.0833333333333333 0 0 0.8 0 0 0 0 0.133333333333333 0.0666666666666667 0 NA NA NA NA NA NA NA NA 0 0.0119047619047619 0.0138888888888889 0 0 0.0166666666666667 0 0.0138888888888889 0 0 0 0 0 0.0166666666666667 0 0 0 0.0833333333333333 0 0.0833333333333333 0.0416666666666667 0 0.0305555555555556 0 0.0444444444444444 0.0674603174603175 0.13968253968254 0.126587301587302 0.226587301587302 0 0 0 0 0 0 0.00595238095238095 0 0 0.0138888888888889 0.0327380952380952 0.0119047619047619 0.0416666666666667 0.0208333333333333 0.456349206349206 0 0 0.0277777777777778 0 0 0 0 0 0 0 0 0 0.0277777777777778 0 0 0.0277777777777778 0.166666666666667 0 0.0416666666666667 0 0 0.0208333333333333 0 0.1875 0 0 0 0 0 0 0 0 0 0 0 0 0.0119047619047619 0 0 0.0277777777777778 0.0654761904761905 0.0238095238095238 0.0833333333333333 0.0416666666666667 0.329365079365079 0 0 0 0 0 0.0416666666666667 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0.0416666666666667 0.125 0 0.0555555555555556 0 0 0.0277777777777778 0 0.166666666666667 0 0 0 0 0 0
9 29.4166666666667 22.8333333333333 3.25 2.5 0.583333333333333 0.0833333333333333 0.166666666666667 0.514515402563648 0.0813186691476165 0.0775784157363105 0.0416544834307992 0.0226641414141414 0.12026699745998 0.0155864197530864 0.126415470494418 0.759949494949495 0 0.025 0 0.00454545454545455 0.135858585858586 0.06 0.0146464646464646 0.792929292929293 0.0328282828282828 0.0479797979797979 0.00378787878787878 0.00378787878787878 0.0782828282828282 0.0101010101010101 0.0303030303030303 0.640625 0.015625 0.0625 0.078125 0 0.140625 0 0.0625 0.8 0 0 0 0 0.2 0 0 0.845238095238095 0.0714285714285715 0 0 0 0.0833333333333335 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0 0 0.0151515151515152 0 0 0.00757575757575758 0 0 0.0833333333333333 0.0416666666666667 0.433249158249158 0.00925925925925926 0.226430976430976 0 0.00520833333333333 0 0.0416666666666667 0 0 0.00520833333333333 0 0.0138888888888889 0.00520833333333333 0.0451388888888889 0.107638888888889 0.0416666666666667 0.0607638888888889 0.590277777777778 0.0277777777777778 0.0277777777777778 0 0 0 0 0.0277777777777778 0 0.00694444444444444 0.0277777777777778 0 0.00694444444444444 0.0347222222222222 0.0277777777777778 0 0.00694444444444444 0.138888888888889 0 0.0208333333333333 0 0 0 0 0.0625 0 0.0166666666666667 0.0138888888888889 0 0.136111111111111 0 0 0.0104166666666667 0 0.0833333333333333 0 0 0.0104166666666667 0 0.0277777777777778 0.0104166666666667 0.0902777777777778 0.121527777777778 0.0833333333333333 0.121527777777778 0.357638888888889 0 0.0416666666666667 0.0416666666666667 0.0416666666666667 0.0416666666666667 0 0 0 0 0 0 0 0.0104166666666667 0 0 0.0104166666666667 0.0520833333333333 0 0 0.0104166666666667 0.0833333333333333 0 0.0277777777777778 0 0 0 0 0.0555555555555556 0 0 0.0208333333333333 0.0166666666666667 0 0.129166666666667
10 28.0833333333333 22.75 2 2.16666666666667 0.583333333333333 0.416666666666667 0.166666666666667 0.473900920946428 0.0246498785585473 0.0617802524507142 0.0513733829523303 0.014893559248398 0.156365113399718 0.022186736647521 0.194850155796342 0.568181818181818 0.00909090909090909 0.0606060606060606 0.0227272727272727 0 0.133333333333333 0.0545454545454545 0.151515151515152 0.803535353535354 0.0252525252525252 0 0 0.0101010101010101 0.0631313131313131 0.0212121212121212 0.0767676767676767 0.875 0.0416666666666667 0 0 0 0.0416666666666667 0.0416666666666667 0 0.875 0.075 0.05 0 0 0 0 0 0.833333333333333 0 0 0 0 0.166666666666666 0 0 0.0277777777777778 0 0 0 0 0.0138888888888889 0 0 0 0 0 0 0.0166666666666667 0 0 0 0 0 0 0 0.0555555555555556 0 0 0.0166666666666667 0.1 0.0833333333333333 0.183333333333333 0.263888888888889 0.155555555555556 0 0 0.0208333333333333 0 0 0 0.0138888888888889 0 0.0291666666666667 0 0.0347222222222222 0.0868055555555555 0.105555555555556 0 0.625694444444444 0 0 0 0 0.0277777777777778 0 0 0 0 0 0.0277777777777778 0.0277777777777778 0 0 0 0.0277777777777778 0.388888888888889 0.0208333333333333 0 0 0 0 0.03125 0.28125 0.0166666666666667 0.0333333333333333 0 0 0.116666666666667 0 0.0416666666666667 0 0 0 0 0 0.0277777777777778 0 0.0166666666666667 0 0.0694444444444444 0.173611111111111 0.211111111111111 0 0.376388888888889 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0 0 0.0416666666666667 0.0416666666666667 0 0 0 0.0416666666666667 0.333333333333333 0.0277777777777778 0 0 0 0 0.0416666666666667 0.263888888888889 0.0208333333333333 0.0208333333333333 0.0208333333333333 0 0 0.104166666666667
