"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "Length1BoutScootsProportion" "Length1BoutJBendsProportion" "Length1BoutCBendsProportion" "Length1BoutOBendsProportion" "Length1BoutEBendsProportion" "Length1BoutGBendsProportion" "Length1BoutHBendsProportion" "Length1BoutIBendsProportion" "Length2BoutScootsProportion" "Length2BoutJBendsProportion" "Length2BoutCBendsProportion" "Length2BoutOBendsProportion" "Length2BoutEBendsProportion" "Length2BoutGBendsProportion" "Length2BoutHBendsProportion" "Length2BoutIBendsProportion" "Length3BoutScootsProportion" "Length3BoutJBendsProportion" "Length3BoutCBendsProportion" "Length3BoutOBendsProportion" "Length3BoutEBendsProportion" "Length3BoutGBendsProportion" "Length3BoutHBendsProportion" "Length3BoutIBendsProportion" "Length4BoutScootsProportion" "Length4BoutJBendsProportion" "Length4BoutCBendsProportion" "Length4BoutOBendsProportion" "Length4BoutEBendsProportion" "Length4BoutGBendsProportion" "Length4BoutHBendsProportion" "Length4BoutIBendsProportion" "Length5BoutScootsProportion" "Length5BoutJBendsProportion" "Length5BoutCBendsProportion" "Length5BoutOBendsProportion" "Length5BoutEBendsProportion" "Length5BoutGBendsProportion" "Length5BoutHBendsProportion" "Length5BoutIBendsProportion" "Length6PlusBoutScootsProportion" "Length6PlusBoutJBendsProportion" "Length6PlusBoutCBendsProportion" "Length6PlusBoutOBendsProportion" "Length6PlusBoutEBendsProportion" "Length6PlusBoutGBendsProportion" "Length6PlusBoutHBendsProportion" "Length6PlusBoutIBendsProportion" "Length2Transition_hg_Proportion" "Length2Transition_jg_Proportion" "Length2Transition_cg_Proportion" "Length2Transition_jj_Proportion" "Length2Transition_sj_Proportion" "Length2Transition_sg_Proportion" "Length2Transition_js_Proportion" "Length2Transition_si_Proportion" "Length2Transition_sh_Proportion" "Length2Transition_sc_Proportion" "Length2Transition_so_Proportion" "Length2Transition_se_Proportion" "Length2Transition_cs_Proportion" "Length2Transition_es_Proportion" "Length2Transition_hs_Proportion" "Length2Transition_is_Proportion" "Length2Transition_gs_Proportion" "Length2Transition_os_Proportion" "Length2Transition_ss_Proportion" "Length3Transition_jg_Proportion" "Length3Transition_sg_Proportion" "Length3Transition_es_Proportion" "Length3Transition_sh_Proportion" "Length3Transition_js_Proportion" "Length3Transition_hs_Proportion" "Length3Transition_ic_Proportion" "Length3Transition_os_Proportion" "Length3Transition_gs_Proportion" "Length3Transition_cs_Proportion" "Length3Transition_is_Proportion" "Length3Transition_ss_Proportion" "Length4Transition_sg_Proportion" "Length4Transition_is_Proportion" "Length4Transition_gs_Proportion" "Length4Transition_ss_Proportion" "Length5Transition_gs_Proportion" "Length5Transition_js_Proportion" "Length5Transition_ss_Proportion" "Length6PlusTransition_gs_Proportion" "Length6PlusTransition_ss_Proportion" "Length3Transition_jgs_Proportion" "Length3Transition_sgs_Proportion" "Length3Transition_ess_Proportion" "Length3Transition_shs_Proportion" "Length3Transition_jss_Proportion" "Length3Transition_hss_Proportion" "Length3Transition_ics_Proportion" "Length3Transition_oss_Proportion" "Length3Transition_gss_Proportion" "Length3Transition_css_Proportion" "Length3Transition_iss_Proportion" "Length3Transition_sss_Proportion" "Length4Transition_sgs_Proportion" "Length4Transition_iss_Proportion" "Length4Transition_gss_Proportion" "Length4Transition_sss_Proportion" "Length5Transition_gss_Proportion" "Length5Transition_jss_Proportion" "Length5Transition_sss_Proportion" "Length6PlusTransition_gss_Proportion" "Length6PlusTransition_sss_Proportion"
1 85.25 76.8333333333333 3.75 3.83333333333333 0.666666666666667 0.0833333333333333 0.0833333333333333 0.821855809454396 0.0385200042715696 0.0152521007670153 0.0199037755474811 0.0105476945408151 0.0583854226022657 0.00618949469071957 0.0293456981257378 0.78125 0 0.0125 0.075 0.0229166666666667 0.0666666666666667 0.0208333333333333 0.0208333333333333 0.906018518518519 0 0.0263888888888889 0.00694444444444444 0 0.0111111111111111 0.00555555555555555 0.0439814814814814 0.9375 0 0 0 0 0.0625 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00833333333333333 0.00833333333333333 0.00833333333333333 0.0166666666666667 0.0166666666666667 0.0291666666666667 0.0333333333333333 0.0416666666666667 0.133333333333333 0.141666666666667 0.5625 0 0 0 0 0 0.00833333333333333 0.0104166666666667 0.0104166666666667 0.0166666666666667 0.0395833333333333 0.0555555555555556 0.859027777777778 0 0 0.0277777777777778 0.305555555555556 0 0 0.0833333333333333 0 0.0833333333333333 0 0 0 0 0 0.0166666666666667 0.0208333333333333 0.0208333333333333 0.0333333333333333 0.0583333333333333 0.111111111111111 0.738888888888889 0 0 0.0416666666666667 0.291666666666667 0 0 0.0833333333333333 0 0.0833333333333333
2 49 42.75 2.08333333333333 2.91666666666667 0.416666666666667 0.5 0.333333333333333 0.845149953199456 0.0251817534761941 0.00462962962962963 0.00787037037037037 0.0037037037037037 0.0934407093574046 0.00185185185185185 0.0181720284113901 0.768939393939394 0.0340909090909091 0.00568181818181818 0.0511363636363636 0.0113636363636364 0.0833333333333333 0 0.0454545454545455 0.957912457912458 0 0.00336700336700336 0 0 0.031986531986532 0 0.00673400673400673 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0.951388888888889 0 0 0 0 0.0486111111111112 0 0 0 0 0 0 0 0.0416666666666667 0.0625 0.0833333333333333 0 0 0 0.0104166666666667 0.0104166666666667 0.0104166666666667 0 0 0.111111111111111 0.09375 0.493055555555556 0 0 0 0 0 0 0 0 0.0439814814814815 0.00462962962962963 0.00925925925925926 0.858796296296296 0 0 0 0.333333333333333 0 0 0.25 0.0138888888888889 0.236111111111111 0 0 0 0 0 0 0 0 0.087962962962963 0.00925925925925926 0.0185185185185185 0.800925925925926 0 0 0 0.333333333333333 0 0 0.25 0.0166666666666667 0.233333333333333
3 20.8333333333333 14.3333333333333 1.66666666666667 3.58333333333333 0.5 0.666666666666667 0.0833333333333333 0.723025333425791 0.00676097358019555 0.00676097358019555 0.0108452950558214 0 0.161670596121397 0.0665695860203869 0.0243672422162125 0.775925925925926 0.00925925925925926 0 0.0555555555555556 0 0.131481481481481 0.0185185185185185 0.00925925925925926 0.933611111111111 0 0 0 0 0.0330555555555555 0 0.0333333333333333 0.95 0 0 0 0 0 0 0.05 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0 0 0 0 0 0 0 0 0.0277777777777778 0.0138888888888889 0.197222222222222 0.0833333333333333 0.413888888888889 0 0 0 0 0 0 0 0 0.0413194444444444 0 0.0416666666666667 0.750347222222222 0 0.0277777777777778 0 0.388888888888889 0 0 0.333333333333333 0 0.0833333333333333 0 0 0 0 0 0 0 0 0.0826388888888889 0 0.0833333333333333 0.667361111111111 0 0.0416666666666667 0 0.375 0 0 0.333333333333333 0 0.0833333333333333
4 55 49 1.66666666666667 3.66666666666667 0.166666666666667 0.333333333333333 0.166666666666667 0.930509428042883 0.0198168849602541 0 0.00581395348837209 0.00969232692788582 0.0296181923539716 0 0.00454921422663358 0.930555555555556 0 0 0 0 0.0694444444444444 0 0 0.907070707070707 0.0323232323232323 0 0 0 0 0 0.0606060606060605 0.875 0 0 0 0 0 0 0.125 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.104166666666667 0 0.645833333333333 0 0 0 0 0.0444444444444444 0 0 0 0 0 0.0833333333333333 0.788888888888889 0 0.0277777777777778 0 0.138888888888889 0 0 0.25 0 0.166666666666667 0 0 0 0 0.0888888888888889 0 0 0 0 0 0.166666666666667 0.661111111111111 0 0.0416666666666667 0 0.125 0 0 0.25 0 0.166666666666667
5 69.4166666666667 63.3333333333333 2.58333333333333 2.91666666666667 0.25 0.0833333333333333 0.25 0.883730821558535 0.017743483076606 0.00796352583586626 0.0167640842248668 0.00366698903932946 0.0626636021749617 0.00138888888888889 0.00607860520094563 0.873148148148148 0.0509259259259259 0.0185185185185185 0 0 0.0462962962962963 0.0111111111111111 0 0.981904761904762 0 0 0.0133333333333333 0 0 0.00476190476190476 0 0.916666666666667 0 0 0 0 0.0833333333333333 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0.0277777777777778 0.0277777777777778 0.0208333333333333 0 0 0 0 0 0 0 0 0 0.0166666666666667 0 0.0416666666666667 0 0.615277777777778 0 0 0 0.00595238095238095 0 0.00595238095238095 0 0.0166666666666667 0 0 0 0.804761904761905 0 0 0.0277777777777778 0.222222222222222 0 0 0.0833333333333333 0 0.25 0 0 0 0.0119047619047619 0 0 0 0.0333333333333333 0 0 0 0.788095238095238 0 0 0.0416666666666667 0.208333333333333 0 0 0.0833333333333333 0 0.25
6 50.3333333333333 46 1.75 2.08333333333333 0.166666666666667 0.25 0.0833333333333333 0.912484295693642 0.0138857193834738 0.00652044413176566 0.026200011589949 0.00744951563735812 0.0259652087063528 0 0.00749480485745828 0.891666666666667 0 0 0 0 0.0583333333333333 0 0.05 0.944444444444445 0 0 0 0 0.0555555555555555 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0833333333333333 0.0972222222222222 0 0.652777777777778 0 0 0 0 0 0 0 0 0.0694444444444444 0 0 0.763888888888889 0 0 0 0.166666666666667 0 0 0.25 0 0.0833333333333333 0 0 0 0 0 0 0 0 0.138888888888889 0 0 0.694444444444445 0 0 0 0.166666666666667 0 0 0.25 0 0.0833333333333333
7 49.9166666666667 45.25 2 2.33333333333333 0.333333333333333 0 0 0.881064047892903 0.0138455719426002 0.00644599303135888 0.0156675859661955 0.00844277673545966 0.0652606504477425 0.00520833333333333 0.0040650406504065 0.952380952380952 0.0238095238095238 0 0 0 0.0238095238095238 0 0 0.916666666666667 0 0 0 0.0416666666666666 0.0416666666666666 0 0 1 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 0 0 0 0.0277777777777778 0.0277777777777778 0 0 0 0 0 0 0 0 0 0 0 0 0.527777777777778 0 0 0.0416666666666667 0 0 0 0 0 0.0416666666666667 0 0 0.583333333333333 0 0 0 0.166666666666667 0 0 0 0 0 0 0 0.0833333333333333 0 0 0 0 0 0.0833333333333333 0 0 0.5 0 0 0 0.166666666666667 0 0 0 0 0
8 51.4166666666667 48.25 1.33333333333333 1.58333333333333 0 0.25 0 0.91969872409292 0.0101533128000463 0.01875 0.00771901709401709 0.00451388888888889 0.0180324366718172 0.00833333333333333 0.0127992871189774 0.84375 0.03125 0 0 0 0.09375 0 0.03125 0.991666666666667 0 0 0.00833333333333332 0 0 0 0 NA NA NA NA NA NA NA NA 1 0 0 0 0 0 0 0 NA NA NA NA NA NA NA NA 0 0 0 0 0 0.0833333333333333 0.0416666666666667 0 0 0 0 0 0 0 0 0.0416666666666667 0.0416666666666667 0 0.458333333333333 0 0 0 0 0 0 0 0.0104166666666667 0 0 0 0.822916666666667 0 0 0 0 0 0 0.25 0 0 0 0 0 0 0 0 0 0.0208333333333333 0 0 0 0.8125 0 0 0 0 0 0 0.25 0 0
9 53.5 47.1666666666667 2.41666666666667 3.33333333333333 0.25 0.25 0.0833333333333333 0.909779190572385 0.00620179278715864 0.00931905562897994 0.00843151144206271 0.00500871080139373 0.0348593392922399 0.0133598959180355 0.0130405035577449 0.834722222222222 0.0333333333333333 0 0 0 0.131944444444444 0 0 0.955988455988456 0 0.00216450216450216 0.00432900432900432 0 0.0375180375180375 0 0 0.875 0 0 0 0 0.125 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0.0333333333333333 0 0 0 0.0333333333333333 0 0 0 0 0 0 0 0 0 0 0.0652777777777778 0 0.368055555555556 0 0.00297619047619048 0 0 0 0 0 0.00595238095238095 0.0515873015873016 0.00297619047619048 0 0.853174603174603 0.0277777777777778 0 0.0277777777777778 0.111111111111111 0 0 0.166666666666667 0 0.0833333333333333 0 0.00595238095238095 0 0 0 0 0 0.0119047619047619 0.0972222222222222 0.00595238095238095 0 0.795634920634921 0.0416666666666667 0 0.0416666666666667 0.0833333333333333 0 0 0.166666666666667 0 0.0833333333333333
10 70.1666666666667 65.1666666666667 1.33333333333333 2.75 0.5 0.166666666666667 0.25 0.916446593470033 0.0169980719616194 0.0109318996415771 0.00490062670369576 0.00216226841613839 0.0342291562461547 0.00950635386119257 0.00482502969958932 0.892857142857143 0 0 0.0357142857142857 0 0.0357142857142857 0 0.0357142857142857 0.962962962962963 0.0123456790123457 0 0 0 0.0246913580246913 0 0 0.95 0 0 0 0 0.05 0 0 0.9 0.1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0.0416666666666667 0 0 0 0 0.0416666666666667 0 0 0 0 0.0416666666666667 0 0 0.458333333333333 0.0138888888888889 0 0 0 0 0 0 0 0.0277777777777778 0 0 0.708333333333333 0 0 0.0277777777777778 0.388888888888889 0 0.0104166666666667 0.0729166666666667 0 0.25 0.0277777777777778 0 0 0 0 0 0 0 0.0277777777777778 0 0 0.694444444444445 0 0 0.0416666666666667 0.375 0 0.0138888888888889 0.0694444444444444 0 0.25
