"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_eh_Proportion" "Transition_hi_Proportion" "Transition_jh_Proportion" "Transition_ij_Proportion" "Transition_oe_Proportion" "Transition_cj_Proportion" "Transition_ie_Proportion" "Transition_ih_Proportion" "Transition_og_Proportion" "Transition_sh_Proportion" "Transition_jo_Proportion" "Transition_jc_Proportion" "Transition_io_Proportion" "Transition_ge_Proportion" "Transition_hg_Proportion" "Transition_gh_Proportion" "Transition_gi_Proportion" "Transition_hh_Proportion" "Transition_cg_Proportion" "Transition_oc_Proportion" "Transition_ec_Proportion" "Transition_ej_Proportion" "Transition_eg_Proportion" "Transition_jg_Proportion" "Transition_he_Proportion" "Transition_ji_Proportion" "Transition_je_Proportion" "Transition_co_Proportion" "Transition_ee_Proportion" "Transition_ch_Proportion" "Transition_hc_Proportion" "Transition_ce_Proportion" "Transition_gc_Proportion" "Transition_ic_Proportion" "Transition_oj_Proportion" "Transition_ii_Proportion" "Transition_gj_Proportion" "Transition_ei_Proportion" "Transition_ci_Proportion" "Transition_eo_Proportion" "Transition_go_Proportion" "Transition_jj_Proportion" "Transition_hs_Proportion" "Transition_cc_Proportion" "Transition_ho_Proportion" "Transition_ig_Proportion" "Transition_oo_Proportion" "Transition_sj_Proportion" "Transition_sc_Proportion" "Transition_si_Proportion" "Transition_so_Proportion" "Transition_js_Proportion" "Transition_oi_Proportion" "Transition_gg_Proportion" "Transition_is_Proportion" "Transition_es_Proportion" "Transition_cs_Proportion" "Transition_se_Proportion" "Transition_os_Proportion" "Transition_sg_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_gos_Proportion" "Transition_iig_Proportion" "Transition_egg_Proportion" "Transition_esi_Proportion" "Transition_jcs_Proportion" "Transition_ggj_Proportion" "Transition_ojs_Proportion" "Transition_oso_Proportion" "Transition_ige_Proportion" "Transition_ish_Proportion" "Transition_ooo_Proportion" "Transition_gsc_Proportion" "Transition_gso_Proportion" "Transition_hsg_Proportion" "Transition_gcs_Proportion" "Transition_jos_Proportion" "Transition_his_Proportion" "Transition_sgo_Proportion" "Transition_isi_Proportion" "Transition_gcc_Proportion" "Transition_sgc_Proportion" "Transition_gsj_Proportion" "Transition_eoo_Proportion" "Transition_isc_Proportion" "Transition_ccc_Proportion" "Transition_oes_Proportion" "Transition_jsc_Proportion" "Transition_seo_Proportion" "Transition_iso_Proportion" "Transition_sgi_Proportion" "Transition_soo_Proportion" "Transition_ggi_Proportion" "Transition_ges_Proportion" "Transition_gjg_Proportion" "Transition_jgs_Proportion" "Transition_seg_Proportion" "Transition_shs_Proportion" "Transition_ijs_Proportion" "Transition_ihg_Proportion" "Transition_hgi_Proportion" "Transition_eos_Proportion" "Transition_gci_Proportion" "Transition_hgs_Proportion" "Transition_jis_Proportion" "Transition_eoe_Proportion" "Transition_hso_Proportion" "Transition_sic_Proportion" "Transition_ies_Proportion" "Transition_jcg_Proportion" "Transition_sie_Proportion" "Transition_geg_Proportion" "Transition_gii_Proportion" "Transition_esg_Proportion" "Transition_eee_Proportion" "Transition_sgj_Proportion" "Transition_hgg_Proportion" "Transition_csj_Proportion" "Transition_scc_Proportion" "Transition_gis_Proportion" "Transition_gee_Proportion" "Transition_sge_Proportion" "Transition_csg_Proportion" "Transition_osi_Proportion" "Transition_sih_Proportion" "Transition_ggs_Proportion" "Transition_ogs_Proportion" "Transition_shh_Proportion" "Transition_ssh_Proportion" "Transition_sjs_Proportion" "Transition_osg_Proportion" "Transition_isg_Proportion" "Transition_gsi_Proportion" "Transition_esj_Proportion" "Transition_sio_Proportion" "Transition_gsg_Proportion" "Transition_sis_Proportion" "Transition_osc_Proportion" "Transition_hhg_Proportion" "Transition_ghh_Proportion" "Transition_hgj_Proportion" "Transition_gjj_Proportion" "Transition_iii_Proportion" "Transition_sei_Proportion" "Transition_eig_Proportion" "Transition_sgh_Proportion" "Transition_sii_Proportion" "Transition_cgs_Proportion" "Transition_eoc_Proportion" "Transition_ejs_Proportion" "Transition_cos_Proportion" "Transition_ecs_Proportion" "Transition_cis_Proportion" "Transition_jsi_Proportion" "Transition_sso_Proportion" "Transition_ese_Proportion" "Transition_soi_Proportion" "Transition_ois_Proportion" "Transition_jsj_Proportion" "Transition_sig_Proportion" "Transition_igg_Proportion" "Transition_egs_Proportion" "Transition_sse_Proportion" "Transition_jsg_Proportion" "Transition_igs_Proportion" "Transition_jjs_Proportion" "Transition_jes_Proportion" "Transition_ssc_Proportion" "Transition_gse_Proportion" "Transition_sjj_Proportion" "Transition_ssj_Proportion" "Transition_hos_Proportion" "Transition_ccs_Proportion" "Transition_iis_Proportion" "Transition_ose_Proportion" "Transition_see_Proportion" "Transition_ssi_Proportion" "Transition_ses_Proportion" "Transition_hss_Proportion" "Transition_goo_Proportion" "Transition_ces_Proportion" "Transition_hoj_Proportion" "Transition_gce_Proportion" "Transition_oos_Proportion" "Transition_sos_Proportion" "Transition_scs_Proportion" "Transition_jss_Proportion" "Transition_ggg_Proportion" "Transition_sgg_Proportion" "Transition_iss_Proportion" "Transition_sgs_Proportion" "Transition_ess_Proportion" "Transition_ssg_Proportion" "Transition_css_Proportion" "Transition_gss_Proportion" "Transition_oss_Proportion" "Transition_sss_Proportion"
1 90.0833333333333 62.9166666666667 11 10.5 2.66666666666667 1.16666666666667 1.83333333333333 0.623240079383147 0.0868220210048277 0.0395514291522994 0.0222339058297446 0.0564849135603459 0.116926163962976 0.0129631274591406 0.0417783596475184 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000621890547263682 0.000621890547263682 0.000621890547263682 0.000621890547263682 0.000621890547263682 0.000656167979002625 0.000656167979002625 0.000656167979002625 0.000656167979002625 0.000656167979002625 0.000672043010752688 0.000672043010752688 0.000672043010752688 0.00127805852626631 0.00154923599320883 0.00177304964539007 0.00177304964539007 0.00177304964539007 0.00177304964539007 0.00177304964539007 0.00198412698412698 0.0021209740769835 0.00217112654047251 0.0022725876788895 0.0024292176243927 0.0024292176243927 0.00260601753139067 0.00263801957952175 0.00264054694776056 0.00265024262784621 0.00286131996658312 0.00324403509503536 0.00351748794558575 0.00405786716923228 0.00437653051268396 0.00493153702663895 0.0050695125875223 0.00664105494877656 0.0110728346456693 0.0141682703496142 0.0157848889023757 0.0167762954291794 0.0172841048542083 0.0182766596778284 0.0254023704413768 0.0296713587852443 0.0482540452268087 0.641235451476511 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000936329588014981 0.000936329588014981 0.000936329588014981 0.000936329588014981 0.000936329588014981 0.000936329588014981 0.000936329588014981 0.000936329588014981 0.000936329588014981 0.000936329588014981 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.00134408602150538 0.00134408602150538 0.00134408602150538 0.00134408602150538 0.00134408602150538 0.00134408602150538 0.00134408602150538 0.00134408602150538 0.00173611111111111 0.00173611111111111 0.00173611111111111 0.00173611111111111 0.00173611111111111 0.00216181978409341 0.00256957621758381 0.00379506641366224 0.00396825396825397 0.00396825396825397 0.00396825396825397 0.00396825396825397 0.00396825396825397 0.00396825396825397 0.00401652672063147 0.00513915243516762 0.00660405517770718 0.00937798162192966 0.00959967320261438 0.0113640929401017 0.0135799623099209 0.0159312431359297 0.0252775530609922 0.038070209269683 0.0600052521008403 0.554852752584027
2 138.166666666667 112.416666666667 10.5833333333333 10.1666666666667 2.08333333333333 2 0.916666666666667 0.758223573852318 0.0817518520847208 0.0172578612908264 0.0116784413066008 0.0257957047833523 0.0727267147604539 0.00732217723624879 0.025243674685479 0 0 0 0 0 0 0 0.000706214689265537 0.000778816199376947 0.000778816199376947 0.000936329588014981 0.000936329588014981 0.00193798449612403 0.00211864406779661 0 0 0 0.000778816199376947 0.00365313028351596 0 0 0 0.00148503088864248 0.00165318438623523 0 0 0 0 0.000706214689265537 0 0 0 0 0 0 0 0.00186362209667294 0 0 0 0.00231481481481481 0.00157232704402516 0.00492098002934058 0 0 0.00226384708801943 0 0.00831137166813553 0.0107057170185366 0.00993361536958794 0.000946969696969697 0.00328341829510054 0 0.0094551313022158 0.0164631955244778 0.0114000201392868 0.0102907973819189 0.00526329815584693 0.0123862952666809 0.0246594613762695 0.0504643140013638 0.630364625789064 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00141242937853107 0.00141242937853107 0.00151515151515152 0.00151515151515152 0.00151515151515152 0.00198412698412698 0.00203252032520325 0.00203252032520325 0.00203252032520325 0.00320512820512821 0.00416666666666667 0.00476190476190476 0.010149356408141 0.0119047619047619 0 0 0 0 0 0 0 0 0 0.00151515151515152 0 0 0 0 0 0 0 0 0 0 0 0.00141242937853107 0.00141242937853107 0.00141242937853107 0.00141242937853107 0 0 0 0 0 0.00141242937853107 0.00320512820512821 0.00472027972027972 0 0 0 0 0.00141242937853107 0.00339655636265806 0 0.00602998696219035 0 0 0 0 0 0 0.0134199134199134 0.00652958152958153 0 0.00688989940746865 0.0119102178424212 0.0165164310678986 0.00729266025876195 0.00785842240988996 0.0173160173160173 0.0438777232596993 0.00806277056277056 0.61667819801346
3 124.25 94.6666666666667 12.8333333333333 9.66666666666667 2.91666666666667 2.16666666666667 2 0.707408036436159 0.0338309852427946 0.0230822106493482 0.0276218564530496 0.0432511517877491 0.113938364433207 0.0121424229764441 0.0387249720212487 0 0 0 0 0.00111111111111111 0.00231481481481481 0.0049728193723746 0.00168183900148861 0 0.00134408602150538 0 0.000586854460093897 0 0.00823720098367986 0.00261882426516573 0.00376068376068376 0.00716278845516402 0 0.00197499097146984 0 0 0 0.002189418562658 0.00130941213258286 0 0.000555555555555556 0.000586854460093897 0 0.00518779342723005 0 0 0 0.000508130081300813 0.000555555555555556 0 0.00872920449526427 0.00168183900148861 0.0025305465270254 0.000508130081300813 0.00595778063043788 0 0.00138813651137595 0.00636920106561123 0.006753663003663 0 0.00240439667397757 0.000508130081300813 0.0103317685978284 0.00814458689458689 0.014361226073696 0.00596564642117009 0.033223323681929 0.000508130081300813 0.0304718700629789 0.0209376994007594 0.0112010440797799 0.0140836286567994 0.00716148027767746 0.0131612907607773 0.0431565214016402 0.0708470593789104 0.632954963166192 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000825082508250825 0.000825082508250825 0.000825082508250825 0.000825082508250825 0.000825082508250825 0.00100401606425703 0.00100401606425703 0.00100401606425703 0.00100401606425703 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00173611111111111 0.00173611111111111 0.00173611111111111 0.00190733359050191 0.00309028321076514 0.00309028321076514 0.00520833333333333 0.0138888888888889 0.000825082508250825 0.0194641995712176 0 0 0 0.000825082508250825 0 0.00182909857250785 0.00190733359050191 0.00108225108225108 0 0.00791581258966233 0.00729460047984144 0 0 0 0 0 0.000825082508250825 0.00108225108225108 0.00108225108225108 0.00833333333333333 0.0168784735616419 0.00108225108225108 0 0 0 0 0 0 0 0 0 0 0.000825082508250825 0 0.000825082508250825 0.00281836219336219 0.00316851822875919 0 0 0.00108225108225108 0.00108225108225108 0.00274012717536814 0 0.00281836219336219 0 0 0 0 0 0.00208626714650811 0.00711566692383524 0.00216450216450216 0.00629058441558442 0 0 0 0 0 0 0.00274012717536814 0.0190965525123941 0.00495049504950495 0.0133273466115975 0.0150323444564766 0.0207224503963001 0.0114594236962423 0.00984560970018233 0.0149858924145427 0.0933673505866837 0.00520833333333333 0.553293638535414
4 150.666666666667 114.916666666667 12.5 15.1666666666667 2.66666666666667 3.08333333333333 2.33333333333333 0.781039673121052 0.0544012337407383 0.0117880636619288 0.0104480899627542 0.0243857248705803 0.0825948142755383 0.00657192630647633 0.0287704740609321 0 0 0.000636132315521628 0.00520833333333333 0 0 0 0 0 0.00164760348583878 0 0 0 0.00341006419531341 0.000636132315521628 0.00284224097515237 0.00331931085009335 0 0.000527426160337553 0 0 0 0.00423479400241861 0.00105485232067511 0 0 0.000636132315521628 0 0.00348452435912577 0 0 0 0.00884802220680083 0.000527426160337553 0 0.00179353972292904 0.00168483356774496 0 0 0 0.00219298245614035 0.0015078183172003 0.00396856936910537 0.00115740740740741 0 0 0 0.0124587801413239 0.00168483356774496 0.00275499366104437 0.00115740740740741 0.0283952763629064 0.00115740740740741 0.0218195421713491 0.0172947525791357 0.00656191095413697 0.00335038986354776 0.00850179498045447 0.00115740740740741 0.0354996408913196 0.0733724002818978 0.652181983153064 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000886524822695035 0.000886524822695035 0.00109649122807018 0.00109649122807018 0.00252525252525253 0.00326747720364742 0.00757575757575758 0 0 0 0 0 0 0 0 0.00109649122807018 0 0 0 0 0 0 0.00109649122807018 0.00252525252525253 0 0 0.00238095238095238 0.000886524822695035 0 0 0 0 0 0.00307439837839112 0 0 0 0.00142765036382058 0 0 0.00238095238095238 0 0 0.00763482766999704 0.00184320887445887 0 0 0 0 0 0 0 0 0 0.00238095238095238 0.00109649122807018 0 0 0 0 0 0 0 0 0.00252525252525253 0.00252525252525253 0 0 0 0.00341177734794756 0.00382733585858586 0 0 0 0 0.00238095238095238 0.00109649122807018 0.00198301605076521 0.00109649122807018 0 0 0 0 0.00622591041998937 0 0.00238095238095238 0.00218860815602837 0 0 0 0 0 0 0 0.0393973706631181 0.00272973369715391 0.00634599221700285 0.00958481504505779 0.0222445382267225 0.00491422521821796 0.00851962562687984 0.00879120879120879 0.0981272918030192 0.00238095238095238 0.638830160027596
5 107 76.9166666666667 13.4166666666667 8.25 2.91666666666667 2.83333333333333 2.66666666666667 0.772972994533074 0.0272718940075619 0.0121889802438309 0.0188152326308254 0.029621522626142 0.0995142126750091 0.00555839475414935 0.034056768529407 0 0 0 0 0.000391236306729264 0 0 0 0.000737463126843658 0.00481473067797466 0 0 0.000400641025641026 0.00789387621617202 0 0 0.00409494001043297 0.00134408602150538 0 0 0 0.000400641025641026 0.00153874517812571 0 0 0 0 0 0.00576077699235262 0 0 0.00185185185185185 0.000400641025641026 0.00185185185185185 0 0.00693311616077911 0 0 0 0.0037037037037037 0.000551876379690949 0 0.00672710920142915 0.000400641025641026 0 0.0030978854781194 0.00185185185185185 0.00152934045921395 0.000400641025641026 0.0116044526474569 0.0174760630689754 0.000801282051282051 0 0.0196016612970532 0.024507806020728 0.0124700981231178 0.00689196851726973 0.0128370729572878 0.0317937981997286 0.0517795638165378 0.0445659652982603 0.708992621405469 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000473484848484848 0.000786163522012579 0.00416666666666667 0.00416666666666667 0.00416666666666667 0.00416666666666667 0.000473484848484848 0.00504385964912281 0 0 0 0.00333333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00416666666666667 0.00416666666666667 0 0 0 0 0.000786163522012579 0.00416666666666667 0 0.00175438596491228 0 0 0 0.00990235021516054 0 0.00333333333333333 0.00333333333333333 0 0 0.00087719298245614 0.000786163522012579 0 0 0.00380681818181818 0.00254054948692486 0 0 0 0 0 0.00087719298245614 0 0 0 0.00983348201011002 0 0 0 0 0 0 0 0.000473484848484848 0.000786163522012579 0 0 0 0.000786163522012579 0.00333333333333333 0.00157232704402516 0.00307578588299979 0 0.000786163522012579 0 0 0 0.00757575757575758 0 0 0 0 0 0.00141242937853107 0.0120639728372884 0.0107106749925662 0 0 0 0 0 0 0 0.0416666666666667 0 0.000786163522012579 0.00648923444976077 0.0200081017955894 0.00716650115855677 0.0165081997871013 0.00935713264722699 0.0252373564711984 0.0126933564383596 0.0375072595913784 0.0508400302863951 0.652055782324095
6 121.166666666667 98 9.08333333333333 7.91666666666667 1.75 2.16666666666667 2.25 0.738383402382181 0.0263034789613462 0.0130137417818401 0.0283382718185163 0.0246013283728433 0.124359815691302 0.0118979201442933 0.0331020408476781 0.000530785562632696 0.000530785562632696 0 0 0 0 0.0026370126688598 0.00203252032520325 0 0.000530785562632696 0 0 0 0.00454743287196293 0.000859106529209622 0 0.00433816333279649 0 0.000859106529209622 0 0 0 0.00144653647838361 0 0 0.000530785562632696 0 0 0.00106837606837607 0 0 0 0.00252525252525253 0 0 0.00767364270548984 0 0 0 0.00320512820512821 0.000530785562632696 0.00252525252525253 0.00342385851939992 0.0158313908313908 0 0.00465166468351182 0.00320512820512821 0.00715488215488215 0.00320512820512821 0.00332042338411765 0.00523764853033146 0.00203252032520325 0 0.0165207187221108 0.0256967951796416 0.0149592806029739 0.000859106529209622 0.00363168195621202 0.0136804252657911 0.0354860762890052 0.0629573244244947 0.658441154279846 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000936329588014981 0.000936329588014981 0.000936329588014981 0.00396825396825397 0.00396825396825397 0.00396825396825397 0.00595238095238095 0.00595238095238095 0.0158730158730159 0 0 0 0 0 0 0.00198412698412698 0 0 0 0 0 0 0 0 0 0 0.00198412698412698 0 0 0 0 0 0 0.000936329588014981 0.00134408602150538 0 0 0 0 0 0 0.00595238095238095 0.00198412698412698 0.00146198830409357 0.00146198830409357 0 0 0 0.00274792379091353 0 0 0 0 0 0 0 0 0 0.00146198830409357 0.000936329588014981 0 0 0 0 0 0.00905797101449275 0 0 0 0.00181159420289855 0 0 0 0 0 0 0 0.00490196078431373 0 0 0 0 0 0 0 0 0 0.00228041560952036 0 0 0 0 0.00396825396825397 0 0 0 0.000936329588014981 0 0 0.00274792379091353 0 0.00228041560952036 0 0 0 0 0.00595238095238095 0.00490196078431373 0 0 0.0042099120950071 0.012034952223418 0.0272580958970955 0.0186790901986148 0.00851208716377256 0.0164109626251624 0.00198412698412698 0.0792817323498481 0.0217086834733894 0.623000893099533
7 86.5 62.6666666666667 8.75 8.58333333333333 1.25 1.58333333333333 3.66666666666667 0.777689045116824 0.0297390607955265 0.0144611428490517 0.0267458540013368 0.0197979019407086 0.0943085843031438 0.00536296404818925 0.0318954469452193 0 0 0 0 0.000896057347670251 0 0 0 0 0.000896057347670251 0.00136612021857923 0 0 0.00602869352869353 0 0 0.00293040293040293 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00106837606837607 0.000896057347670251 0 0.00259673761977909 0 0.000896057347670251 0 0.00136612021857923 0 0.00324389014865205 0.00392886683209264 0.000896057347670251 0 0.00158730158730159 0.0017921146953405 0.00226217756624949 0.000896057347670251 0.0327066051304927 0.0017921146953405 0.0093381743280386 0 0.0125038580513362 0.024282952392567 0.0139293864070803 0.00835081541057215 0.00125066727674827 0.00691478302530656 0.055521610511961 0.0629277083562469 0.736934178914242 0 0 0 0 0 0 0 0 0.00132275132275132 0.00193798449612403 0.00193798449612403 0.00193798449612403 0.00193798449612403 0.00225225225225225 0.00225225225225225 0.00245098039215686 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00132275132275132 0.00193798449612403 0 0.0115115115115115 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00193798449612403 0 0 0.00925925925925926 0 0 0 0.00319922194922195 0 0 0 0 0 0 0 0 0 0.00925925925925926 0.00132275132275132 0 0 0 0 0 0 0 0 0 0.00260416666666667 0 0 0 0 0 0 0 0.00193798449612403 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00260416666666667 0.000473484848484848 0.00612822124450031 0 0 0 0 0 0 0 0.0111972437553833 0.0045421511627907 0.0045421511627907 0.020822002503774 0.0296194801217886 0.0160949986531382 0.0236489792064347 0.0118399374555325 0.067916040329686 0.00857920163665718 0.565002225602003
8 136.416666666667 113.5 8.25 9.41666666666667 1.91666666666667 1.66666666666667 1.66666666666667 0.859251134437068 0.0261020019048561 0.00664767131245357 0.0129524442898957 0.011321198301796 0.0613314058468783 0.00363974719101124 0.0187543967160412 0 0.000957854406130268 0 0 0 0 0 0 0 0 0 0 0 0.000957854406130268 0.00087719298245614 0 0.000957854406130268 0 0 0 0 0 0 0 0 0 0 0 0.00087719298245614 0 0 0 0 0 0 0.00166666666666667 0 0 0 0.000957854406130268 0.000957854406130268 0 0.00277137697660139 0.000957854406130268 0 0 0 0.000957854406130268 0.000957854406130268 0.00635375245552859 0.00285203840027552 0.0134102237270878 0 0.015027690950222 0.0126859800929419 0.00358943335349869 0.00358943335349869 0.00183504738858641 0.00766283524904215 0.0230136276105046 0.0714447722845232 0.824679900277068 0 0 0 0 0 0 0 0 0 0 0 0 0.00185185185185185 0 0 0 0 0 0.00260416666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00198412698412698 0 0 0 0 0.00208333333333333 0 0 0 0 0.00208333333333333 0 0 0 0 0 0 0.00208333333333333 0 0 0 0 0 0.00406746031746032 0 0 0 0 0 0 0 0 0 0.00260416666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00198412698412698 0 0 0 0 0.00208333333333333 0 0 0 0 0 0 0 0.00198412698412698 0 0 0.00208333333333333 0 0 0 0 0 0.00416666666666667 0 0.0153356481481481 0.00966435185185185 0.00952034263526199 0.0109375 0.0146519091507571 0.00406746031746032 0.0149247266110745 0.00803571428571428 0.067556133116329 0.00625 0.72405952076171
9 76.9166666666667 51.25 7.33333333333333 9.33333333333333 2.5 3.83333333333333 2.66666666666667 0.754657803969377 0.0360744597566959 0.0172745344218213 0.0377603275220521 0.0161005308418611 0.104010548440654 0.00338115256559677 0.0307406424819421 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000825082508250825 0 0 0 0 0 0 0.00247332975743489 0 0 0 0 0.000825082508250825 0 0 0 0.00160389870762777 0 0.00140056022408964 0 0 0 0 0 0 0 0.00147909631142176 0.000700280112044818 0 0.000700280112044818 0.000700280112044818 0 0.00130855261812754 0.00439490349375589 0.00459789178829427 0.00305072524059129 0.000825082508250825 0.0182682175276358 0.0115573054837344 0.00400894255382549 0.00658657408513995 0.00332213396041064 0.0157172095718422 0.0239569184283289 0.0540043905517198 0.754359928501799 0 0 0 0 0 0 0.0014367816091954 0.0028735632183908 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0014367816091954 0 0 0 0.0050599700149925 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120772946859903 0 0 0 0 0 0.00709309544064562 0 0 0 0 0 0 0.0036231884057971 0 0 0.00136612021857923 0.00120772946859903 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120772946859903 0 0 0 0 0 0 0 0 0 0 0 0 0.00120772946859903 0.00120772946859903 0 0.00280290182777464 0 0 0 0 0 0.0028735632183908 0.0014367816091954 0.00385224054639347 0.0140108753132688 0.00980330168073023 0.00665514237416811 0.0137944604982221 0.00136612021857923 0.0189391907254552 0.011330895895257 0.0432813732626598 0.0199219420140676 0.737669729622713
10 65.1666666666667 44.4166666666667 5.41666666666667 9.58333333333333 1.25 2.5 2 0.81533727999362 0.0162074975759184 0.0204133017620046 0.0149203489968141 0.0145728041046725 0.0867169674250528 0.00388815703731465 0.0279436431046033 0 0 0 0 0 0 0 0 0 0.000886524822695035 0 0.000915750915750916 0 0 0 0 0.0014367816091954 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00183150183150183 0.0014367816091954 0 0 0.000915750915750916 0 0 0 0 0 0 0 0.000915750915750916 0.0425531914893617 0.00467583895683676 0.000915750915750916 0.00681438273147738 0 0.00730618733186598 0.00562081596564355 0.00688469332086353 0.00601553618794998 0 0.00641025641025641 0.0148729209218537 0.0812907599972096 0.80830082315109 0 0 0 0 0.00173611111111111 0.00219298245614035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00219298245614035 0 0 0.00115740740740741 0 0 0 0 0 0 0 0.00219298245614035 0 0 0 0 0 0.00173611111111111 0 0 0 0.00173611111111111 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00392909356725146 0 0 0 0 0 0 0 0.00173611111111111 0 0.010503547119164 0.00347222222222222 0.00450779727095517 0.00566520467836257 0.0144010826816586 0.0138888888888889 0.00721003898635477 0.00913742690058479 0.0443350990794908 0.0121527777777778 0.772782688273683
