"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_eo_Proportion" "Transition_jc_Proportion" "Transition_ho_Proportion" "Transition_go_Proportion" "Transition_gj_Proportion" "Transition_hc_Proportion" "Transition_ch_Proportion" "Transition_co_Proportion" "Transition_jh_Proportion" "Transition_ec_Proportion" "Transition_ih_Proportion" "Transition_ce_Proportion" "Transition_he_Proportion" "Transition_ji_Proportion" "Transition_hh_Proportion" "Transition_oi_Proportion" "Transition_hi_Proportion" "Transition_gh_Proportion" "Transition_jo_Proportion" "Transition_sh_Proportion" "Transition_ej_Proportion" "Transition_ee_Proportion" "Transition_so_Proportion" "Transition_ic_Proportion" "Transition_je_Proportion" "Transition_eh_Proportion" "Transition_ge_Proportion" "Transition_jj_Proportion" "Transition_hg_Proportion" "Transition_ci_Proportion" "Transition_cc_Proportion" "Transition_ie_Proportion" "Transition_gi_Proportion" "Transition_se_Proportion" "Transition_sc_Proportion" "Transition_ei_Proportion" "Transition_cg_Proportion" "Transition_eg_Proportion" "Transition_og_Proportion" "Transition_ig_Proportion" "Transition_sj_Proportion" "Transition_hj_Proportion" "Transition_es_Proportion" "Transition_si_Proportion" "Transition_gc_Proportion" "Transition_ii_Proportion" "Transition_io_Proportion" "Transition_jg_Proportion" "Transition_hs_Proportion" "Transition_gg_Proportion" "Transition_sg_Proportion" "Transition_os_Proportion" "Transition_is_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_seh_Proportion" "Transition_geg_Proportion" "Transition_ige_Proportion" "Transition_jci_Proportion" "Transition_gei_Proportion" "Transition_hgg_Proportion" "Transition_isc_Proportion" "Transition_hie_Proportion" "Transition_csh_Proportion" "Transition_ois_Proportion" "Transition_egi_Proportion" "Transition_jse_Proportion" "Transition_ihh_Proportion" "Transition_gge_Proportion" "Transition_sgh_Proportion" "Transition_ghh_Proportion" "Transition_sig_Proportion" "Transition_jis_Proportion" "Transition_gos_Proportion" "Transition_ice_Proportion" "Transition_hhh_Proportion" "Transition_esi_Proportion" "Transition_gjs_Proportion" "Transition_iei_Proportion" "Transition_his_Proportion" "Transition_jgg_Proportion" "Transition_ssj_Proportion" "Transition_cie_Proportion" "Transition_eeg_Proportion" "Transition_hhe_Proportion" "Transition_chi_Proportion" "Transition_cch_Proportion" "Transition_iig_Proportion" "Transition_hhs_Proportion" "Transition_cos_Proportion" "Transition_sic_Proportion" "Transition_ici_Proportion" "Transition_csi_Proportion" "Transition_seg_Proportion" "Transition_sse_Proportion" "Transition_sge_Proportion" "Transition_gig_Proportion" "Transition_sie_Proportion" "Transition_hgs_Proportion" "Transition_shg_Proportion" "Transition_ish_Proportion" "Transition_eis_Proportion" "Transition_gic_Proportion" "Transition_hhg_Proportion" "Transition_hsg_Proportion" "Transition_osi_Proportion" "Transition_ehe_Proportion" "Transition_ihi_Proportion" "Transition_eee_Proportion" "Transition_jii_Proportion" "Transition_ges_Proportion" "Transition_ces_Proportion" "Transition_esh_Proportion" "Transition_ggi_Proportion" "Transition_cis_Proportion" "Transition_sgi_Proportion" "Transition_cei_Proportion" "Transition_eih_Proportion" "Transition_jhs_Proportion" "Transition_ihs_Proportion" "Transition_gii_Proportion" "Transition_hes_Proportion" "Transition_gse_Proportion" "Transition_ese_Proportion" "Transition_egg_Proportion" "Transition_jgs_Proportion" "Transition_shi_Proportion" "Transition_ieg_Proportion" "Transition_hii_Proportion" "Transition_igs_Proportion" "Transition_iii_Proportion" "Transition_jsh_Proportion" "Transition_gsh_Proportion" "Transition_shs_Proportion" "Transition_shh_Proportion" "Transition_ise_Proportion" "Transition_iee_Proportion" "Transition_cse_Proportion" "Transition_isi_Proportion" "Transition_ehs_Proportion" "Transition_see_Proportion" "Transition_cgi_Proportion" "Transition_ggh_Proportion" "Transition_eii_Proportion" "Transition_gsg_Proportion" "Transition_ghs_Proportion" "Transition_gee_Proportion" "Transition_ees_Proportion" "Transition_ssh_Proportion" "Transition_ses_Proportion" "Transition_esg_Proportion" "Transition_osg_Proportion" "Transition_jei_Proportion" "Transition_igg_Proportion" "Transition_isg_Proportion" "Transition_ggs_Proportion" "Transition_ege_Proportion" "Transition_hsi_Proportion" "Transition_jsc_Proportion" "Transition_sei_Proportion" "Transition_eig_Proportion" "Transition_scc_Proportion" "Transition_csg_Proportion" "Transition_ies_Proportion" "Transition_gis_Proportion" "Transition_egs_Proportion" "Transition_igi_Proportion" "Transition_gsi_Proportion" "Transition_ggg_Proportion" "Transition_sis_Proportion" "Transition_ess_Proportion" "Transition_iis_Proportion" "Transition_ogs_Proportion" "Transition_sjs_Proportion" "Transition_hss_Proportion" "Transition_ssi_Proportion" "Transition_sii_Proportion" "Transition_ssg_Proportion" "Transition_jsg_Proportion" "Transition_sgg_Proportion" "Transition_sgs_Proportion" "Transition_sgc_Proportion" "Transition_iss_Proportion" "Transition_oss_Proportion" "Transition_gss_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_sss_Proportion"
1 54.6666666666667 37 5.75 7.75 1.5 1.83333333333333 0.833333333333333 0.36118529677762 0.0955369156029763 0.161677340655774 0.0353240595651559 0.0449745908625384 0.121326847661612 0.0652958689166688 0.114679079957654 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00105485232067511 0.00105485232067511 0.00105485232067511 0.00112612612612613 0.00112612612612613 0.00112612612612613 0.00112612612612613 0.00112612612612613 0.00112612612612613 0.00112612612612613 0.00112612612612613 0.00138888888888889 0.00225225225225225 0.00251501501501502 0.00252525252525253 0.00323583076747634 0.00477750477750478 0.00555555555555556 0.00632231882231882 0.00833333333333333 0.00833333333333333 0.00842178595343152 0.0110906360906361 0.0180982118482118 0.0229555117213345 0.0318901882984161 0.0458951072875124 0.0491489542122453 0.0705874019165158 0.601166018096398 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00177304964539007 0.00177304964539007 0.00177304964539007 0.00177304964539007 0.00177304964539007 0.00177304964539007 0.00177304964539007 0.00177304964539007 0.00177304964539007 0.00177304964539007 0.00177304964539007 0.00177304964539007 0.00177304964539007 0.00252525252525253 0.00320512820512821 0.00320512820512821 0.00573038073038073 0.00593971631205674 0.00593971631205674 0.00608339447297628 0.00641025641025641 0.00785174106890908 0.00785174106890908 0.0138888888888889 0.023247068256455 0.0421028179163348 0.0542545380650351 0.0671951414598473 0.0733083093377211 0.564877802041259
2 71.1666666666667 49.0833333333333 8.58333333333333 7.08333333333333 1.91666666666667 2.33333333333333 2.08333333333333 0.421761583695439 0.0267193998811646 0.0757585154579479 0.0140177566744904 0.0487617936211847 0.153991754679642 0.0357540576919447 0.139901804964853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000555555555555556 0.000555555555555556 0.00320512820512821 0.00320512820512821 0 0.000555555555555556 0.00320512820512821 0 0 0 0 0 0.000555555555555556 0.00320512820512821 0.00483911513323278 0 0.00205808080808081 0.00813131313131313 0 0.0189933174124351 0.0116814353946707 0 0.0112493715434892 0 0.000555555555555556 0.0121055292746469 0.0161518081538784 0.0214081756072047 0.0087362596553773 0.0750189141397581 0.0217201426024955 0.0227750449441626 0.0785604561875109 0.58763941208012 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00114155251141553 0.00114155251141553 0.00114155251141553 0.00953224352954282 0.0104166666666667 0.0104166666666667 0 0 0 0 0 0 0 0 0 0 0.00267094017094017 0.0036231884057971 0.0288711808479322 0.0104166666666667 0 0.0166666666666667 0.00114155251141553 0.0036231884057971 0.0140398550724638 0.0034965034965035 0 0.00530169064651823 0.00918735977191338 0 0.0535287150945075 0.0185606060606061 0.0599008855448701 0.023211639043492 0.0225729600952948 0.522729500434826
3 141.333333333333 107 14.9166666666667 12.5 2.83333333333333 2.33333333333333 1.75 0.373798790877605 0.0343806647026518 0.0645581718560668 0.0480748823598159 0.0850846752159126 0.198612926698317 0.0444127173292226 0.151077170960409 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000382262996941896 0.00100401606425703 0.00109649122807018 0.00109649122807018 0.00187035823503713 0.00245098039215686 0.00415812046105148 0.00641025641025641 0.0067399101077675 0.0124643874643875 0 0.00320512820512821 0.00203282264861917 0.00633444208181755 0 0.00173502127362768 0 0.00100401606425703 0.00310452335658423 0.00496788221461424 0.00891623172853357 0.00915750915750916 0.00148809523809524 0.00309065934065934 0.00257524545308225 0 0.00455148768448407 0.0128205128205128 0 0.0407613850335033 0.0070603759650787 0 0.00737613554726415 0 0.000706214689265537 0.0173674662288544 0.0185372779609373 0.0192677703352723 0.0207685275839731 0.0767251379516159 0.0140942391253612 0.0234591628839933 0.132364911522289 0.518854543317071 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000645994832041344 0.00151515151515152 0.00177304964539007 0.00177304964539007 0.00177304964539007 0.00177304964539007 0.00177304964539007 0.00193798449612403 0.00193798449612403 0.00193798449612403 0.00231481481481481 0.00231481481481481 0.00231481481481481 0.00231481481481481 0.00231481481481481 0.00231481481481481 0.00231481481481481 0.00297619047619048 0.00297619047619048 0.00297619047619048 0.0036068044788975 0.00362218530823182 0.0037110341415141 0.00378787878787879 0.00408786446020489 0.00408786446020489 0.00757575757575758 0.0277777777777778 0 0 0 0.0125507567368032 0 0.00297619047619048 0 0 0 0 0 0 0 0 0 0.000645994832041344 0 0.00722898978712932 0.0550391583419787 0 0 0 0.0131900191091186 0 0.000645994832041344 0.00177304964539007 0 0.00886774723984026 0.00927120394586995 0 0.0692945899464949 0.00733397807865893 0.102198857641708 0.0471353101239296 0.0288133062440336 0.532805062833514
4 122 86.6666666666667 15.5833333333333 13.6666666666667 2.58333333333333 2.08333333333333 1.25 0.261340258867403 0.0308910743256431 0.0571556941467351 0.0149918790010675 0.0491246321833482 0.191318450233928 0.0414518437221813 0.187059500853028 0 0 0 0 0 0 0 0 0.00154320987654321 0.00154320987654321 0.00210627293960627 0.00213844797178131 0.00228442728442728 0.000595238095238095 0 0 0.000563063063063063 0 0 0.00112612612612613 0 0.00895397562064229 0 0.000595238095238095 0 0.00112612612612613 0.00291094666094666 0 0.00172136422136422 0.00231481481481481 0 0 0.0113308461522747 0.00857982273212158 0.00112612612612613 0.00154320987654321 0.00231481481481481 0.00416949080742184 0.000595238095238095 0.0102487031366342 0.00225225225225225 0 0.0242092378359771 0.00872490829387381 0 0.0172102100981411 0 0.000574712643678161 0.0314379543854092 0.0183223129630095 0.0164115384342677 0.00382674341007674 0.0814502588258098 0.00692660024556576 0.0215139975084016 0.109810225336109 0.421231668587126 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00101626016260163 0.00101626016260163 0.00101626016260163 0.00101626016260163 0.00122549019607843 0.00122549019607843 0.00122549019607843 0.0028735632183908 0.0028735632183908 0.0028735632183908 0.0028735632183908 0.00308641975308642 0.00308641975308642 0.00308641975308642 0.00308641975308642 0.00388982338099243 0.00511531357707086 0.00595998297147722 0.00788764015091131 0 0 0 0 0.00101626016260163 0.00224175035868006 0.00388982338099243 0 0 0 0 0 0 0 0 0.00101626016260163 0.0109740599039977 0 0 0 0 0 0 0 0 0.00101626016260163 0 0 0 0.00120772946859903 0.00431190994916485 0.00528902215558887 0 0 0 0 0 0 0 0 0 0.00583735909822866 0.0132902298850575 0.00203252032520325 0.00222398963120066 0.00101626016260163 0.019977688171165 0.0028735632183908 0 0 0.0501849628482958 0 0.00203252032520325 0.00797111606798227 0.00122549019607843 0.00818397260267788 0.00448350071736011 0 0.0766894519821231 0.00697624313407885 0.123560689798307 0.0460067488042471 0.0120701694824515 0.36129957797285
5 128.833333333333 93.3333333333333 14.3333333333333 13.9166666666667 2.16666666666667 2.25 2.75 0.280118214725118 0.0311678050874159 0.0604713909958829 0.0153857580143173 0.0634449631358799 0.198544201084458 0.0462160484291098 0.221318285194485 0 0 0 0 0 0 0.000468164794007491 0.000508130081300813 0 0.000915750915750916 0.00328590785907859 0.00277777777777778 0.000976294875308304 0.000712250712250712 0.00375407265308608 0 0.00144445966931579 0 0 0.00422138836772983 0 0.00404476246902434 0 0.00606368563685637 0 0.000468164794007491 0.00151214614555784 0 0.00598290598290598 0.000508130081300813 0.000468164794007491 0.00897947708507294 0.011551930752149 0.0129416513167559 0.000976294875308304 0.00371325828642902 0 0.00593850422360131 0 0.00983160233436551 0.00609494542078812 0 0.0315276719260553 0.0228938363002355 0 0.019824199690588 0.000915750915750916 0.00320512820512821 0.0309199623708963 0.0168562490181158 0.0212938577157822 0.00593079007713154 0.109477209632173 0.00732538689855763 0.0146083263842771 0.108635180870766 0.425113294757472 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000757575757575758 0.000757575757575758 0.000757575757575758 0.000757575757575758 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.000980392156862745 0.00198412698412698 0.00198412698412698 0.00296451914098973 0.00369875222816399 0.00520833333333333 0.00520833333333333 0.00618872549019608 0.00618872549019608 0.00641025641025641 0.00641025641025641 0.00824652777777778 0 0 0.000980392156862745 0.00196078431372549 0 0 0.00641025641025641 0 0.000757575757575758 0.000980392156862745 0.00198412698412698 0 0 0 0.00694444444444444 0 0 0.00792483660130719 0.0017379679144385 0 0 0 0 0 0.00477801916221034 0.00846145276292335 0 0 0 0 0 0.000980392156862745 0.00177304964539007 0.0153154851684263 0 0.00375717662951706 0 0 0 0.00820176555470673 0 0 0 0 0.000980392156862745 0 0 0 0.00198412698412698 0.000757575757575758 0.00644540644540645 0.000980392156862745 0.000980392156862745 0 0 0 0.000757575757575758 0.000980392156862745 0.00271836007130125 0.00396825396825397 0 0 0.0104553279645191 0 0.00937477555124614 0.0300090406756943 0.00130208333333333 0 0 0.0416988356649261 0.00347593582887701 0.0166427679754886 0.00653932974705033 0 0.00509971033868093 0.018536556036556 0 0.113425916809052 0.000980392156862745 0.105423942409628 0.0266547849776886 0.016876037956099 0.3532649042554
6 130.916666666667 99 12.3333333333333 12.25 2.41666666666667 2.16666666666667 2.75 0.308642006832385 0.0515327989200775 0.0604786832320835 0.0110868888076223 0.0682845642735174 0.224431133457382 0.0368731759625599 0.238670748514373 0 0 0.000448028673835126 0.000448028673835126 0.000578703703703704 0.00173611111111111 0 0 0 0 0 0.00192278972520908 0.000448028673835126 0.00378383190883191 0.0017921146953405 0 0.00142904383975813 0.00350916075650118 0 0.00147476105137395 0 0.01095947063689 0 0.00266910699306032 0 0.000448028673835126 0.00397721555672889 0 0.00173611111111111 0.00322061191626409 0 0.00726634050366769 0.00659848749563221 0.00530127545184168 0.00147476105137395 0.00637028315599744 0.00129836880988955 0.00671428896162939 0 0.0182721027479092 0.00294446136663621 0 0.0239476346850217 0.0163131147821948 0.000448028673835126 0.0194320594545654 0.00173611111111111 0.00147476105137395 0.02377077464317 0.0251130561740261 0.0211383452965419 0.00571332666784 0.0986082887272422 0.00577163232442736 0.028482703810297 0.133337287573882 0.497891357778669 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000586854460093897 0.000586854460093897 0.000586854460093897 0.000586854460093897 0.00117370892018779 0.00117370892018779 0.00117370892018779 0.0014367816091954 0.00148809523809524 0.00320512820512821 0.00694444444444444 0 0 0 0.00117370892018779 0 0 0 0 0 0.00320512820512821 0.0014367816091954 0.00148809523809524 0 0.000586854460093897 0 0 0 0.0101495726495726 0 0 0 0 0.000586854460093897 0 0.0138888888888889 0 0.00193798449612403 0.000586854460093897 0 0 0.00193798449612403 0 0 0 0 0 0.00193798449612403 0 0 0.0014367816091954 0 0 0 0 0.00148809523809524 0.0428403755868545 0.00320512820512821 0 0 0 0.000586854460093897 0.00320512820512821 0.00753129890453834 0 0.0109126984126984 0 0.0014367816091954 0 0 0 0.0189847092893277 0 0 0 0.000586854460093897 0.0014367816091954 0.00148809523809524 0 0 0 0.00117370892018779 0.0020236360692893 0 0 0 0 0 0 0 0.00469322344322344 0.0028735632183908 0.00396825396825397 0 0.00431034482758621 0.00698953823953824 0.005484053747774 0.0358613548748746 0.004378837125316 0 0.00148809523809524 0.015216409837444 0.00572881734853566 0.00852336239660183 0.0175816305005232 0 0.0195258348304532 0.00572259751472962 0 0.11428641556653 0.0105994619076014 0.104635524623425 0.0203244483506549 0.0110971058911609 0.440514512254646
7 113.666666666667 84.5833333333333 11.0833333333333 10 3 2.08333333333333 2.91666666666667 0.428736829642659 0.033135316379882 0.0395537946872223 0.0133181252811623 0.0617479747606015 0.208807429802631 0.0393837527817465 0.175316776664095 0 0.00112612612612613 0 0.000345781466113416 0 0 0 0 0 0 0 0 0 0.00198412698412698 0 0 0.00338624338624339 0 0 0.00486659783269953 0 0.00510980647966949 0 0 0 0 0.0016023166023166 0 0.00347146096165593 0.00205205205205205 0 0.0016023166023166 0.0124138417498065 0.00426723200695803 0 0.00458216070249265 0 0.00194809806843002 0.00198412698412698 0.00920178449965006 0 0 0.0215180403584883 0.0171455073558183 0 0.0177781504982665 0 0.00198412698412698 0.0105402369100999 0.0202145554052563 0.0164450253041102 0.00977408386051751 0.0681559359868396 0.00898003254779399 0.0118644429847749 0.108629353278947 0.627026436020177 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00198412698412698 0.00520833333333333 0 0 0 0 0 0 0.00672348484848485 0 0 0.00277777777777778 0 0 0 0 0 0 0 0 0 0.00151515151515152 0 0.00198412698412698 0 0 0 0 0 0.00449134199134199 0 0 0 0 0 0 0 0 0 0.000645994832041344 0 0 0 0 0 0 0 0 0 0.00151515151515152 0 0.00520833333333333 0 0 0 0.00151515151515152 0.00342377260981912 0.000645994832041344 0.00277777777777778 0.0067675983436853 0 0 0 0 0 0 0 0.00277777777777778 0 0.00719246031746032 0 0 0.00277777777777778 0.00450741890959282 0 0 0.00520833333333333 0 0.00198412698412698 0 0 0 0.00198412698412698 0.00342377260981912 0.00569806836237574 0.00277777777777778 0 0 0 0.00277777777777778 0 0 0 0.00297619047619048 0.0005175983436853 0 0.00263012181616833 0.00448585231193927 0.000645994832041344 0.0250497764369099 0.0107638888888889 0.00520833333333333 0 0.0107638888888889 0.00994220151828847 0.0142351308112178 0.00513184714398061 0 0.00860406936620283 0.00760668945704335 0 0.064193037189751 0.0197647836519171 0.0852463042238067 0.020309265010352 0.019751843693325 0.593879645800778
8 112.333333333333 83.8333333333333 12.0833333333333 9.08333333333333 1.75 1.91666666666667 3.66666666666667 0.330213421188684 0.0345115589504213 0.0482635266776505 0.0173192758115717 0.094297034818335 0.213965615035486 0.046320614386021 0.21510895313183 0.00128205128205128 0 0 0 0 0 0 0.00128205128205128 0 0 0.00586450131233596 0.00163398692810458 0.000656167979002625 0 0.00682900748517546 0 0.000656167979002625 0.00308641975308642 0 0.000249500998003992 0 0.00484978390358253 0 0 0.000656167979002625 0 0.00196850393700787 0 0.000656167979002625 0 0 0.00131233595800525 0.00424158972809703 0.0114358389520172 0.00482283464566929 0.00954324132686029 0 0.000656167979002625 0 0.00324030259438724 0.000465549348230912 0 0.0235488041323558 0.00940248141589293 0 0.0154861990502789 0 0.00128205128205128 0.0206868931730724 0.0272966670963573 0.0335174583075655 0 0.113942755844994 0.0097164931754524 0.0215600207767816 0.133774140260615 0.524397696154903 0 0 0 0 0 0 0 0 0 0 0 0.00154320987654321 0.00154320987654321 0.00154320987654321 0.00694444444444444 0.00694444444444444 0.00198412698412698 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00154320987654321 0.00154320987654321 0.00065359477124183 0.00154320987654321 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00154320987654321 0 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0.00154320987654321 0 0 0 0 0 0.00423138191955396 0.00385413424629111 0 0 0 0 0 0 0 0 0 0.00187000726216412 0 0 0 0.00391366223908918 0 0 0 0 0.000326797385620915 0 0 0 0 0.00524237472766885 0.0259997316156736 0 0.00154320987654321 0 0.00833333333333333 0 0 0.00154320987654321 0 0 0.00154320987654321 0 0.00462962962962963 0.020068635344637 0.00617283950617284 0.0191070215421892 0.0239197530864198 0 0 0.00455817930517488 0.00198412698412698 0.00352733686067019 0.0188244540972589 0 0.0104587003883679 0.0317920686793236 0 0.151967155622313 0 0.106123553260066 0.0293170972092541 0.0273329702251271 0.432109802910308
9 119.416666666667 89.25 11.25 8.75 2.25 2.33333333333333 5.58333333333333 0.372904467195107 0.0300165625007786 0.0484054797237381 0.0145269845033487 0.0579161872296776 0.254384262637717 0.0222626351653443 0.199583421044289 0 0 0 0 0 0 0.000418760469011725 0 0.000418760469011725 0 0 0.00136612021857923 0 0 0 0.00225225225225225 0.00409836065573771 0 0 0.00403713293984321 0 0.0175326079848693 0.000418760469011725 0 0 0 0.00181159420289855 0 0.00161371013007297 0.0106253794778385 0.000582750582750583 0.00178488068759096 0.0133659091088908 0.0521538758016451 0.000582750582750583 0.00178488068759096 0 0.0152772427265266 0.0014367816091954 0.00357551933854149 0.00368903386144765 0 0.05128385755787 0.015440225466451 0 0.010106203606475 0 0.00379530099170905 0.0068503381856274 0.0316054775925221 0.0381268129540812 0.00713712538288463 0.0666671495516514 0.0129579276153015 0.00699506570815344 0.12721389770287 0.482993553428347 0 0 0 0 0 0.000214224507283633 0.00087719298245614 0.00347222222222222 0.00347222222222222 0.00462962962962963 0.00580929487179487 0 0 0 0 0 0 0 0 0 0 0 0 0.000636132315521628 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00127226463104326 0.00781029120723777 0 0 0.000636132315521628 0 0 0 0 0 0 0 0 0 0 0.0084464235227594 0 0.00320512820512821 0 0 0 0 0.000850356822805262 0 0 0 0 0.000850356822805262 0 0.000636132315521628 0 0.00127226463104326 0.000214224507283633 0 0 0 0.00260416666666667 0.00430488031227719 0 0 0.00410835453774385 0 0 0 0 0 0 0.00653802657619451 0 0 0.000636132315521628 0.0138813454626425 0 0 0.0208333333333333 0 0.0032402989821883 0 0 0 0.000214224507283633 0 0.00911356367213036 0 0 0 0 0 0.00087719298245614 0 0 0.0101587100764732 0.00810185185185185 0 0 0.0194913495724209 0.000214224507283633 0.0603872734685005 0 0 0 0.0154605263157895 0.0145169016571133 0.013666544834308 0.0156638427987634 0 0.0160083109483866 0.0139160172630659 0 0.0521126892725858 0.0140616164828951 0.0882064287480445 0.0046916173434551 0.0287123993720518 0.43064034907296
10 114.333333333333 87.0833333333333 11.75 6.66666666666667 2 2.16666666666667 4.66666666666667 0.402873804672786 0.0295553763651461 0.0389036320917767 0.0272793827443658 0.0537249683387346 0.24390679676738 0.0337965254732807 0.16995951354653 0 0.000354609929078014 0 0 0.00268817204301075 0 0 0 0 0 0.00148809523809524 0 0 0.000354609929078014 0 0 0 0.00268817204301075 0 0.000257997936016512 0 0.0100061671292014 0 0 0.00148809523809524 0 0.0017434988179669 0 0.000737463126843658 0.000709219858156028 0 0.000694444444444444 0.0201440054230714 0.0069813829787234 0.00520833333333333 0.00104905437352246 0 0.0131048387096774 0 0.00580572808833678 0.00520833333333333 0 0.032160670974436 0.00755182126244853 0 0.00721242444346159 0 0.00367063492063492 0.017486299917772 0.0237699469118643 0.0158417423181636 0.00268817204301075 0.0934402828019898 0.00473446470786896 0.00716286158638762 0.0910772445767754 0.445824544895525 0 0 0 0.000496031746031746 0.00151229190863337 0.00120772946859903 0 0 0 0 0 0 0 0.000496031746031746 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00198412698412698 0 0 0.00101626016260163 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0 0 0 0 0 0 0.00120772946859903 0 0 0 0 0.0416666666666667 0 0 0 0 0 0 0 0 0 0.000330687830687831 0 0 0 0 0 0 0 0.00378787878787879 0 0.00198412698412698 0 0 0 0.00352254428341385 0.00490196078431373 0 0 0 0 0.00378787878787879 0 0 0 0 0.0142698987807683 0 0 0 0 0 0 0 0 0.00101626016260163 0 0 0 0.0123962348577937 0.00378787878787879 0.0365410052910053 0 0 0 0.0482723886656112 0.000330687830687831 0.000330687830687831 0.00789600481408541 0 0.0103611322792129 0.00749079825166782 0 0.0282307400878451 0 0.0611562071565346 0.0108201817312291 0.00958408123042269 0.506002755521267
