"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_oc_Proportion" "Transition_hj_Proportion" "Transition_go_Proportion" "Transition_he_Proportion" "Transition_jh_Proportion" "Transition_ch_Proportion" "Transition_ih_Proportion" "Transition_jj_Proportion" "Transition_gh_Proportion" "Transition_hh_Proportion" "Transition_hi_Proportion" "Transition_ee_Proportion" "Transition_eh_Proportion" "Transition_ei_Proportion" "Transition_ci_Proportion" "Transition_oi_Proportion" "Transition_ie_Proportion" "Transition_hc_Proportion" "Transition_ic_Proportion" "Transition_sj_Proportion" "Transition_ej_Proportion" "Transition_ec_Proportion" "Transition_jc_Proportion" "Transition_je_Proportion" "Transition_eg_Proportion" "Transition_hg_Proportion" "Transition_oh_Proportion" "Transition_ge_Proportion" "Transition_oo_Proportion" "Transition_gc_Proportion" "Transition_ii_Proportion" "Transition_gi_Proportion" "Transition_sh_Proportion" "Transition_cg_Proportion" "Transition_ig_Proportion" "Transition_og_Proportion" "Transition_cc_Proportion" "Transition_ij_Proportion" "Transition_jg_Proportion" "Transition_ce_Proportion" "Transition_ji_Proportion" "Transition_so_Proportion" "Transition_sc_Proportion" "Transition_gj_Proportion" "Transition_gg_Proportion" "Transition_se_Proportion" "Transition_es_Proportion" "Transition_sg_Proportion" "Transition_si_Proportion" "Transition_hs_Proportion" "Transition_os_Proportion" "Transition_js_Proportion" "Transition_cs_Proportion" "Transition_gs_Proportion" "Transition_is_Proportion" "Transition_ss_Proportion" "Transition_ics_Proportion" "Transition_hee_Proportion" "Transition_eeg_Proportion" "Transition_ooo_Proportion" "Transition_ghg_Proportion" "Transition_eei_Proportion" "Transition_gge_Proportion" "Transition_jsj_Proportion" "Transition_cse_Proportion" "Transition_igi_Proportion" "Transition_gee_Proportion" "Transition_egs_Proportion" "Transition_jjs_Proportion" "Transition_sih_Proportion" "Transition_ssh_Proportion" "Transition_hsh_Proportion" "Transition_osi_Proportion" "Transition_chi_Proportion" "Transition_ggc_Proportion" "Transition_gch_Proportion" "Transition_his_Proportion" "Transition_ige_Proportion" "Transition_shh_Proportion" "Transition_ogi_Proportion" "Transition_geg_Proportion" "Transition_sge_Proportion" "Transition_egg_Proportion" "Transition_gsc_Proportion" "Transition_ghs_Proportion" "Transition_csg_Proportion" "Transition_eie_Proportion" "Transition_igg_Proportion" "Transition_ghe_Proportion" "Transition_hes_Proportion" "Transition_gei_Proportion" "Transition_ihs_Proportion" "Transition_gig_Proportion" "Transition_ieg_Proportion" "Transition_sjj_Proportion" "Transition_ssj_Proportion" "Transition_sgi_Proportion" "Transition_iig_Proportion" "Transition_cei_Proportion" "Transition_ses_Proportion" "Transition_cgi_Proportion" "Transition_icg_Proportion" "Transition_sse_Proportion" "Transition_eee_Proportion" "Transition_jhs_Proportion" "Transition_gii_Proportion" "Transition_ish_Proportion" "Transition_gie_Proportion" "Transition_iei_Proportion" "Transition_chs_Proportion" "Transition_ogg_Proportion" "Transition_soo_Proportion" "Transition_sso_Proportion" "Transition_sci_Proportion" "Transition_hsc_Proportion" "Transition_shg_Proportion" "Transition_gsh_Proportion" "Transition_hgg_Proportion" "Transition_ggi_Proportion" "Transition_iii_Proportion" "Transition_scs_Proportion" "Transition_eis_Proportion" "Transition_jgg_Proportion" "Transition_hhs_Proportion" "Transition_iie_Proportion" "Transition_sie_Proportion" "Transition_iee_Proportion" "Transition_ese_Proportion" "Transition_see_Proportion" "Transition_ees_Proportion" "Transition_ssi_Proportion" "Transition_hse_Proportion" "Transition_gis_Proportion" "Transition_esg_Proportion" "Transition_ces_Proportion" "Transition_ehs_Proportion" "Transition_gsi_Proportion" "Transition_eii_Proportion" "Transition_ehi_Proportion" "Transition_ies_Proportion" "Transition_cgs_Proportion" "Transition_ggg_Proportion" "Transition_gsg_Proportion" "Transition_cis_Proportion" "Transition_ggs_Proportion" "Transition_jgs_Proportion" "Transition_hgs_Proportion" "Transition_ssg_Proportion" "Transition_sgg_Proportion" "Transition_hsi_Proportion" "Transition_ise_Proportion" "Transition_esi_Proportion" "Transition_isg_Proportion" "Transition_egi_Proportion" "Transition_hsg_Proportion" "Transition_ess_Proportion" "Transition_isi_Proportion" "Transition_ges_Proportion" "Transition_sgs_Proportion" "Transition_oos_Proportion" "Transition_csc_Proportion" "Transition_jgc_Proportion" "Transition_scc_Proportion" "Transition_gse_Proportion" "Transition_sii_Proportion" "Transition_iis_Proportion" "Transition_shs_Proportion" "Transition_igs_Proportion" "Transition_sos_Proportion" "Transition_sis_Proportion" "Transition_oss_Proportion" "Transition_hss_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 127.083333333333 103.083333333333 12.75 9.25 0.833333333333333 0.916666666666667 0.25 0.433320858812743 0.0308294040500238 0.0788631234848434 0.0376225744909032 0.0281050507293161 0.175269856332639 0.0472540735105388 0.168735058588992 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00112612612612613 0.00120772946859903 0.00120772946859903 0.00120772946859903 0.00141242937853107 0.00154320987654321 0.00154320987654321 0.00241545893719807 0.00275093934514224 0.00297619047619048 0.00340071192473938 0.0036231884057971 0.0036231884057971 0.00373619233268356 0.00495401444185527 0.00516639828234031 0.00641606280193237 0.00651777553951467 0.00957556935817805 0.0122889433551198 0.0136341285758214 0.0221042922521819 0.0236518445588318 0.04068451776277 0.0553944288521568 0.10884584283955 0.110625462018805 0.46503335253652 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00268817204301075 0.0028735632183908 0.0028735632183908 0.0028735632183908 0.0028735632183908 0.0028735632183908 0.0028735632183908 0.00378787878787879 0.00490196078431373 0.00555555555555556 0.0126580935404465 0.0202532423627758 0.025140056022409 0.0824200787943181 0.0829504685324878 0.0905424378041011 0.122337250593319 0.446190092535705
2 146.083333333333 122.583333333333 13.5 8.41666666666667 0.833333333333333 0.666666666666667 0.0833333333333333 0.325001900090884 0.105054847080401 0.0771952063169731 0.0164621936505777 0.0271696543894275 0.215502121128625 0.0398689670463595 0.193745110296752 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00126262626262626 0.0016025641025641 0.0016025641025641 0.0016025641025641 0.00198412698412698 0.00208333333333333 0.00208333333333333 0.00347222222222222 0.00349576271186441 0.00351487851487852 0.00555555555555556 0.00696798493408663 0 0 0.00385481635481636 0.00542929292929293 0.00126262626262626 0 0.00874088374088374 0.00141242937853107 0.0016025641025641 0 0.00252525252525253 0 0.00509832681442851 0 0.0016025641025641 0 0.00371360665478313 0.00301499348109518 0.0220453835421433 0.0338955618616636 0.00990731255561764 0.020425632607836 0.00819899535627352 0.0226792815028109 0.0717937795642182 0.132461995996393 0.12465834115884 0.397115510014314 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0036231884057971 0.0036231884057971 0.0036231884057971 0.00416666666666667 0.00416666666666667 0.00416666666666667 0.00462962962962963 0.00641025641025641 0.00757575757575758 0.00906862745098039 0.009375 0.0208333333333333 0.0330387205387205 0 0 0 0 0 0 0.00520833333333333 0 0 0 0.0135416666666667 0.00641025641025641 0.0398451426024955 0.125046585684373 0.0499547101449275 0.091858892386386 0.154474585516785 0.316025603765374
3 164 131.333333333333 16.4166666666667 12.6666666666667 2.25 0.75 0.583333333333333 0.389981942414888 0.0180524335292759 0.0557615617672825 0.0233152819108552 0.032773489837101 0.22767161005738 0.0349896532491977 0.21745402723402 0 0 0 0 0 0 0 0.000651041666666667 0.000651041666666667 0.00068870523415978 0.00235537190082645 0.00265946175037084 0.00294871794871795 0.00467308023415978 0.00666793699186992 0.00833333333333333 0.00413223140495868 0 0.00068870523415978 0.000793650793650794 0 0.000651041666666667 0.00166666666666667 0 0 0.00130208333333333 0 0.00260416666666667 0 0 0.0173223338891645 0.00782337325384027 0.00231770833333333 0.0040650406504065 0.00707697240090533 0 0 0 0.00531833486378941 0.00197075651621106 0.00158730158730159 0.00434733514001807 0.00258413461538462 0.000793650793650794 0.017473474149957 0.0048978050043391 0.0223783132633257 0.0200920654984541 0.0138241969251185 0.0151197319095046 0.0219110072889868 0.0126399381868132 0.0182754474586861 0.144333671558588 0.120951484460354 0.491428685758993 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00136612021857923 0.00136612021857923 0.00136612021857923 0.00136612021857923 0.00136612021857923 0.00136612021857923 0.00136612021857923 0.00136612021857923 0.00166666666666667 0.00166666666666667 0.00166666666666667 0.00166666666666667 0.00166666666666667 0.00166666666666667 0.00166666666666667 0.00166666666666667 0.00166666666666667 0.00203252032520325 0.00203252032520325 0.00333333333333333 0.00396825396825397 0.00396825396825397 0.00439890710382514 0.00462962962962963 0.00462962962962963 0.005 0.00520833333333333 0.00520833333333333 0.00520833333333333 0.00599574984820886 0.00657445355191257 0.0138888888888889 0.00136612021857923 0.00369918699186992 0.00536585365853659 0 0.00166666666666667 0.00563492063492064 0.00273224043715847 0 0 0.0232051240350421 0 0.00136612021857923 0.0079405737704918 0 0 0 0 0 0.0030327868852459 0.0062962962962963 0 0.00657445355191257 0.00983796296296296 0 0.0284696742995923 0.00599574984820886 0.0390588632271959 0.0318811628787638 0.14298787098917 0.174791694433338 0.312757242341159
4 179.166666666667 143.083333333333 18.5833333333333 12.5 2.91666666666667 1.25 0.75 0.296257041463181 0.0312390317062635 0.0550835998838735 0.0247615894136128 0.0368313714764935 0.222914550210986 0.0361711036314041 0.213408378880853 0 0 0 0.000595238095238095 0.000825082508250825 0.00308641975308642 0.00331587069525666 0.000595238095238095 0.000595238095238095 0 0.000595238095238095 0.00292397660818713 0.00132623224728488 0.0056297738393603 0.0053936925647452 0 0.0051374716553288 0 0.00146198830409357 0.00365246346063178 0.00170068027210884 0 0 0 0.00119047619047619 0 0 0.00289115646258503 0.00154320987654321 0 0.0105840612256714 0.0154448316072209 0.00371623897083586 0.000730994152046784 0.00693139097744361 0.00154320987654321 0 0 0.00119047619047619 0.000730994152046784 0 0.00154320987654321 0.00515873015873016 0 0.0147893700934719 0.00316266857620241 0.0243288856275531 0.0147688365775353 0.0203625169549417 0.03690932070591 0.0118553655177548 0.00371623897083586 0.0438726536157614 0.138811842307276 0.122041991091936 0.392013392621038 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00128205128205128 0.00128205128205128 0.00128205128205128 0.00128205128205128 0.0016025641025641 0.0016025641025641 0.0016025641025641 0.0016025641025641 0.0016025641025641 0.0016025641025641 0.00163398692810458 0.00163398692810458 0.00163398692810458 0.00333333333333333 0.00333333333333333 0.00378787878787879 0.00378787878787879 0.00378787878787879 0.00378787878787879 0.0058974358974359 0 0 0 0 0 0 0.00308641975308642 0.00320512820512821 0 0 0 0 0 0 0 0.0016025641025641 0.0016025641025641 0.00520833333333333 0.0127039627039627 0.00163398692810458 0 0 0.00520833333333333 0 0.00128205128205128 0 0 0 0.00326797385620915 0.00923076923076923 0.00847630718954248 0 0 0.00163398692810458 0.004720406681191 0.00163398692810458 0 0.00128205128205128 0.004720406681191 0 0 0.0175896248812915 0.00702442981854747 0 0.00326797385620915 0 0 0 0 0 0.00288461538461538 0.00823529411764706 0.00520833333333333 0 0 0.0106301990493167 0.0157796288678642 0.0297052824626354 0.0783152033152033 0.0120506535947712 0.138499423597463 0.145683836860307 0.323931766762649
5 233.333333333333 190 22.5 13.5 3.83333333333333 1.83333333333333 1.58333333333333 0.319370118799632 0.0388034581551451 0.0449057184265284 0.0172694204416245 0.0260371084024676 0.234209334119015 0.034743252721234 0.20132825560102 0 0.000398724082934609 0.000398724082934609 0.000737463126843658 0 0 0.000771604938271605 0.000737463126843658 0.00113618720977827 0 0 0.00372789374885323 0 0.00230651623098448 0.000737463126843658 0 0.0019355523183539 0 0.00117224596391263 0.000771604938271605 0 0 0 0 0.00147492625368732 0 0 0.00440796467289345 0 0 0.00828094117179663 0.00751763481735536 0.000398724082934609 0.000398724082934609 0.00794406440851092 0 0 0 0 0 0.000771604938271605 0.00259170653907496 0.00555883210762597 0 0.0105112685117731 0.00450141562983125 0.0140282889813485 0.010730037477631 0.0218929631856827 0.0159692754647197 0.00890061854974136 0.00261111346346558 0.0308894257741244 0.132649489127884 0.142945772084299 0.466860432446255 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000992063492063492 0.000992063492063492 0.000992063492063492 0.000992063492063492 0.00126262626262626 0.00126262626262626 0.00198412698412698 0.00203252032520325 0.00213675213675214 0.00213675213675214 0 0 0 0.00126262626262626 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000992063492063492 0.000992063492063492 0.00490196078431373 0.000992063492063492 0 0 0 0 0.000992063492063492 0.00126262626262626 0.00746302308802309 0 0.00523088023088023 0.00203252032520325 0.000992063492063492 0 0 0 0.00844277673545966 0.00126262626262626 0 0.000621890547263682 0 0.00322790807865435 0.00198412698412698 0.00126262626262626 0.00511294261294261 0 0 0.00536414249100816 0.00563522298596926 0.000992063492063492 0.00620039682539683 0 0.00203252032520325 0 0.000992063492063492 0.00860771173271173 0.0040650406504065 0.00203252032520325 0.00938592916204856 0 0 0 0 0 0.0052792735719565 0.00620179278715864 0.000992063492063492 0 0 0.00314714307251621 0.0148166112342942 0.0129882703813623 0.0533721817796423 0.00652819402819403 0.137017453793509 0.134896474349675 0.43230708672019
6 253.583333333333 209.666666666667 22.5 15.8333333333333 2.5 1.75 1.25 0.273574002736261 0.0257184828820318 0.0475443848386513 0.0185398227054706 0.0300861459543836 0.282139052870882 0.0320718757572256 0.206992898921761 0.00114155251141553 0 0.000809061488673139 0 0 0 0.000348675034867503 0.00114155251141553 0 0 0.00115773652354064 0.00139470013947001 0 0.00309572101966467 0.000809061488673139 0 0.00720865362784211 0 0.000348675034867503 0.00402422345474793 0 0 0.000694444444444444 0 0.00309572101966467 0.00193798449612403 0 0.00381045972037492 0 0 0.00754001034800437 0.00204935530697635 0.00195061400008866 0 0.00797158328572025 0 0.000697350069735007 0 0.000694444444444444 0 0.00193798449612403 0.000348675034867503 0.00898684636064116 0 0.00554511801884075 0.00104602510460251 0.0243149876409138 0.014024682637088 0.0230293930754874 0.0261822048645271 0.00900201444829282 0.00769285050142791 0.0303919036907398 0.162499834916385 0.118254587958336 0.431487977947638 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000712250712250712 0.000712250712250712 0.000712250712250712 0.00142450142450142 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000712250712250712 0 0 0 0 0.000712250712250712 0.00142450142450142 0 0 0 0 0.00712250712250712 0 0 0 0 0 0 0 0 0 0 0 0.000712250712250712 0 0 0 0.000712250712250712 0.000712250712250712 0 0 0.00142450142450142 0 0.000718390804597701 0 0.000712250712250712 0 0 0 0.00217423901634428 0.000712250712250712 0 0.00142450142450142 0 0.00146198830409357 0.0043171312454434 0.00231481481481481 0.00378787878787879 0 0 0.00521358472810378 0.00292397660818713 0 0.000712250712250712 0 0.0116249491249491 0 0 0.0256857052002243 0.00374545633166323 0.00555555555555556 0.00897011672873742 0 0 0 0.000712250712250712 0.000712250712250712 0.00449519392350608 0.000712250712250712 0 0.00712250712250712 0 0.00214903232144611 0.0173738298738299 0.0238087994213221 0.0532750933613003 0.0035987404408457 0.123657134523741 0.200399963013393 0.296167229288826
7 219.083333333333 177.416666666667 20.8333333333333 15.1666666666667 2.33333333333333 1.66666666666667 1.5 0.223724217324262 0.0307965302886821 0.0404323406888834 0.0211684226598271 0.0287098476478025 0.253824615758731 0.036648431338868 0.198028927626277 0 0 0 0 0 0.0016025641025641 0.000586854460093897 0 0.000363901018922853 0.00221783424908425 0.0016025641025641 0.00423815359477124 0.000586854460093897 0 0 0 0 0 0 0.000363901018922853 0 0 0.0016025641025641 0 0 0.00157232704402516 0 0.00323655103066868 0 0.00251831501831502 0.00659907392444157 0.00408502295826239 0.00467119510394581 0 0.00763635079137263 0.00166666666666667 0 0 0.0010919049651444 0 0.00117370892018779 0 0.002189418562658 0 0.0131384098206817 0.00671035153571918 0.0160625537538043 0.0097488184536896 0.0113794987173534 0.0236227056083475 0.0154375387664691 0.00794471297186883 0.0129097669332789 0.160966880644867 0.119756442293027 0.386049927738957 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00124378109452736 0.00124378109452736 0.00225225225225225 0.00349603334677962 0.0043859649122807 0.0043859649122807 0.0043859649122807 0.0043859649122807 0.0043859649122807 0.00545738045738046 0.00555555555555556 0 0 0 0 0 0 0 0 0 0 0 0.00124378109452736 0 0 0 0 0 0 0 0 0 0 0.00420914426938523 0.00320512820512821 0 0 0.00320512820512821 0 0 0 0 0 0 0 0 0 0 0 0 0.00225225225225225 0.00124378109452736 0 0 0 0 0 0 0 0.00320512820512821 0.00308641975308642 0.00225225225225225 0 0 0 0 0 0.0043859649122807 0 0 0 0 0.00191044776119403 0.000666666666666667 0 0.000666666666666667 0.00224779715878439 0 0.00391044776119403 0.00448756218905473 0 0 0 0 0 0 0.0162513259528185 0 0 0.00266666666666667 0 0 0 0 0.00864197530864197 0.0045045045045045 0.00320512820512821 0.00248756218905473 0.00325626831650928 0 0.00191044776119403 0.0182379349046016 0.0150480173874048 0.0271325378052585 0.0167600262232523 0.131898880506956 0.130410316686589 0.36756456410507
8 202.916666666667 160.583333333333 17.9166666666667 17.5 3 2.58333333333333 1.25 0.278115488787383 0.0335725916678461 0.0435615715281827 0.0199721388034119 0.0247604349179586 0.26750468011422 0.0370174910517249 0.21216226979594 0 0 0 0 0 0 0 0.0043859649122807 0 0 0 0.0025599464855408 0.000968992248062015 0.00105485232067511 0 0.000527426160337553 0.0025599464855408 0 0 0.000527426160337553 0 0 0 0 0.00166666666666667 0 0 0.000527426160337553 0 0 0.0104621271319425 0.00605645708631799 0.00609756097560976 0.000527426160337553 0.00414222496655346 0 0 0.000527426160337553 0.00312875556167148 0 0.00743829049367605 0.00203252032520325 0.000493096646942801 0 0.011364765216745 0.00513637646581694 0.0141052324772545 0.0139259933669701 0.00931622878649204 0.0183113013723249 0.00782568565400844 0.00982678214523651 0.0286548576348746 0.159421872182968 0.117757111377832 0.465335926877773 0 0 0 0 0 0 0 0 0.00102880658436214 0.00102880658436214 0.00102880658436214 0.00595238095238095 0.0119047619047619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00102880658436214 0.00644357808100498 0 0 0 0 0 0 0 0.00411522633744856 0.0043859649122807 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0.00102880658436214 0 0 0 0 0 0 0 0.0043859649122807 0.0043859649122807 0 0.00102880658436214 0 0.00363297325102881 0 0 0 0.0061522346234865 0 0 0.0043859649122807 0 0.00102880658436214 0.0051440329218107 0 0.00286667465739742 0.000737463126843658 0 0.0085060985685548 0.00715552312258956 0 0.00490196078431373 0 0.00183786807303528 0 0 0.0118593523949194 0 0 0.00708392476076008 0 0 0 0 0 0.00205761316872428 0.00683694530443757 0.0043859649122807 0.00644357808100498 0 0.00512342803912436 0.00743906299461855 0.00824812448329169 0.0441694857517656 0.0258671369782481 0.131003580599499 0.178380679237235 0.380585088063356
9 208.333333333333 161.75 19.8333333333333 16 3.16666666666667 3.58333333333333 3.91666666666667 0.325509088137875 0.0320583042209663 0.0407130308073618 0.00989310734404521 0.0352337075502871 0.244577376602868 0.0328237688226893 0.195858283180574 0 0 0 0.000508130081300813 0 0.00213675213675214 0 0.000508130081300813 0 0 0 0.00671927307508369 0 0.004587732528909 0 0 0.000508130081300813 0 0 0.00715183509301156 0 0 0 0 0.00245098039215686 0 0 0.00104231811548885 0 0 0.00824449132870404 0.00429817265990988 0.00147488013341672 0 0.00640886684377479 0.000508130081300813 0 0 0 0 0 0.00106837606837607 0.00213675213675214 0 0.00814916814247222 0.00651302702818545 0.024526151741462 0.0132865118191081 0.020077661832064 0.0243912850028932 0.0116903923683061 0.00238138030194105 0.021865458190781 0.117392624687629 0.1150678086099 0.501572246104385 0 0 0 0 0 0 0 0.00114155251141553 0 0 0 0 0 0 0.00114155251141553 0 0 0 0 0 0 0.00114155251141553 0 0 0 0 0 0 0 0 0 0.000816993464052288 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00227501256913022 0.00291603821015586 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00114155251141553 0.00326797385620915 0 0 0 0 0 0 0.000816993464052288 0 0.00227501256913022 0.000816993464052288 0.00953430355122539 0 0.00114155251141553 0 0 0 0.00114155251141553 0 0 0 0 0.000712250712250712 0.00646258440750879 0 0.001529244176303 0 0 0.00805733618233618 0.00816207893413776 0 0 0 0.00114155251141553 0 0 0.00933714912612979 0.00228310502283105 0 0.00336248592062546 0 0 0 0 0.00114155251141553 0.00195854597546781 0.00228310502283105 0.00114155251141553 0.00114155251141553 0.00228310502283105 0.0242579908675799 0.0145853718199609 0.006144166442032 0.0614031373877264 0.00307953700753956 0.131083278730967 0.128676038625544 0.466871309019902
10 194.75 155.833333333333 16.0833333333333 15.6666666666667 3.08333333333333 2.25 1.83333333333333 0.404485804550042 0.0274890047877917 0.0460329298709887 0.0174859168135999 0.0355907581474152 0.239191651113597 0.0325012801506113 0.197222654565954 0 0 0 0 0 0 0 0.000936329588014981 0.000608272506082725 0 0.00138888888888889 0.00199716139497161 0 0.00308956916099773 0 0 0 0 0 0.00563995929164468 0 0 0 0 0.00237773921984448 0.000608272506082725 0 0.00280131826741996 0 0 0.00992772108843537 0.00138888888888889 0.000608272506082725 0 0.00146198830409357 0 0 0 0.00277777777777778 0 0.00712121212121212 0 0.0020207018846138 0 0.00641734795495771 0.00248692747684296 0.0294209788477322 0.00681850445209465 0.0204063234876582 0.0036346516007533 0.0045515574650913 0 0.0147259590220941 0.163019478082072 0.108868105429347 0.594896092786304 0 0 0 0 0.00115740740740741 0.00308641975308642 0.00308641975308642 0 0 0 0.00308641975308642 0.0036231884057971 0 0 0 0 0 0 0 0 0.00308641975308642 0 0 0 0 0 0.00146198830409357 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00115740740740741 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0036231884057971 0.00333333333333333 0.0036231884057971 0 0 0 0 0 0 0.00115740740740741 0 0.0127897491312823 0 0 0 0 0 0 0.00308641975308642 0 0 0 0 0 0 0.00146198830409357 0.00308641975308642 0 0.00146198830409357 0.00115740740740741 0 0.0036231884057971 0 0 0 0 0.0206032356499388 0.0036231884057971 0 0.00508517670989067 0 0 0 0 0 0.0116323417238749 0 0 0 0 0.00551805894004817 0.00670960815888352 0.000737463126843658 0.0447513707591723 0 0.0854838682326903 0.215853940660015 0.541851798484613
11 155.333333333333 128.166666666667 12.75 10.4166666666667 1.16666666666667 1.33333333333333 1.41666666666667 0.303223928344984 0.022999432027138 0.0404778903305619 0.01700489100361 0.03978471948064 0.297181078093719 0.0308532991870614 0.165141428198953 0 0 0 0 0 0 0 0 0.00238095238095238 0 0 0.00297619047619048 0 0 0 0 0.00297619047619048 0 0 0.0080503144654088 0 0 0 0 0 0 0 0.00252525252525253 0 0 0 0 0.00535714285714286 0 0.00647853195023006 0 0 0 0.00157232704402516 0 0.00246838439169541 0 0.00520833333333333 0 0.0160611342062955 0.00535714285714286 0.017161303451626 0.0281648817977181 0.0170639531564668 0.0123143396610378 0.00588037634408602 0.00471275444647325 0.00945417789757412 0.160151644907807 0.0824963456129768 0.51785499242704 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00757575757575758 0.00757575757575758 0 0 0 0 0 0 0 0 0 0.00757575757575758 0 0 0 0 0.00462962962962963 0.0103785103785104 0 0.00641025641025641 0 0 0.00154320987654321 0.00795346628679962 0 0 0 0 0 0 0.00509438009438009 0.00694444444444444 0 0.00225225225225225 0 0 0 0 0 0 0 0 0.00641025641025641 0 0 0.0138888888888889 0.0243919292426755 0.0251322751322751 0.01080425663759 0.0776686491860621 0.177934609651028 0.512502379417802
