"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_eo_Proportion" "Transition_ec_Proportion" "Transition_io_Proportion" "Transition_ij_Proportion" "Transition_cj_Proportion" "Transition_jc_Proportion" "Transition_gh_Proportion" "Transition_oe_Proportion" "Transition_sj_Proportion" "Transition_ic_Proportion" "Transition_eh_Proportion" "Transition_gj_Proportion" "Transition_je_Proportion" "Transition_og_Proportion" "Transition_eg_Proportion" "Transition_hh_Proportion" "Transition_ci_Proportion" "Transition_ho_Proportion" "Transition_oo_Proportion" "Transition_hj_Proportion" "Transition_hg_Proportion" "Transition_ei_Proportion" "Transition_ie_Proportion" "Transition_ji_Proportion" "Transition_ih_Proportion" "Transition_sh_Proportion" "Transition_gi_Proportion" "Transition_ge_Proportion" "Transition_oj_Proportion" "Transition_go_Proportion" "Transition_ej_Proportion" "Transition_ce_Proportion" "Transition_jj_Proportion" "Transition_ee_Proportion" "Transition_ig_Proportion" "Transition_ch_Proportion" "Transition_oh_Proportion" "Transition_gc_Proportion" "Transition_hi_Proportion" "Transition_cc_Proportion" "Transition_ii_Proportion" "Transition_oi_Proportion" "Transition_sc_Proportion" "Transition_he_Proportion" "Transition_jh_Proportion" "Transition_oc_Proportion" "Transition_si_Proportion" "Transition_hc_Proportion" "Transition_gg_Proportion" "Transition_jg_Proportion" "Transition_so_Proportion" "Transition_cg_Proportion" "Transition_se_Proportion" "Transition_sg_Proportion" "Transition_es_Proportion" "Transition_hs_Proportion" "Transition_js_Proportion" "Transition_gs_Proportion" "Transition_os_Proportion" "Transition_cs_Proportion" "Transition_is_Proportion" "Transition_ss_Proportion" "Transition_she_Proportion" "Transition_esc_Proportion" "Transition_hes_Proportion" "Transition_eei_Proportion" "Transition_egg_Proportion" "Transition_ccs_Proportion" "Transition_esh_Proportion" "Transition_gjs_Proportion" "Transition_jsh_Proportion" "Transition_sgo_Proportion" "Transition_ihh_Proportion" "Transition_csi_Proportion" "Transition_ghs_Proportion" "Transition_csc_Proportion" "Transition_hhh_Proportion" "Transition_sih_Proportion" "Transition_his_Proportion" "Transition_eig_Proportion" "Transition_cig_Proportion" "Transition_eci_Proportion" "Transition_oii_Proportion" "Transition_goi_Proportion" "Transition_scc_Proportion" "Transition_ssc_Proportion" "Transition_gos_Proportion" "Transition_ees_Proportion" "Transition_iog_Proportion" "Transition_gge_Proportion" "Transition_gig_Proportion" "Transition_gio_Proportion" "Transition_isc_Proportion" "Transition_eeh_Proportion" "Transition_ihg_Proportion" "Transition_gsc_Proportion" "Transition_gii_Proportion" "Transition_ces_Proportion" "Transition_hsg_Proportion" "Transition_hig_Proportion" "Transition_sjs_Proportion" "Transition_hgg_Proportion" "Transition_ege_Proportion" "Transition_ohs_Proportion" "Transition_ehs_Proportion" "Transition_ggi_Proportion" "Transition_jgi_Proportion" "Transition_ieg_Proportion" "Transition_iie_Proportion" "Transition_jcs_Proportion" "Transition_gee_Proportion" "Transition_jis_Proportion" "Transition_gcg_Proportion" "Transition_esg_Proportion" "Transition_ggj_Proportion" "Transition_sos_Proportion" "Transition_hgi_Proportion" "Transition_ogs_Proportion" "Transition_ihs_Proportion" "Transition_jsg_Proportion" "Transition_ghg_Proportion" "Transition_icc_Proportion" "Transition_cce_Proportion" "Transition_ehi_Proportion" "Transition_sei_Proportion" "Transition_ish_Proportion" "Transition_iei_Proportion" "Transition_eii_Proportion" "Transition_iee_Proportion" "Transition_seg_Proportion" "Transition_jgs_Proportion" "Transition_eeg_Proportion" "Transition_ige_Proportion" "Transition_cis_Proportion" "Transition_gse_Proportion" "Transition_sie_Proportion" "Transition_eie_Proportion" "Transition_egs_Proportion" "Transition_iig_Proportion" "Transition_ise_Proportion" "Transition_shs_Proportion" "Transition_ese_Proportion" "Transition_ies_Proportion" "Transition_iis_Proportion" "Transition_shh_Proportion" "Transition_osi_Proportion" "Transition_esi_Proportion" "Transition_hse_Proportion" "Transition_ges_Proportion" "Transition_sse_Proportion" "Transition_sso_Proportion" "Transition_soo_Proportion" "Transition_gih_Proportion" "Transition_hgs_Proportion" "Transition_see_Proportion" "Transition_hji_Proportion" "Transition_jii_Proportion" "Transition_shj_Proportion" "Transition_hsi_Proportion" "Transition_gsi_Proportion" "Transition_igi_Proportion" "Transition_csh_Proportion" "Transition_eis_Proportion" "Transition_hii_Proportion" "Transition_shi_Proportion" "Transition_sig_Proportion" "Transition_sgi_Proportion" "Transition_ssh_Proportion" "Transition_sge_Proportion" "Transition_gis_Proportion" "Transition_ses_Proportion" "Transition_igg_Proportion" "Transition_sis_Proportion" "Transition_isi_Proportion" "Transition_scg_Proportion" "Transition_igs_Proportion" "Transition_eee_Proportion" "Transition_iii_Proportion" "Transition_ccg_Proportion" "Transition_chs_Proportion" "Transition_cgs_Proportion" "Transition_ssi_Proportion" "Transition_sii_Proportion" "Transition_isg_Proportion" "Transition_ggs_Proportion" "Transition_ssg_Proportion" "Transition_gsg_Proportion" "Transition_sgs_Proportion" "Transition_ggg_Proportion" "Transition_csg_Proportion" "Transition_sgg_Proportion" "Transition_ois_Proportion" "Transition_scs_Proportion" "Transition_hss_Proportion" "Transition_ess_Proportion" "Transition_jss_Proportion" "Transition_oss_Proportion" "Transition_gss_Proportion" "Transition_css_Proportion" "Transition_iss_Proportion" "Transition_sss_Proportion"
1 64.0833333333333 50.25 5.16666666666667 6.58333333333333 1 0.75 0.333333333333333 0.373063441190085 0.0708268384133015 0.150495483829393 0.136328015723888 0.0229989471247132 0.0833639582385388 0.0461210154299711 0.11680230005011 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000833333333333333 0.000833333333333333 0.000833333333333333 0.000833333333333333 0.000833333333333333 0.000833333333333333 0.0036231884057971 0.00430555555555556 0.00445652173913043 0.00462962962962963 0.005 0.005 0.00595238095238095 0.0061231884057971 0.00622735507246377 0.00641025641025641 0.0070606884057971 0.00724358974358974 0.0105736714975845 0.0133199786324786 0.0295606884057971 0.0344573328876819 0.0480141136355381 0.0652360899228748 0.0653695455426005 0.0927493983472244 0.569686826807822 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00154320987654321 0.00154320987654321 0.00154320987654321 0.00154320987654321 0.00154320987654321 0.00154320987654321 0.00154320987654321 0.00396825396825397 0.00396825396825397 0.00396825396825397 0.00551146384479718 0.00694444444444444 0.00705467372134039 0.00833333333333333 0.00848765432098765 0.00903880070546737 0.0144400352733686 0.0437169312169312 0.0596119929453263 0.0600749559082892 0.0761824595157928 0.145634920634921 0.532261103094436
2 143.833333333333 125.083333333333 8.83333333333333 5.83333333333333 1.58333333333333 1.16666666666667 1.33333333333333 0.329303539591266 0.0651665141109181 0.107112955880609 0.0460415345569092 0.0790741519615132 0.151643591120161 0.0560629904128938 0.16559472236573 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000764525993883792 0.000764525993883792 0.00130208333333333 0.00130208333333333 0.00152905198776758 0.00213675213675214 0.00220130760307919 0.00305810397553517 0.00494017254560793 0.00757575757575758 0.00757575757575758 0.00757575757575758 0.00757575757575758 0.00757575757575758 0.00925925925925926 0.0127391953245619 0 0 0.00130208333333333 0.0014367816091954 0.00213675213675214 0.0158348662909456 0 0.0182379349046016 0 0.00132275132275132 0 0.03456259452277 0 0.0200572923191688 0.00220130760307919 0 0.022654364550389 0.0014367816091954 0.0606802134965197 0.022690887135403 0.0126799782379998 0.0199791523344197 0.0825053835556182 0.0166350366560611 0.0573972089929922 0.0939726905221079 0.434400089500911 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0014367816091954 0.0014367816091954 0.0014367816091954 0.0014367816091954 0.0014367816091954 0.0014367816091954 0.0014367816091954 0.00213675213675214 0.0028735632183908 0.0028735632183908 0.0028735632183908 0.0028735632183908 0.0028735632183908 0.0028735632183908 0.0028735632183908 0.0028735632183908 0.00357353374594754 0.00431034482758621 0.00431034482758621 0.0043859649122807 0.0063034188034188 0.0087719298245614 0.0158802177858439 0 0 0.0014367816091954 0.0043859649122807 0.00725952813067151 0.0124750980014138 0.014043619216033 0.00952591469832849 0.00991379310344828 0.0300103153551429 0.00213675213675214 0.0014367816091954 0.016785442829 0 0 0.00863350376094004 0.0235502549477141 0.0284265761855914 0.0118534482758621 0.0546305541561203 0.12587006031879 0.0996244491500153 0.371949344394701
3 75.3333333333333 50.3333333333333 11.5833333333333 8.58333333333333 2 1.33333333333333 1.33333333333333 0.273659902144496 0.025990209044313 0.0783056521782097 0.0151139732528472 0.0574649638506981 0.183270394979565 0.049166792110885 0.150361445772319 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000385802469135802 0.000771604938271605 0.00119047619047619 0.00181159420289855 0.00260416666666667 0.00260416666666667 0 0.00578300942884276 0.000385802469135802 0.000771604938271605 0.000385802469135802 0.00260416666666667 0.00157627865961199 0.00966267444981213 0.0068476498437929 0 0 0 0 0 0.00823501176762046 0.0132960625422056 0 0 0 0.00459253323836657 0 0.0043362501695835 0 0 0 0 0 0.020467032967033 0 0.0146168813741278 0 0.00260416666666667 0 0.0112442710268797 0.017297864551254 0.0355301924756109 0.0148824977790032 0.0106301914433635 0.0911759561084596 0.0134617230887392 0.0710774446829554 0.0958759845951583 0.366624468796921 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000744047619047619 0.000744047619047619 0.000744047619047619 0.000744047619047619 0.000744047619047619 0.000744047619047619 0.000744047619047619 0.000744047619047619 0.00245098039215686 0.0028735632183908 0.00319502801120448 0.00361761083743842 0.00462962962962963 0.00462962962962963 0.00520833333333333 0.00520833333333333 0.00520833333333333 0.00808189655172414 0.00824724046706805 0 0 0 0 0 0.00148809523809524 0.00245098039215686 0 0 0 0 0 0.000744047619047619 0.000744047619047619 0.00686177248677249 0.00789892977392977 0.00148809523809524 0 0.000744047619047619 0 0.00326930014430014 0.00611772486772487 0 0 0 0 0 0.0028735632183908 0.00708061002178649 0.00686177248677249 0.00864297739297739 0.00326930014430014 0.00537367724867725 0.00789892977392977 0 0.0104241822991823 0 0 0.0140342775041051 0.0553410780020821 0.0227882819794585 0.0121527777777778 0.0825268891952462 0.140464336204701 0.0581839536580916 0.304306725738014
4 157.666666666667 132.833333333333 10.75 7.75 2.16666666666667 2.33333333333333 1.75 0.291346577363962 0.043626111388189 0.097431231832447 0.0541565416632349 0.0926212285253367 0.14121842720392 0.0239760845424815 0.172290464147095 0 0 0 0 0 0 0 0 0 0 0.000534188034188034 0.00127823565323565 0.00641025641025641 0 0.00194556905083221 0 0.00179889993972272 0 0 0 0.00641025641025641 0.00581309041835358 0.00855693154454764 0 0 0.000534188034188034 0.00427865702474297 0.00158904035486314 0 0 0 0 0.00105485232067511 0.00927467140702435 0.00616779493361772 0 0 0 0.0060771744595274 0 0.0124748617395676 0 0 0 0.00105485232067511 0.00641025641025641 0.0169235468448983 0 0.0289528490977525 0.000744047619047619 0 0 0.00725277063967937 0.0217732465088394 0.0340987952476127 0.0138506093856938 0.00998690128436964 0.0729805867110164 0.0167261904761905 0.0537381819432021 0.0779501104580953 0.396691720650405 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00138888888888889 0.00166666666666667 0.00216450216450216 0.00225225225225225 0.00225225225225225 0.00225225225225225 0.0104166666666667 0 0 0 0.00108225108225108 0.00108225108225108 0.00108225108225108 0.00216450216450216 0.0219155844155844 0 0 0.00108225108225108 0.00108225108225108 0.00225225225225225 0.00539597657244716 0 0 0 0.0138888888888889 0.00372930990578049 0 0 0 0 0.00216450216450216 0 0 0 0 0 0 0.00274891774891775 0 0 0.00383116883116883 0 0 0.00372930990578049 0.0104166666666667 0 0.00383116883116883 0.000980392156862745 0 0 0 0 0.0130637254901961 0.00216450216450216 0.00333333333333333 0.003232644409115 0.0173666313372196 0.00345153212800272 0.011409048467872 0.0248123123123123 0 0.0137365306482954 0 0 0.0177871177135883 0.0185557310557311 0.0149016510781217 0.00974358974358974 0.0789543573367103 0.094639228021581 0.0616908638967462 0.333143650643651
5 160.083333333333 134.333333333333 11.3333333333333 9.33333333333333 2.16666666666667 1.5 1.33333333333333 0.261812806734908 0.0392347062795342 0.110765521474364 0.0918044668635248 0.0652823596648163 0.12450856893341 0.050323975995967 0.172934260720142 0 0 0 0 0 0 0.000968992248062015 0.00101626016260163 0.00193798449612403 0.00225225225225225 0.00101626016260163 0.000968992248062015 0 0.00101626016260163 0 0 0.0277777777777778 0 0 0 0.00500548798903876 0.00101626016260163 0.00198525241066364 0.00284037558685446 0.00101626016260163 0.00257210687075754 0.00640921113327303 0.00277064612751391 0 0 0.000968992248062015 0.00225225225225225 0 0.00670069956513519 0.0108717220357279 0 0 0 0.00225225225225225 0.00225225225225225 0.00877398896301787 0 0.00087719298245614 0 0.000968992248062015 0 0.00989625468450144 0 0.0162349977993233 0.00155584670815591 0.00166910554234498 0.000586854460093897 0.0107991370479056 0.0182387601088561 0.0243356851088529 0.0221374816898717 0.0118123387407267 0.06113914513093 0.0612065131274882 0.035725623653092 0.0700075877127322 0.391499277065853 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00120772946859903 0.00148809523809524 0.00148809523809524 0.00148809523809524 0.0028735632183908 0.0028735632183908 0.00595238095238095 0.00595238095238095 0 0 0 0 0 0.0028735632183908 0 0 0 0 0 0.00625559785042544 0.0028735632183908 0 0 0 0 0.00148809523809524 0.00584975369458128 0.00148809523809524 0 0 0 0 0.00148809523809524 0.00189393939393939 0.00744047619047619 0 0 0.00148809523809524 0.00481154771451484 0.00446428571428571 0 0 0 0.00148809523809524 0.00408129268698984 0 0 0 0 0 0 0 0 0 0.00436165845648604 0.0104166666666667 0 0.00193798449612403 0 0 0.00716011042097999 0.00446428571428571 0.0101981351981352 0 0 0 0.0079726308174584 0.00630679706766663 0 0.00408129268698984 0.0046338092028183 0.00779489230576187 0.0102617792835184 0.00672485726833553 0.00193798449612403 0.0082888266659753 0 0 0.0197968143809903 0.0177561035751127 0.0167585309077063 0.121114334075441 0.0496349308531154 0.0485060452885407 0.0594609597891387 0.332455504319064
6 90.75 65.0833333333333 12.5833333333333 8.5 2.16666666666667 1.25 1.08333333333333 0.25462750486601 0.0456769269686603 0.0905717622145102 0.0337157911419094 0.0766343090830849 0.190754975572161 0.0475021995097043 0.177183197310627 0 0 0 0 0 0.000771604938271605 0 0 0.000718390804597701 0.00757575757575758 0.000905797101449275 0.00277777777777778 0 0 0.0277777777777778 0 0 0 0 0 0.00934648416532474 0.00414604689525156 0.00293831742665253 0.00226160068114091 0 0 0.00630121930904467 0.00148999574286931 0 0 0 0 0.000905797101449275 0.00385802469135802 0.0351822814234901 0 0 0.000905797101449275 0.000718390804597701 0 0.012135241301908 0 0 0 0 0 0.0225815820430099 0 0.0594389042852311 0 0 0.0144995822487869 0.0100102444261158 0.0196296981672587 0.039438346603514 0.031783448220047 0.0131751254002628 0.10315785850549 0.00898558657179347 0.0351534929076951 0.105921503768464 0.33217499089883 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00124378109452736 0.00124378109452736 0.00124378109452736 0.00213675213675214 0.00248756218905473 0.00694444444444444 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00694444444444444 0 0 0 0.00124378109452736 0.00462431432580686 0 0 0 0 0 0 0 0 0 0.00248756218905473 0 0 0 0.00908119658119658 0.00124378109452736 0 0 0 0 0.0136064184571647 0 0 0.0103413853413853 0 0 0 0.00163398692810458 0 0.00124378109452736 0.00540472599296129 0.00248756218905473 0 0.0136064184571647 0.0028735632183908 0 0.00287776802263194 0.00373134328358209 0.0128205128205128 0 0 0.0277777777777778 0.00641025641025641 0.00641025641025641 0.00694444444444444 0.00818822553897181 0.016785901977086 0 0.0106921953936879 0.0103249776757239 0 0.022482360522762 0 0 0.0104119957061134 0.0177942682332498 0.0184240937094317 0.0139254706857868 0.0981684394860654 0.0533903682896296 0.140944753492436 0.252704899990783
7 120.666666666667 85.0833333333333 17.25 11.5833333333333 2.91666666666667 2.83333333333333 0.916666666666667 0.312741130258619 0.0589107410544359 0.0834709265061495 0.0305072388382552 0.0676040318611145 0.160246998145292 0.0421597633552724 0.161025836647529 0 0 0 0.000896057347670251 0.00694444444444444 0 0 0 0.00288079975579976 0 0.00136712646756841 0 0.0006265664160401 0.000896057347670251 0.00604329454476624 0 0.0035731623907096 0 0 0 0.00411418503523767 0.00127226463104326 0.0102536082458805 0.000896057347670251 0.000730994152046784 0.00398317005534874 0.00998879646325467 0.00179353972292904 0 0 0 0.000730994152046784 0.00296983109483109 0.0113857706773891 0.0195621434532201 0 0.00115740740740741 0.000730994152046784 0.00801282051282051 0.00704638872577804 0.0163676901393507 0.000636132315521628 0.00243550253594448 0 0.000636132315521628 0 0.0132211209609018 0 0.0352382574712296 0.00565368420807352 0.000730994152046784 0.00389749084003805 0.00985097191686235 0.0203922959777848 0.025004756861689 0.0164500342693667 0.0208889156731437 0.106446725676867 0.0227931099941508 0.0386351936848903 0.0857937549112647 0.383737428218399 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00122549019607843 0.00122549019607843 0.00148809523809524 0.00148809523809524 0.00148809523809524 0.00148809523809524 0.00203252032520325 0.00260416666666667 0.00260416666666667 0.00268817204301075 0.00268817204301075 0.00268817204301075 0.00271358543417367 0.00462962962962963 0.00520833333333333 0.00833333333333333 0.00833333333333333 0 0 0.00203252032520325 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00260416666666667 0 0 0.00122549019607843 0.00611772486772487 0 0 0 0.00148809523809524 0 0.00203252032520325 0.00833333333333333 0 0 0 0 0 0.00148809523809524 0 0.00268817204301075 0 0 0 0 0.00611772486772487 0 0 0 0 0.0166666666666667 0.00297619047619048 0 0.00122549019607843 0 0 0 0 0 0 0.0072337962962963 0.00417626728110599 0.00462962962962963 0.00391366223908918 0 0 0.00391366223908918 0 0.00245098039215686 0 0 0 0.00636464263124605 0.0218058191018343 0.00417626728110599 0.00369218810726778 0.0254410805615625 0.00314076820100916 0.00922083579908033 0.0219210174029451 0.00148809523809524 0.0244370644973055 0 0.00122549019607843 0.0124404703982503 0.0244946819581372 0.0367873984283742 0.0248703917050691 0.0901358880749563 0.0713915473322147 0.0894051108928265 0.30998677414596
8 128.083333333333 91.0833333333333 17.5833333333333 11.5 4 1.58333333333333 2.33333333333333 0.345209803211126 0.0370826051608551 0.0829419593994199 0.0349865939915423 0.0632459928000046 0.18308919682279 0.0512236259443116 0.20222022266995 0 0 0.00101626016260163 0 0 0.00272461456671983 0.00291019955654102 0 0.00273165319267193 0.00133547008547009 0.000534188034188034 0 0 0.00174725431464841 0.00235173024807171 0 0.000534188034188034 0 0 0 0.00238791423001949 0.00505922012661422 0.0028687604886235 0.00333010469996771 0.00146011396011396 0 0.00363508442776735 0.00476205140839287 0 0.00133547008547009 0 0.00178503245513555 0 0.0125608916704807 0.00591754097642838 0.000534188034188034 0.00114155251141553 0.00206747843734145 0.00354539866526168 0.000534188034188034 0.0075160128162882 0.000534188034188034 0.00106837606837607 0 0 0.000534188034188034 0.0172267230765614 0 0.0267130868076233 0 0 0.00126262626262626 0.0087024087024087 0.0247306149337821 0.0261225652402347 0.0241172364203604 0.014809426030754 0.11658718817983 0.014151803652494 0.0432026342021771 0.114695902179135 0.489214470952463 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00114155251141553 0.00114155251141553 0.00114155251141553 0.00114155251141553 0.00157232704402516 0.00157232704402516 0.00163398692810458 0.00163398692810458 0.00163398692810458 0.00163398692810458 0 0 0 0 0 0.00252525252525253 0.00157232704402516 0 0.00148809523809524 0 0 0.00181159420289855 0.00114155251141553 0.00320631397212973 0 0 0 0.00314465408805031 0.00416666666666667 0 0 0.00157232704402516 0 0 0 0.00163398692810458 0.00252525252525253 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00252525252525253 0 0 0.00114155251141553 0 0.00114155251141553 0 0.00157232704402516 0.00252525252525253 0.00295314671431408 0 0 0 0 0 0.00833333333333333 0 0 0 0.00314465408805031 0.00669191919191919 0 0 0 0 0.00181159420289855 0 0 0.00523913208069321 0 0 0.00326797385620915 0 0 0.00416666666666667 0 0.00409757956927768 0.00326797385620915 0.0146205784584722 0.00148809523809524 0 0 0.00181159420289855 0.00297619047619048 0 0 0.00333333333333333 0.0064217716071936 0.00297619047619048 0.00320631397212973 0.00876362735311047 0.0184735732043607 0.00947488584474886 0.0184119133202813 0.00639005602240896 0 0.00904227569377023 0 0.00114155251141553 0.0145676457226002 0.0268887458568255 0.0326258009605015 0.01064631832258 0.144592328693854 0.0780000824901204 0.0976688529956875 0.395563527974252
9 70.25 48.75 9.5 6.83333333333333 1.58333333333333 2.16666666666667 1.41666666666667 0.385259430253883 0.0924015696058472 0.112868376706039 0.0449655642666337 0.0478946744455499 0.1187880314395 0.0436411006782994 0.154181252604248 0 0.0104166666666667 0 0.00108225108225108 0 0 0 0 0.00367644009885389 0 0 0 0 0.00838122605363985 0 0 0.0104166666666667 0 0 0 0.00115740740740741 0.00154320987654321 0 0 0.00126262626262626 0 0.00285928063705842 0.0104166666666667 0 0 0 0 0 0.00745884773662551 0.0280884239217573 0 0 0 0.00154320987654321 0 0.00108225108225108 0 0.00242003367003367 0 0 0 0.00486391003632383 0 0.00656699267810379 0.00251903269144648 0 0.00259418901660281 0.0085410988188766 0.024159043914791 0.0262354893580947 0.0362481547826375 0.0372956208684178 0.160009198443106 0.00900205761316872 0.0398251351316485 0.0704591412206355 0.479875727720555 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00189393939393939 0.00378787878787879 0.00378787878787879 0.0208333333333333 0.0208333333333333 0 0 0 0 0 0.0166666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0.00540123456790123 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0138888888888889 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0208333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000946969696969697 0 0 0 0 0 0 0 0 0 0.00231481481481481 0 0 0 0 0 0 0 0 0 0 0.00326178451178451 0 0 0 0 0.0246212121212121 0 0 0 0 0 0 0.00231481481481481 0.00231481481481481 0.00231481481481481 0.00378787878787879 0.00568181818181818 0.00515572390572391 0.00420875420875421 0 0.00189393939393939 0 0.00219298245614035 0.0406513970110461 0.0332325447457026 0.0723196881091618 0.0148358585858586 0.0843190678716994 0.0764701104613385 0.0782636304566129 0.347637559808612
10 84.3333333333333 62.25 9.5 7.75 1.58333333333333 1.58333333333333 1.58333333333333 0.364217498156093 0.0414143042164178 0.0683325206240931 0.0490932520995513 0.0630702367675032 0.165586586092933 0.0410090865300715 0.123943182180004 0 0 0 0 0 0 0.00122549019607843 0.00362468931234466 0 0 0 0 0 0 0 0.00574712643678161 0 0 0 0 0.000957854406130268 0 0.00208333333333333 0 0.000957854406130268 0.00323846013501186 0.00264550264550265 0.00198666099049241 0 0 0 0 0 0.00691493072324715 0.0111862998151316 0.00208333333333333 0.000957854406130268 0 0.00132275132275132 0.00208333333333333 0.0107783532470543 0 0.00456429698316108 0 0 0 0.0180186056698625 0 0.0176834013454763 0 0 0.00798419332902092 0.0104423589089189 0.029315594955921 0.0687297838987615 0.0194643382838958 0.0133037160684791 0.0823390860858483 0.0180929880991304 0.0500857130277386 0.0621802885947308 0.456668473372934 0 0 0 0 0 0 0 0 0 0 0.00136612021857923 0.00225225225225225 0.00238095238095238 0.00416666666666667 0.00683060109289617 0.00136612021857923 0 0 0 0 0 0 0 0 0 0.00423968343697004 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00313916986396931 0.00595238095238095 0.00378787878787879 0 0 0 0.00378787878787879 0 0.0037110341415141 0.00772543059777102 0 0 0 0.00136612021857923 0.00177304964539007 0 0 0 0 0.00772543059777102 0.0028735632183908 0 0 0 0.0028735632183908 0.00595238095238095 0 0.00313916986396931 0 0 0.00595238095238095 0.00225225225225225 0.010460566352153 0 0 0.0132352941176471 0 0.00581395348837209 0 0.00378787878787879 0 0.0108030176440962 0.0117659943241339 0.00595238095238095 0.00833333333333333 0.0129679702609218 0.00833333333333333 0.0183720570174675 0.00476190476190476 0.0028735632183908 0.00942118226600985 0 0.00654761904761905 0.0177424926844601 0.102062516632144 0.0135060927033793 0.018915204257025 0.0709992909554039 0.0732300255528343 0.0465225718676134 0.352770779571979
