"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_oe_Proportion" "Transition_gj_Proportion" "Transition_co_Proportion" "Transition_he_Proportion" "Transition_ec_Proportion" "Transition_eh_Proportion" "Transition_go_Proportion" "Transition_je_Proportion" "Transition_ic_Proportion" "Transition_ce_Proportion" "Transition_ch_Proportion" "Transition_og_Proportion" "Transition_ge_Proportion" "Transition_hg_Proportion" "Transition_ee_Proportion" "Transition_ih_Proportion" "Transition_se_Proportion" "Transition_oh_Proportion" "Transition_jh_Proportion" "Transition_gc_Proportion" "Transition_eg_Proportion" "Transition_ei_Proportion" "Transition_ij_Proportion" "Transition_ie_Proportion" "Transition_hi_Proportion" "Transition_cg_Proportion" "Transition_jc_Proportion" "Transition_oi_Proportion" "Transition_hh_Proportion" "Transition_hc_Proportion" "Transition_eo_Proportion" "Transition_so_Proportion" "Transition_gh_Proportion" "Transition_ci_Proportion" "Transition_ig_Proportion" "Transition_si_Proportion" "Transition_jj_Proportion" "Transition_ji_Proportion" "Transition_gi_Proportion" "Transition_sh_Proportion" "Transition_cc_Proportion" "Transition_sc_Proportion" "Transition_jg_Proportion" "Transition_es_Proportion" "Transition_ii_Proportion" "Transition_sj_Proportion" "Transition_hs_Proportion" "Transition_gg_Proportion" "Transition_os_Proportion" "Transition_cs_Proportion" "Transition_js_Proportion" "Transition_sg_Proportion" "Transition_is_Proportion" "Transition_gs_Proportion" "Transition_ss_Proportion" "Transition_ggh_Proportion" "Transition_oes_Proportion" "Transition_hsi_Proportion" "Transition_sig_Proportion" "Transition_ige_Proportion" "Transition_eii_Proportion" "Transition_gig_Proportion" "Transition_ehh_Proportion" "Transition_hhh_Proportion" "Transition_hge_Proportion" "Transition_ghg_Proportion" "Transition_eei_Proportion" "Transition_gsh_Proportion" "Transition_chs_Proportion" "Transition_iei_Proportion" "Transition_hii_Proportion" "Transition_ihe_Proportion" "Transition_heg_Proportion" "Transition_ecs_Proportion" "Transition_eeg_Proportion" "Transition_sih_Proportion" "Transition_shg_Proportion" "Transition_hei_Proportion" "Transition_ice_Proportion" "Transition_hgg_Proportion" "Transition_gee_Proportion" "Transition_ssh_Proportion" "Transition_osc_Proportion" "Transition_hsc_Proportion" "Transition_gic_Proportion" "Transition_eeh_Proportion" "Transition_ehe_Proportion" "Transition_ieg_Proportion" "Transition_ihs_Proportion" "Transition_his_Proportion" "Transition_iih_Proportion" "Transition_ceh_Proportion" "Transition_sge_Proportion" "Transition_egg_Proportion" "Transition_sos_Proportion" "Transition_ois_Proportion" "Transition_sec_Proportion" "Transition_ehs_Proportion" "Transition_sse_Proportion" "Transition_eee_Proportion" "Transition_cgs_Proportion" "Transition_iig_Proportion" "Transition_seh_Proportion" "Transition_eig_Proportion" "Transition_ish_Proportion" "Transition_igg_Proportion" "Transition_gsi_Proportion" "Transition_cgo_Proportion" "Transition_jgg_Proportion" "Transition_geg_Proportion" "Transition_gge_Proportion" "Transition_sgi_Proportion" "Transition_jis_Proportion" "Transition_eis_Proportion" "Transition_cse_Proportion" "Transition_ges_Proportion" "Transition_jes_Proportion" "Transition_csi_Proportion" "Transition_jsg_Proportion" "Transition_sie_Proportion" "Transition_cee_Proportion" "Transition_cis_Proportion" "Transition_iie_Proportion" "Transition_gii_Proportion" "Transition_ees_Proportion" "Transition_sch_Proportion" "Transition_csh_Proportion" "Transition_hse_Proportion" "Transition_egs_Proportion" "Transition_ese_Proportion" "Transition_ses_Proportion" "Transition_esi_Proportion" "Transition_gcs_Proportion" "Transition_egi_Proportion" "Transition_gie_Proportion" "Transition_ise_Proportion" "Transition_ggi_Proportion" "Transition_seg_Proportion" "Transition_iee_Proportion" "Transition_igi_Proportion" "Transition_esg_Proportion" "Transition_see_Proportion" "Transition_ihg_Proportion" "Transition_ohg_Proportion" "Transition_gse_Proportion" "Transition_hgs_Proportion" "Transition_ssi_Proportion" "Transition_ies_Proportion" "Transition_shs_Proportion" "Transition_sii_Proportion" "Transition_ggg_Proportion" "Transition_gis_Proportion" "Transition_ijs_Proportion" "Transition_isi_Proportion" "Transition_esh_Proportion" "Transition_hsg_Proportion" "Transition_igs_Proportion" "Transition_iis_Proportion" "Transition_ess_Proportion" "Transition_esj_Proportion" "Transition_jsc_Proportion" "Transition_scc_Proportion" "Transition_ghc_Proportion" "Transition_jii_Proportion" "Transition_jji_Proportion" "Transition_sgh_Proportion" "Transition_hsh_Proportion" "Transition_shh_Proportion" "Transition_iii_Proportion" "Transition_ssg_Proportion" "Transition_ggs_Proportion" "Transition_hss_Proportion" "Transition_ccs_Proportion" "Transition_ssc_Proportion" "Transition_scs_Proportion" "Transition_isg_Proportion" "Transition_sis_Proportion" "Transition_sjs_Proportion" "Transition_sgs_Proportion" "Transition_jgs_Proportion" "Transition_sgg_Proportion" "Transition_gsg_Proportion" "Transition_oss_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_iss_Proportion" "Transition_gss_Proportion" "Transition_sss_Proportion"
1 73.5 49.8333333333333 7.91666666666667 9.25 2.16666666666667 2.33333333333333 2 0.500130628058436 0.0600268616016534 0.085364743521085 0.0292149969695297 0.028265488315799 0.169170926998773 0.0326198812623784 0.0952064732723454 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0006265664160401 0.0006265664160401 0.0012531328320802 0.00134408602150538 0.00134408602150538 0.00163398692810458 0.00163398692810458 0.00163398692810458 0.00163398692810458 0.00163398692810458 0.00170881749829118 0.00198412698412698 0.00226055334414468 0.00226055334414468 0.00252525252525253 0.00259721885358558 0.00324675324675325 0.00324675324675325 0.00423407002354371 0.00486063643958381 0.00494872538715543 0.00495158962900898 0.0115102170929595 0.0142868311598962 0.0225830541798485 0.0234534996139813 0.0235706898062038 0.0357189235433622 0.0548348049201794 0.0979245903345726 0.663927966478958 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00124378109452736 0.00124378109452736 0.00124378109452736 0.00124378109452736 0.00124378109452736 0.00157232704402516 0.00238095238095238 0.00238095238095238 0.00245098039215686 0.00245098039215686 0.00245098039215686 0.00245098039215686 0.00252525252525253 0.00252525252525253 0.00252525252525253 0.00281610813855252 0.00333333333333333 0.00333333333333333 0.00396825396825397 0.00396825396825397 0.00396825396825397 0.00396825396825397 0.00396825396825397 0.00409757956927768 0.00628184647742033 0.00641025641025641 0.0133191484923391 0.0149489306162026 0.0323094602969569 0.0339442127916791 0.0378340068770471 0.0611771063131906 0.0786708488205767 0.651749742265613
2 64.5833333333333 40.0833333333333 6.66666666666667 11.3333333333333 1.25 2.58333333333333 2.66666666666667 0.496806937527187 0.0187380304915434 0.0673563156486654 0.0132620817144627 0.0447581121654426 0.176616606680429 0.0387756871217059 0.143686228650565 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00122549019607843 0.00198412698412698 0.00198412698412698 0.00198412698412698 0.00268817204301075 0.00297619047619048 0.0045985060690943 0 0.0166666666666667 0 0 0 0 0 0 0 0 0.00383597883597884 0.00854352996348776 0 0.00198412698412698 0.00391366223908918 0.00122549019607843 0 0.00122549019607843 0.00383597883597884 0.014368621011623 0.00654456838508693 0.00416666666666667 0.019417211328976 0.0181696092915235 0.00936806622290493 0.0327769996887644 0.0282446311858077 0.0168592478349165 0.055507026689059 0.0960442396603403 0.639861448380091 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000591016548463357 0.00213675213675214 0.00245098039215686 0.00497698146074406 0.00555555555555556 0.00683694530443757 0.00694444444444444 0.0087719298245614 0 0 0 0 0.0155507278669043 0 0 0 0 0 0 0 0 0 0.00556799800920741 0.0132401139050075 0.00416666666666667 0.0274714052287582 0 0 0 0 0.0043859649122807 0.00694444444444444 0.0123062664286069 0.00520833333333333 0.00650252525252525 0.00734508547008547 0.012719298245614 0.0685708898944193 0.0608581573655103 0.0581075701044741 0.0949414740197627 0.557848473185284
3 89.3333333333333 55.9166666666667 9.83333333333333 14.25 2.75 3.66666666666667 2.91666666666667 0.430951364521509 0.0425852829116803 0.076483435380224 0.0212975762649909 0.0489737338693771 0.207885847073922 0.0288625497734809 0.142960210204816 0 0 0 0 0 0 0 0 0 0 0.000591016548463357 0.00104166666666667 0.00146198830409357 0.00351499315665049 0.00433189127778481 0.00533132685085147 0.00549343984735785 0.00146198830409357 0 0.00101626016260163 0.00433189127778481 0 0.00146198830409357 0.00433189127778481 0 0 0 0 0.00160727671106498 0 0 0 0 0 0.0113510880054008 0.00812063665884317 0 0 0.00496705846823864 0.00185364281108962 0 0.00446035509522126 0.00433189127778481 0.0433681200299769 0.00872841772491377 0.00230429292929293 0.0294565728720941 0.0209022447339769 0.0256109527526101 0.0666030855927876 0.0120224512856047 0.0114999366317084 0.0643190117897343 0.108372969833157 0.535749652818273 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00112612612612613 0.00112612612612613 0.00112612612612613 0.00112612612612613 0.00112612612612613 0.00112612612612613 0.00112612612612613 0.00166666666666667 0.00166666666666667 0.00166666666666667 0.00166666666666667 0.00225225225225225 0.00225225225225225 0.00225225225225225 0.00260416666666667 0.00260416666666667 0.00279279279279279 0.00333333333333333 0.00333333333333333 0.00391891891891892 0.00445945945945946 0 0 0 0.00706362612612613 0.00564814814814815 0 0 0.00706362612612613 0 0 0.00391891891891892 0.00717123373373373 0.0290059771309771 0 0 0 0 0 0 0 0 0.00112612612612613 0 0.00398148148148148 0.00398148148148148 0.0520413311038311 0 0 0 0.00520833333333333 0.00112612612612613 0.00213675213675214 0.00539695945945946 0.00419191919191919 0.0108564814814815 0 0.0889814814814815 0.0602921977921978 0.0202334283584284 0.0539819014819015 0.102052640299923 0.480187351002568
4 128.833333333333 88.9166666666667 15.0833333333333 15.1666666666667 3.41666666666667 3.33333333333333 2.91666666666667 0.360462848981982 0.0288139983703106 0.0596888249332091 0.0273799162330366 0.0833440313502918 0.198538353938408 0.0469931162482065 0.194778909944555 0 0 0 0 0 0.000677506775067751 0.000700280112044818 0.00128205128205128 0.00154320987654321 0.00154320987654321 0 0 0.00886113704741156 0.00122549019607843 0.00611396305410753 0 0.00898478166158666 0 0.00128205128205128 0 0.00665811769777747 0.00518808524035005 0 0.00640219082607274 0.00691070625281152 0.00116844490605231 0 0 0 0 0 0 0.000700280112044818 0.00239355001259763 0.00644610981770236 0.00935491718065021 0.000468164794007491 0.000850340136054422 0.00516405853565108 0.000677506775067751 0.000700280112044818 0.00146198830409357 0.000700280112044818 0.0389722917815896 0.0166562568947207 0.00570987654320988 0.0254264313112468 0.020636664636999 0.00647856115528104 0.034701686887908 0.0133819699719744 0.0228376296342445 0.100968541352811 0.115885498056217 0.510885889795289 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000744047619047619 0.000786163522012579 0.00124378109452736 0.00124378109452736 0.00124378109452736 0.00124378109452736 0.00124378109452736 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00130208333333333 0.00173611111111111 0.00173611111111111 0.00173611111111111 0.00268817204301075 0.0028735632183908 0.0028735632183908 0.0028735632183908 0.00365972674040338 0.00378787878787879 0.00378787878787879 0.00378787878787879 0.00417564655172414 0.00457404230989137 0 0 0 0.00124378109452736 0.0028735632183908 0.00297989220563847 0.00361761083743842 0 0 0 0.0028735632183908 0 0 0.0028735632183908 0 0.00457404230989137 0.0028735632183908 0 0 0.00411734431291817 0 0.00252227463312369 0.00819165314732979 0.00124378109452736 0.0083975531173807 0.00235849056603774 0.00202994461653994 0 0.00457404230989137 0 0 0.00496181007373672 0.00547772988505747 0.0378302027618879 0 0 0 0 0 0 0 0 0 0.00477430555555556 0.00813419806749151 0.00940854749512036 0.0273946909271223 0 0 0 0.00583400974025974 0.00490350783493075 0 0.0075358131847501 0 0.0169251556731043 0.0126670440499595 0.00453192640692641 0.055604289799781 0.0189774904214559 0.102919477905575 0.112734320906039 0.447491035914903
5 152.416666666667 105.333333333333 19.5 16.5 3.91666666666667 3.58333333333333 3.58333333333333 0.371733299734639 0.0290820182713382 0.068129526905354 0.0247491787954772 0.0645823050007346 0.188464549465674 0.0500276195177102 0.203231502309073 0 0 0 0.000793650793650794 0.00117370892018779 0.00169944789510007 0 0 0.000744047619047619 0.00389055352400551 0.000833333333333333 0 0.00583758294051328 0.000793650793650794 0.00958721062316318 0.00233446337041593 0.0110167273320535 0 0.00115740740740741 0 0.00231916220975949 0.00170789695437583 0 0.00697184196658906 0.0006265664160401 0.0031203263329069 0 0.00117370892018779 0 0 0 0.00148581878285945 0.00106837606837607 0.0006265664160401 0.0118383184612071 0.0157486497178605 0 0 0.00688907732228979 0.00115740740740741 0 0.00442474155819354 0.00221356488912669 0.0293999886704316 0.00725995050624816 0.00269510582010582 0.0203560975133233 0.0163374374680238 0.0140038447393768 0.0353629251435761 0.0127644810051822 0.0186347497076625 0.116807599576139 0.1161709127531 0.508973099121082 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000423011844331641 0.000859106529209622 0.00119047619047619 0.00119047619047619 0.00173611111111111 0.00173611111111111 0.00204958271968581 0.00245098039215686 0.00245098039215686 0.00245098039215686 0.00330843815513627 0.00448101629292059 0.00680085164259359 0 0 0 0 0 0.00331008692136648 0.00365619755454327 0 0 0 0 0.0028739922364885 0 0 0.000859106529209622 0 0 0 0 0 0 0 0.00193798449612403 0 0.000859106529209622 0 0 0.000859106529209622 0.000423011844331641 0.000859106529209622 0.000859106529209622 0.0043859649122807 0 0 0.000423011844331641 0.00450056311184267 0 0.00204958271968581 0 0 0.00171821305841924 0.00745973355302051 0 0 0.00119047619047619 0 0 0.00204958271968581 0.00252525252525253 0.00259521764032073 0.00751158478342004 0.00792951348696903 0 0.0110240368077055 0 0 0.00331008692136648 0.00398756721580984 0.0257568222503556 0 0 0 0 0 0 0 0 0 0 0.00611165854572103 0.00717434009468214 0.0214035092029191 0 0 0.000859106529209622 0.0102802288093825 0.0136038625976706 0 0.0161833135087541 0.00252525252525253 0.00407515866658156 0.00278400818478731 0.0216968160782099 0.0543955781250657 0.0225884801894851 0.102835291775115 0.11983949563611 0.457601761127687
6 185.416666666667 129.916666666667 19.75 21.6666666666667 6.41666666666667 3.25 4.41666666666667 0.316297140728465 0.0457930158685792 0.0711482667888272 0.0249816064613254 0.0649257366595148 0.198767608003242 0.0518208147277059 0.22626581076234 0 0 0.000661375661375661 0.00281518388110253 0.000268817204301075 0.00163507989594946 0 0 0.00189778757739923 0.000427350427350427 0 0 0.00935854417786325 0.00178489372037759 0.0053792400851519 0.00135754329302716 0.00319527297232371 0 0 0.000603864734299517 0.00336139037982043 0.00210960725566704 0.000651041666666667 0.00278950934795885 0.000268817204301075 0 0.000651041666666667 0 0.000809061488673139 0 0 0 0 0.00150574252136752 0.00592152177553509 0.0103538516666021 0.000603864734299517 0.00559825622691446 0.00394177275912869 0.00767539604248945 0.00130208333333333 0.00296584567670733 0.00435692845978971 0.0308106321859577 0.0105828009829422 0.00217652717652718 0.0217468261949564 0.0286064454898739 0.0112508019991436 0.026180840383749 0.0162477223282919 0.0379044426781026 0.103128011433855 0.133094913236734 0.494019350073424 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000394944707740916 0.000394944707740916 0.000394944707740916 0.000394944707740916 0.000394944707740916 0.000850340136054422 0.000850340136054422 0.000850340136054422 0.000850340136054422 0.000850340136054422 0.000850340136054422 0.000925925925925926 0.0014367816091954 0.00148809523809524 0.00148809523809524 0.00217309145880574 0.00217309145880574 0 0.00138888888888889 0 0 0 0.00256615547746218 0 0 0 0.000394944707740916 0 0.0014367816091954 0.000394944707740916 0 0.000394944707740916 0 0 0.00233843537414966 0.000789889415481833 0.00452599883879505 0 0 0.000850340136054422 0.00302343159486017 0.00188303994583615 0.000925925925925926 0.00302343159486017 0 0.0100418808103304 0 0 0 0.00132087063366684 0 0.00228712174524982 0.000394944707740916 0 0.00132087063366684 0 0 0 0.00375287028976941 0.00132275132275132 0 0 0 0 0 0.000394944707740916 0.000925925925925926 0 0 0.000394944707740916 0.00178383359662981 0.00183172631693632 0 0 0 0.00263417373268423 0.00264362195641817 0.00132087063366684 0.000925925925925926 0.00452599883879505 0.00513428120063191 0.00302359650763555 0 0.00217121076972126 0 0.00148809523809524 0.00360799237891667 0.00188303994583615 0.0302751504955844 0 0 0.0014367816091954 0 0 0 0 0 0.00148809523809524 0.00641025641025641 0.0104570498994009 0.0126785428732219 0.0177352786822997 0 0 0 0.0121997024423738 0.00224679655959277 0.00459401709401709 0.0272719525718449 0.0014367816091954 0.0262111110867174 0.0124346568424273 0.0130083233925482 0.0441474036546761 0.0331002708330061 0.109624232916447 0.167942399701116 0.36947070535282
7 151.083333333333 101.416666666667 15.75 20.75 3.83333333333333 5 4.33333333333333 0.343232538395613 0.043237065899713 0.0544727624485759 0.0133748935438475 0.0668539289209242 0.223980891027828 0.0470089990322407 0.207838920731258 0 0 0 0 0 0 0 0 0 0.000631313131313131 0.00134591584158416 0 0.0030112063697473 0.00098526513926061 0.00907977450960653 0 0.00862178437327828 0 0 0.000825082508250825 0.0022096980807754 0.00171476222355332 0 0.00759379755654772 0.00068870523415978 0 0.00198119188503804 0 0.00148809523809524 0 0 0 0.00161657827057374 0.00029655990510083 0.00483744582907 0.00420889320031215 0.000520833333333333 0.00029655990510083 0.00720710332164721 0.00611339158826915 0.000825082508250825 0.00200688438935341 0.00112164241335166 0.0250590326868551 0.00533787637498787 0.0208333333333333 0.0247692311960761 0.0157227051052455 0.00417992692126355 0.0151137154245729 0.0067123214004685 0.0271520807491868 0.0704055762823327 0.16609693205001 0.549389701720094 0 0 0 0 0 0 0 0 0 0.000478927203065134 0.000478927203065134 0.000478927203065134 0.000478927203065134 0.00157232704402516 0.00157232704402516 0 0 0 0 0 0 0 0 0 0 0.00147099069512863 0 0 0 0 0 0 0.000478927203065134 0 0 0 0 0.000992063492063492 0.000957854406130268 0 0 0 0 0.00516995214056894 0.00703463203463203 0 0 0 0.00205125424709029 0 0 0.00399359018834492 0 0 0 0.00106837606837607 0 0 0.000478927203065134 0 0.00206043956043956 0 0 0 0.000478927203065134 0 0 0 0 0.000957854406130268 0 0 0 0.00224208498856386 0 0.00264469961531642 0.00147099069512863 0 0 0.000478927203065134 0.00147099069512863 0 0 0 0.000478927203065134 0.00220845382197228 0.00556857026440631 0 0 0.00117370892018779 0 0.000478927203065134 0.000992063492063492 0.014367816091954 0.00437364831488192 0.00518464429816276 0.00147492625368732 0 0.00117370892018779 0 0 0.00322496316727808 0.00216577241225129 0.0247650961167205 0 0 0 0 0 0 0.00165263612325293 0 0 0.000957854406130268 0.0102387639405895 0.00828037277336906 0.0205374259602989 0 0 0.00157232704402516 0.00267570968983667 0.00226464148877942 0 0.0145293704593428 0 0.00516083533324913 0.00291863871985576 0.00409757956927768 0.0220041104892417 0.00959883119121896 0.0877199757228634 0.238359885458523 0.459237970204649
8 104.833333333333 63.8333333333333 13 12.3333333333333 3.58333333333333 5.5 6.58333333333333 0.507440973901557 0.0349825282207429 0.0374984652645739 0.00920015537159923 0.0416389159150563 0.174348832740651 0.0372993081777601 0.15759082040806 0 0 0 0 0 0.00122549019607843 0 0 0 0 0 0 0.00117001361470388 0.000809061488673139 0.0026449398683912 0.000445632798573975 0.00449151750557269 0 0 0.00225225225225225 0.000368731563421829 0.0015465246155168 0 0.0015465246155168 0 0.00225225225225225 0 0 0.00572999470058294 0 0 0 0 0 0.00499198389731414 0.0149965953397434 0 0.000612745098039216 0.00492338743386717 0.00360246047713513 0.000801282051282051 0.00187668690958165 0.00221530920060332 0.0148080865869756 0.0119148763790673 0.000612745098039216 0.0139014230165811 0.0238246839781901 0.00202677224736048 0.00751197133012054 0.0109481830876226 0.0220340884535566 0.060201800231711 0.110637079418034 0.579741570960306 0 0 0 0 0 0.000470809792843691 0.000470809792843691 0.00111111111111111 0.00347222222222222 0 0 0 0.00111111111111111 0 0.000470809792843691 0 0 0 0 0 0 0 0 0 0 0 0.00394303201506591 0 0 0 0 0 0 0.000612745098039216 0 0 0 0.000470809792843691 0 0 0 0 0 0.00260828625235405 0.00141242937853107 0 0 0.00111111111111111 0 0 0.00108355489088291 0.00458466771402963 0 0 0 0 0.000826935148969047 0 0.000470809792843691 0 0.00213747645951036 0 0 0.00151515151515152 0.000941619585687382 0 0 0 0.000356125356125356 0 0 0 0 0.000470809792843691 0 0.00355722954593011 0 0 0 0 0.000470809792843691 0 0.000470809792843691 0 0 0 0.00260828625235405 0 0 0.00111111111111111 0.00151515151515152 0.00653695994537505 0.000470809792843691 0.000470809792843691 0.00409084151055605 0.00927494683227485 0 0 0.00111111111111111 0 0 0.00248402196931609 0.00213747645951036 0.0146705577275272 0 0 0.00166666666666667 0 0 0 0 0 0.00458333333333333 0.00616071451263244 0.0123618985146901 0.0134014027350465 0.0139989315678695 0 0.00166666666666667 0 0.00198596130799521 0.00795174155509815 0 0.012811544184924 0 0.00865629053565245 0.00738560187089599 0.00277777777777778 0.0130717998700455 0.0129347265221878 0.0642387493768876 0.0972005885044182 0.553178900285322
9 90.6666666666667 51.8333333333333 10.9166666666667 11.6666666666667 3.66666666666667 5.08333333333333 7.5 0.480755370056747 0.0199048566301281 0.0458318738847094 0.0157462540093944 0.0470726823709176 0.233999302831494 0.0279695424616615 0.128720117754948 0 0 0 0 0 0 0 0 0 0 0 0.000460405156537753 0.00114346526582737 0.00282407407407407 0.00344604863221885 0.000683060109289617 0.00972679880471626 0 0 0 0.00243764048754021 0 0 0.00276639344262295 0.000886524822695035 0.00115740740740741 0 0 0 0 0 0 0.00490196078431373 0 0.00502261791277995 0.0130058568153017 0 0 0.00290136339551953 0 0 0 0 0.0252637340822906 0.00975243249188091 0 0.01622213355229 0.0334901723029353 0.00318287037037037 0.00557729617878321 0.00473658281445014 0.039431780424421 0.057252556819309 0.112008393106559 0.641718430745866 0 0 0 0.000612745098039216 0.000683060109289617 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00189393939393939 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00215034965034965 0 0 0 0 0 0 0.00192684120381698 0.00745303070059471 0 0 0 0 0 0 0 0 0 0 0 0.0016025641025641 0.00378787878787879 0 0 0 0 0 0 0 0 0 0 0.00215034965034965 0 0 0 0 0 0 0 0 0 0.00189393939393939 0 0 0 0 0 0.00446642750567318 0.00503165988240615 0 0.00636036689961257 0.0163689382304779 0.00218325146022724 0 0.00124378109452736 0 0.00154320987654321 0.00278497945972952 0.00189393939393939 0.0278645365164973 0 0 0 0 0 0 0 0 0 0.00507917260371239 0.0218487617487909 0.00926317437530026 0.0131283886370912 0 0 0 0.00380976349921945 0.00496392560279396 0 0.0215507218511946 0 0.0178984959624847 0.00478841000923155 0.0052257525083612 0.00756649818244021 0.00584945839162993 0.0475874353006239 0.110360041030266 0.627184211886465
10 75.9166666666667 42.8333333333333 7 9.66666666666667 3.33333333333333 3.58333333333333 9.5 0.584383271033223 0.0284325799186827 0.0256846366996207 0.00529515601078743 0.035170840522862 0.165744731874786 0.0188948533808649 0.136393930559173 0 0.000636132315521628 0 0 0 0.000636132315521628 0 0 0 0 0 0 0.00196072926025756 0 0.000340136054421769 0 0.000340136054421769 0 0 0 0.000636132315521628 0.00119047619047619 0 0.00124087831174808 0 0 0 0 0 0 0 0 0 0 0.000718923461183948 0.00944989974712384 0 0 0.000449236298292902 0.000340136054421769 0 0.00173611111111111 0.000609823217312815 0.0119341539757466 0.0104010038269145 0 0.00691115478698179 0.0503946555701087 0 0.0062949600542674 0.00746107641599445 0.0331626699073046 0.0527070344108492 0.0805216239191893 0.719926784425307 0 0 0 0.000274122807017544 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000460405156537753 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000822368421052632 0 0 0 0.000274122807017544 0.000274122807017544 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000274122807017544 0 0 0 0.00157232704402516 0.000460405156537753 0 0 0.000460405156537753 0 0.00603139481353473 0.00157232704402516 0.000460405156537753 0.00480877335085379 0.0345854239187516 0.000548245614035088 0 0.00314465408805031 0 0 0.000873766447368421 0 0.00668967520208055 0 0 0 0 0 0 0 0 0 0.00589225589225589 0.0197800060323893 0.0170148387772462 0.0097949058424062 0 0 0.00245098039215686 0.00170709978070175 0.00676197101580905 0 0.0232200997997765 0 0.0120543557721343 0.00967827284728656 0 0.00781043575161222 0.00867170654404697 0.0518551489151918 0.0893189702655776 0.67040188457341
