"TimeFactor" "TotalBoutCount" "Length1BoutCount" "Length2BoutCount" "Length3BoutCount" "Length4BoutCount" "Length5BoutCount" "Length6PlusBoutCount" "ScootsProportion" "JBendsProportion" "CBendsProportion" "OBendsProportion" "EBendsProportion" "GBendsProportion" "HBendsProportion" "IBendsProportion" "Transition_hc_Proportion" "Transition_io_Proportion" "Transition_oi_Proportion" "Transition_jc_Proportion" "Transition_go_Proportion" "Transition_cc_Proportion" "Transition_oc_Proportion" "Transition_je_Proportion" "Transition_oj_Proportion" "Transition_ej_Proportion" "Transition_ce_Proportion" "Transition_oe_Proportion" "Transition_ch_Proportion" "Transition_jh_Proportion" "Transition_og_Proportion" "Transition_ji_Proportion" "Transition_hh_Proportion" "Transition_ec_Proportion" "Transition_hg_Proportion" "Transition_he_Proportion" "Transition_sj_Proportion" "Transition_jg_Proportion" "Transition_ei_Proportion" "Transition_gc_Proportion" "Transition_ee_Proportion" "Transition_ih_Proportion" "Transition_sc_Proportion" "Transition_eh_Proportion" "Transition_hi_Proportion" "Transition_gh_Proportion" "Transition_ge_Proportion" "Transition_jj_Proportion" "Transition_gi_Proportion" "Transition_ie_Proportion" "Transition_ig_Proportion" "Transition_so_Proportion" "Transition_ii_Proportion" "Transition_ci_Proportion" "Transition_se_Proportion" "Transition_cg_Proportion" "Transition_si_Proportion" "Transition_gg_Proportion" "Transition_sg_Proportion" "Transition_eg_Proportion" "Transition_sh_Proportion" "Transition_es_Proportion" "Transition_hs_Proportion" "Transition_os_Proportion" "Transition_is_Proportion" "Transition_cs_Proportion" "Transition_gs_Proportion" "Transition_js_Proportion" "Transition_ss_Proportion" "Transition_eeg_Proportion" "Transition_hes_Proportion" "Transition_ces_Proportion" "Transition_ccs_Proportion" "Transition_jcs_Proportion" "Transition_csg_Proportion" "Transition_ehg_Proportion" "Transition_hhh_Proportion" "Transition_gii_Proportion" "Transition_gsh_Proportion" "Transition_ggi_Proportion" "Transition_iii_Proportion" "Transition_jis_Proportion" "Transition_csi_Proportion" "Transition_cgi_Proportion" "Transition_ihs_Proportion" "Transition_esc_Proportion" "Transition_gos_Proportion" "Transition_scc_Proportion" "Transition_jsg_Proportion" "Transition_ccg_Proportion" "Transition_oei_Proportion" "Transition_ege_Proportion" "Transition_ieg_Proportion" "Transition_gee_Proportion" "Transition_esi_Proportion" "Transition_ish_Proportion" "Transition_ojs_Proportion" "Transition_egi_Proportion" "Transition_jsi_Proportion" "Transition_iso_Proportion" "Transition_cse_Proportion" "Transition_hhs_Proportion" "Transition_seg_Proportion" "Transition_hsh_Proportion" "Transition_iee_Proportion" "Transition_eee_Proportion" "Transition_shh_Proportion" "Transition_ese_Proportion" "Transition_sig_Proportion" "Transition_hgg_Proportion" "Transition_sei_Proportion" "Transition_ssh_Proportion" "Transition_shs_Proportion" "Transition_hsi_Proportion" "Transition_jgs_Proportion" "Transition_geg_Proportion" "Transition_cgs_Proportion" "Transition_oge_Proportion" "Transition_sgi_Proportion" "Transition_sie_Proportion" "Transition_egg_Proportion" "Transition_igi_Proportion" "Transition_ies_Proportion" "Transition_sse_Proportion" "Transition_his_Proportion" "Transition_jhs_Proportion" "Transition_ise_Proportion" "Transition_gse_Proportion" "Transition_gsg_Proportion" "Transition_ees_Proportion" "Transition_hii_Proportion" "Transition_igh_Proportion" "Transition_hhe_Proportion" "Transition_jig_Proportion" "Transition_ghi_Proportion" "Transition_ges_Proportion" "Transition_ssi_Proportion" "Transition_iis_Proportion" "Transition_esg_Proportion" "Transition_gis_Proportion" "Transition_gig_Proportion" "Transition_eis_Proportion" "Transition_eii_Proportion" "Transition_jse_Proportion" "Transition_ssc_Proportion" "Transition_ghs_Proportion" "Transition_scs_Proportion" "Transition_egs_Proportion" "Transition_see_Proportion" "Transition_isi_Proportion" "Transition_geh_Proportion" "Transition_ehs_Proportion" "Transition_sge_Proportion" "Transition_sii_Proportion" "Transition_ses_Proportion" "Transition_igg_Proportion" "Transition_ggg_Proportion" "Transition_ssg_Proportion" "Transition_ggs_Proportion" "Transition_gsi_Proportion" "Transition_isg_Proportion" "Transition_sgg_Proportion" "Transition_sgs_Proportion" "Transition_igs_Proportion" "Transition_sos_Proportion" "Transition_cie_Proportion" "Transition_hss_Proportion" "Transition_sis_Proportion" "Transition_ess_Proportion" "Transition_iss_Proportion" "Transition_oss_Proportion" "Transition_gss_Proportion" "Transition_css_Proportion" "Transition_jss_Proportion" "Transition_sss_Proportion"
1 46.75 33.9166666666667 5.75 5.33333333333333 0.416666666666667 0.666666666666667 0.666666666666667 0.333554254625307 0.0795017846911404 0.144480047934097 0.0571047559186159 0.0493374976262485 0.101421480223766 0.0736335039276514 0.160966675053172 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00252525252525253 0.00252525252525253 0.00277777777777778 0.00308641975308642 0.00347222222222222 0.0036231884057971 0.00555555555555556 0.00555555555555556 0.00573038073038073 0.0058641975308642 0.00614844093104963 0.00838945005611672 0.0119047619047619 0.0146825396825397 0.0237305116381203 0.0237543706293706 0.027590811965812 0.0568896766813433 0.0638679205255292 0.0662668283139298 0.115680226912111 0.540378658177571 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00490196078431373 0.00490196078431373 0.00555555555555556 0.00555555555555556 0.00641025641025641 0.00641025641025641 0.00823529411764706 0.011965811965812 0.0379807692307692 0.0389316239316239 0.0424679487179487 0.0804166666666667 0.125152714932127 0.16236802413273 0.458745600804424
2 57.25 45.3333333333333 5.91666666666667 3.58333333333333 1.08333333333333 0.833333333333333 0.25 0.24895992927236 0.0764884300466465 0.0612909060430105 0.0211979875189509 0.0608061175078723 0.134449128695541 0.0154154072896892 0.131392093625929 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00111111111111111 0.00111111111111111 0.00111111111111111 0.00111111111111111 0.00173611111111111 0.00173611111111111 0.00274509803921569 0.00347222222222222 0.00163398692810458 0.00274509803921569 0 0.0077124183006536 0.0166666666666667 0.00284722222222222 0 0.00284722222222222 0 0.00722630718954248 0.0274280690537084 0.00903790139244103 0.00111111111111111 0 0.0268055555555556 0.0400040849673203 0.00284722222222222 0.0403530832622904 0.055787037037037 0.071014670360898 0.0473597494553377 0.372438607085346 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0028735632183908 0.0028735632183908 0.0028735632183908 0.0028735632183908 0.0028735632183908 0.0028735632183908 0.0028735632183908 0.0036231884057971 0.0036231884057971 0.0036231884057971 0.0036231884057971 0.0036231884057971 0.00462962962962963 0.00555555555555556 0.00565134099616858 0.00640096618357488 0.00649675162418791 0 0.00565134099616858 0.0028735632183908 0.00574712643678161 0 0 0.128623188405797 0.0121328224776501 0.0510369815092454 0.040690765728247 0.00649675162418791 0.0370828474651563 0.0698275862068966 0.0675925925925926 0.255279304792048
3 60.0833333333333 46.4166666666667 6.5 5.16666666666667 0.5 0.916666666666667 0.333333333333333 0.228941447901832 0.0619019145289876 0.0764053626772159 0.0183447634568657 0.0804004733770052 0.13538422319241 0.0272061510012477 0.121415663864436 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00104166666666667 0.00104166666666667 0.00170068027210884 0.00170068027210884 0.00393518518518518 0.00396825396825397 0.00566893424036281 0.00709325396825397 0 0.00104166666666667 0.00170068027210884 0.0039529325243611 0 0.00274234693877551 0.00104166666666667 0.00104166666666667 0.00396825396825397 0.00274234693877551 0.00104166666666667 0.00652636054421769 0 0.00830383955383955 0 0 0 0.0068287037037037 0.003125 0.0154466966966967 0.00396825396825397 0.00170068027210884 0.0450681548895835 0.00971865344687644 0.0232933857824973 0.0901405480891544 0.0331999122068809 0.0725304510583256 0.0041041041041041 0.297288373801876 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00185185185185185 0.00185185185185185 0.00185185185185185 0.00185185185185185 0.00185185185185185 0.00185185185185185 0.00185185185185185 0.00185185185185185 0.00185185185185185 0.00185185185185185 0.00347222222222222 0.0037037037037037 0.0138888888888889 0 0 0 0 0 0 0.0037037037037037 0 0 0 0 0 0 0.00185185185185185 0 0.00185185185185185 0 0.00185185185185185 0 0.0037037037037037 0.00717592592592593 0 0 0.0200892857142857 0.0037037037037037 0.0608796296296296 0.124022967772968 0.0469907407407407 0.0656204906204906 0.0473710317460317 0.0127840909090909 0.225482503607504
4 96.5 72.0833333333333 10.3333333333333 9.33333333333333 2.16666666666667 1.66666666666667 0.75 0.274930623969127 0.0229890664393252 0.0555025815953585 0.0279206744028164 0.0672865463558452 0.157296637939176 0.046993879123604 0.180413323508082 0 0 0 0 0 0 0 0 0 0 0 0 0.00120772946859903 0.00154320987654321 0.00767288267288267 0 0.000645994832041344 0 0.000645994832041344 0 0.000886524822695035 0.00153251965473638 0.00185372430064038 0 0.00888061214148171 0.00641025641025641 0.00308641975308642 0 0.00404292900922493 0 0.00252525252525253 0.00248908892525914 0.00507986845196148 0.00311635056326664 0.00564160308851917 0.00126262626262626 0.00668632257779545 0.000645994832041344 0.00861822925355113 0.00126262626262626 0.0113758138277855 0.00766384778012685 0.0156154906511668 0.00252525252525253 0.000645994832041344 0.0383970262487678 0.0152901330563056 0.00592218670243611 0.106838329912267 0.034182619776188 0.0974122425051618 0.0169152189205219 0.404812416078184 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00111111111111111 0.00111111111111111 0.00111111111111111 0.00111111111111111 0.00111111111111111 0.00111111111111111 0.00203252032520325 0.00238095238095238 0.00238095238095238 0.00238095238095238 0.00238095238095238 0.00238095238095238 0.00238095238095238 0.00238095238095238 0.00268817204301075 0.00268817204301075 0.00379928315412186 0.00490196078431373 0.0053763440860215 0.00839402427637722 0.0115451752548527 0.0138888888888889 0 0 0 0 0 0 0.00111111111111111 0.00111111111111111 0.00238095238095238 0.00698412698412698 0.00238095238095238 0.00268817204301075 0.00111111111111111 0 0 0 0 0 0.00506912442396313 0.00268817204301075 0 0 0 0.00111111111111111 0.00490196078431373 0.00111111111111111 0.00111111111111111 0.00490608354359406 0.00111111111111111 0.00378787878787879 0.0046031746031746 0.00349206349206349 0.0137733274108379 0 0 0 0.0156357250479526 0.0048989898989899 0.0564666145885195 0.0993346763614621 0.0123520375892292 0.0948770984329464 0.0612809274449659 0.0229384435204628 0.321467179604014
5 111.583333333333 83 13.75 9.83333333333333 2.16666666666667 1.66666666666667 1.08333333333333 0.352601996691794 0.0389846611144097 0.0480997340052753 0.0211526262081573 0.0477045529459209 0.164270307547415 0.0436608028126183 0.200191985341076 0 0 0 0 0 0 0 0 0.000612745098039216 0.000612745098039216 0.00134408602150538 0.00225225225225225 0 0.00136612021857923 0 0 0.00268817204301075 0 0 0.00177304964539007 0 0 0.00400255590572553 0 0.00714243756453777 0 0.00407549945198429 0.00109649122807018 0.00166666666666667 0.00100401606425703 0.00134408602150538 0 0.00958080564638342 0.00420908337179684 0.0131566070959542 0.00519485188380788 0.0125267721494356 0.000612745098039216 0.012075905692927 0 0.00701330859389757 0.00941100881198701 0.013825596965401 0.00525079209372075 0.00195683111954459 0.0194899839646529 0.0283387147737243 0.00983124899478068 0.120585639092128 0.0171810009652518 0.0911705772741725 0.00264556591412437 0.334962037218707 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0016025641025641 0.0016025641025641 0.0016025641025641 0.0016025641025641 0.00231481481481481 0.00333333333333333 0.00333333333333333 0.00333333333333333 0.00333333333333333 0.00333333333333333 0.00333333333333333 0.00333333333333333 0.00333333333333333 0 0 0 0 0.0016025641025641 0.00333333333333333 0 0 0 0 0 0 0.00333333333333333 0.00650452488687783 0.0016025641025641 0.00333333333333333 0 0 0 0.00490196078431373 0.0016025641025641 0 0 0 0 0 0 0 0 0.00823529411764706 0 0.00493589743589744 0.00231481481481481 0 0.00333333333333333 0 0 0 0 0.00490196078431373 0.00333333333333333 0 0 0 0 0.00826923076923077 0.00333333333333333 0 0.0016025641025641 0.00639005602240896 0.00810708898944193 0.00333333333333333 0 0.0016025641025641 0.0171969343292873 0.00666666666666667 0 0 0.0276053282702899 0.0016025641025641 0.0182192405018492 0.134187669865419 0.0152093397745572 0.0952428015055892 0.0301650953952744 0.00231481481481481 0.28029082443085
6 102.416666666667 76.75 11.5833333333333 9.33333333333333 2.08333333333333 1.25 1.25 0.278781858895101 0.0298055644456229 0.0517628224922869 0.0150043530088371 0.0452791776019083 0.16387540905755 0.0507057272555967 0.198118420576431 0 0 0 0 0 0 0.00117370892018779 0.00166666666666667 0 0 0 0 0 0.00543650793650794 0 0 0.00395148669796557 0 0 0 0 0.00117370892018779 0 0 0.00234741784037559 0 0.0021978021978022 0 0 0 0.00234741784037559 0.00166666666666667 0.00395148669796557 0.00117370892018779 0 0 0.00677594981654634 0 0.00629890453834116 0 0.00479182283241935 0.0164484126984127 0.00843253968253968 0.00266180415828303 0.00599513749161637 0.0238385870780237 0.0246126014508367 0.00770456069751844 0.126309641408026 0.022420699410136 0.106403536857141 0.00613402638050525 0.437418529528099 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0.00308641975308642 0.00308641975308642 0.00308641975308642 0 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0.0100308641975309 0 0 0 0.00308641975308642 0.00378787878787879 0.00231481481481481 0.00308641975308642 0 0 0 0 0.00308641975308642 0 0 0 0 0 0.00378787878787879 0 0 0.00308641975308642 0 0 0 0 0 0 0.00308641975308642 0.0043859649122807 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0.00308641975308642 0 0 0 0 0.00670077972709552 0.00694444444444444 0 0.00411092530657748 0.00902442297369834 0.00785024154589372 0 0 0.00503220611916264 0.00798443370907139 0 0 0 0.0315065925048763 0 0.0198290035246557 0.135685804187902 0.0154320987654321 0.108036125103249 0.0395272166105499 0.011039886039886 0.279951380900084
7 112.25 78.5833333333333 14.0833333333333 11.6666666666667 2.58333333333333 2.91666666666667 2.25 0.261969881253522 0.0270450155548913 0.0386553434879287 0.0144240989762023 0.0449837018894582 0.205968718883748 0.0424861640386504 0.197800409248932 0 0 0 0 0.00210970464135021 0.00571078666410945 0 0 0 0 0.00378787878787879 0.00378787878787879 0 0 0 0.00148994610281924 0 0 0.000534188034188034 0 0 0.00115607858145172 0.00440976933514247 0.000868055555555556 0.00626318565400844 0.000868055555555556 0.00275073028237585 0 0.00465593434343434 0.000621890547263682 0.00572431041181041 0 0.0015090811965812 0.000868055555555556 0.0015090811965812 0 0.00850356824561886 0.000868055555555556 0.00534928560298152 0.00465593434343434 0.0108843527392765 0.0183607816307819 0.0214385595751289 0.00112612612612613 0.00173611111111111 0.0174031630961133 0.0129191358336548 0.00490066807313643 0.0977762524062267 0.0141721826553208 0.122399868293414 0.00326711204875762 0.438947564763154 0 0 0 0 0 0 0 0 0 0 0 0 0.00111111111111111 0.00154320987654321 0.00154320987654321 0.00154320987654321 0.00238095238095238 0.00238095238095238 0.00238095238095238 0.00238095238095238 0.0104166666666667 0.0104166666666667 0 0 0 0.00154320987654321 0 0 0 0 0 0 0 0 0.00154320987654321 0.00154320987654321 0.00154320987654321 0 0.00308641975308642 0 0 0 0 0 0 0 0 0 0 0 0.00154320987654321 0 0 0 0.00238095238095238 0 0 0.00154320987654321 0 0.00205761316872428 0.00308641975308642 0 0 0 0 0 0 0.00102880658436214 0.0125565843621399 0 0.00102880658436214 0.00154320987654321 0.0104166666666667 0 0 0 0 0 0 0.0054673721340388 0.00419753086419753 0 0 0.00148809523809524 0.00111111111111111 0.00154320987654321 0 0.00720164609053498 0.0151886333830778 0.00208333333333333 0.00102880658436214 0.00303130511463845 0.0146987066431511 0.0110462171573283 0 0 0 0.00955614344503233 0.00419753086419753 0.0235138832361055 0.0959617645728757 0.0054673721340388 0.113728999909555 0.0261451973951974 0.00451770451770452 0.399616147741148
8 107.666666666667 72.75 14.4166666666667 12.3333333333333 2.91666666666667 3.08333333333333 2.08333333333333 0.310144857385352 0.110846223371256 0.0372624514904391 0.0213075112614957 0.0478613753753339 0.193710842484859 0.0356434218287242 0.159889983469207 0 0 0 0 0 0 0 0 0 0 0.000326797385620915 0 0 0 0 0.000737463126843658 0 0 0.00134408602150538 0 0 0.00147492625368732 0.000737463126843658 0 0.00516437822656159 0.000570776255707763 0.000737463126843658 0 0 0.00219298245614035 0.00146834989703644 0.00151515151515152 0.00367416292091654 0.00134408602150538 0.00332775379144636 0 0.00966677213586341 0 0.0137451829593142 0 0.0155232578458621 0.0217334019805396 0.0277330960601133 0.000559284116331096 0.00223744292237443 0.0101418137756868 0.016552584813041 0.00543443282381335 0.0751126397739894 0.0118559286657208 0.105474853550537 0.00811209439528024 0.401501374055723 0 0 0 0 0 0 0 0 0 0.00112612612612613 0.00112612612612613 0.00412491142828221 0 0 0 0.00112612612612613 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000936329588014981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000936329588014981 0 0 0.0101405492030492 0 0 0 0.00641025641025641 0.00702992318160857 0 0 0 0 0 0 0.00158908908908909 0.00959883825052364 0.00297619047619048 0 0.00225225225225225 0 0 0 0 0 0 0.00173611111111111 0 0.0101405492030492 0.000462962962962963 0 0 0 0.0100618012134866 0 0.00112612612612613 0.00785520422107501 0.0101074564733273 0.00458787439124518 0.00112612612612613 0.00781642396810936 0.01533589920177 0.00392471122808202 0.00173611111111111 0 0 0.022066933004433 0.00980668168168168 0.016858948635634 0.0654128133411841 0.00992063492063492 0.0854386552946946 0.0208296177397301 0.0190972222222222 0.375178087976543
9 108.25 72.4166666666667 12.25 12.75 2.41666666666667 3.08333333333333 5.25 0.363034320712036 0.0181033059047396 0.0397211224007551 0.00676260511895876 0.0583109624218795 0.224966143722213 0.0430024419569628 0.162765764429122 0 0 0.0002210433244916 0.0002210433244916 0 0 0 0 0 0 0 0 0 0.00119047619047619 0 0.00146198830409357 0.00273224043715847 0 0.00126270999115827 0 0 0.00308641975308642 0 0 0.00542937665782493 0.000656167979002625 0.00119047619047619 0.0002210433244916 0 0.000656167979002625 0.00434912974424469 0 0.00604829428512031 0.000950632054385428 0.00816843614445838 0 0.00790861816973822 0.000656167979002625 0.008692306053537 0.00146198830409357 0.0130000945770525 0.0262069865392019 0.0252500460019321 0 0.00387414004943371 0.0273883133210641 0.0189413156549445 0.00265246449456976 0.0709950144267862 0.02276535511954 0.109966334709505 0.00505492369009429 0.534006951892208 0 0 0 0 0 0 0.000275938189845475 0.00268817204301075 0.00297619047619048 0 0.000402576489533011 0.00298999690735942 0 0 0 0.00119047619047619 0 0 0 0 0 0 0 0 0.000275938189845475 0.00297619047619048 0 0 0 0 0 0 0 0 0 0 0.00617283950617284 0.00268817204301075 0 0 0 0 0.00665642601126472 0.00515873015873016 0.00268817204301075 0 0 0 0 0.00297619047619048 0 0 0 0 0.00308641975308642 0 0 0.00268817204301075 0 0.00570884910895606 0 0 0 0 0 0 0.00925925925925926 0.00528767270417141 0.00268817204301075 0 0 0 0 0 0 0 0 0 0 0.00308641975308642 0.00308641975308642 0 0 0.00953519744910473 0.00674545368811273 0.0121328224776501 0 0.00545956617282355 0.0110656520000275 0.00297619047619048 0 0.00325212866603595 0.00834138867179466 0.0195066129254605 0.0125113879252952 0 0 0.0244502455939665 0.00431681081215585 0.0218891404637817 0.0613595817124016 0.00457424349049965 0.100767943542659 0.0418944585566919 0.00357142857142857 0.487309019852088
10 79.0833333333333 52.5 11.4166666666667 6.66666666666667 2.83333333333333 2.66666666666667 2.91666666666667 0.376809239322692 0.0132882147192298 0.0463867823342117 0.0159188046479999 0.092854595619109 0.184686626370795 0.0430231494167816 0.143699254235848 0 0.00213675213675214 0.00115740740740741 0.00115740740740741 0 0.000468164794007491 0.00350287235533137 0 0 0 0 0 0 0 0 0 0.00124378109452736 0 0 0 0 0 0.000841750841750842 0 0.00881953867028494 0.00213675213675214 0.00658020152505447 0 0.00213675213675214 0 0.00183074896909167 0 0.00807098209831733 0.000520833333333333 0.00762566014379709 0 0.00542588553710322 0 0.00951274524584446 0.000468164794007491 0.010881364956768 0.0259167472792381 0.0289727452486623 0.00124378109452736 0.00455424215146729 0.0553831398057945 0.0130582355571461 0.00385368240763396 0.0645663529491756 0.0131514603828203 0.107038378205225 0.00911415146489773 0.515295984535788 0 0 0 0.000666666666666667 0.00225225225225225 0.00225225225225225 0 0 0.00219298245614035 0 0.00219298245614035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00972222222222222 0.00219298245614035 0 0 0 0.00138888888888889 0.00219298245614035 0 0 0 0 0 0 0.00219298245614035 0 0 0 0 0.00497076023391813 0 0 0 0 0.00205555555555556 0 0 0 0 0 0 0.000666666666666667 0.00710818713450292 0 0.00416666666666667 0.0119047619047619 0 0 0 0 0 0 0 0 0.00497076023391813 0 0 0 0 0.00677528542035815 0.0104166666666667 0 0.0149209310660038 0.0354304401327884 0.00583376495252189 0.00238932050807744 0 0.0153448897814223 0.0316163706453443 0.000666666666666667 0 0 0.00449124596294408 0.00272222222222222 0.00453964730546307 0.076495096967905 0.0044452347083926 0.130811109092536 0.0217130707288865 0.0144699653213585 0.470494185558135
